state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O7_suppress_event,fold,condition_id
strength=high,129,O1_lag0_AB,0.04749181459157967,O4_B_C_boundary,0.0003250430628244234,0.04749181459157967,0.03780294937607311,-0.039630084089357254,0.0003250430628244234,0.00984858122292205,0.0,0,b6i_047
strength=mid,129,O4_B_C_boundary,0.11585866532724937,O4_B_C_boundary,0.11585866532724937,-0.13090089607831162,0.006681686756080127,-0.06329038670313084,0.11585866532724937,0.06041292504267137,0.0,0,b6i_047
strength=low,126,O3_A_C_boundary,0.057543796142365204,O4_B_C_boundary,-0.039831855031642056,-0.07209879891978047,-0.10034331262957658,0.057543796142365204,-0.039831855031642056,-0.08092838364065195,0.0,0,b6i_047
strength=high,136,O5_full_TFC,0.09209287354065762,O2_lag5_AB,0.04565701127941112,0.02733402589040579,0.04565701127941112,0.090565806380856,-0.0865954568393774,0.09209287354065762,0.0,1,b6i_047
strength=mid,126,O5_full_TFC,0.046363204002644945,O2_lag5_AB,-0.037644449437237125,-0.08400190897016005,-0.037644449437237125,-0.07058650973699968,0.040612457684155175,0.046363204002644945,0.0,1,b6i_047
strength=low,133,O2_lag5_AB,0.10178052153442729,O2_lag5_AB,0.10178052153442729,0.0836924865937127,0.10178052153442729,-0.04694357273244277,-0.1339020263582461,-0.09800514014737446,0.0,1,b6i_047
strength=high,130,O1_lag0_AB,0.09176353592009526,O1_lag0_AB,0.09176353592009526,0.09176353592009526,0.03433004574675647,-0.09302082896608692,-0.01221870008615121,-0.022328979800011882,0.0,2,b6i_047
strength=mid,141,O4_B_C_boundary,0.06094557427959148,O1_lag0_AB,-0.04662823558887292,-0.04662823558887292,-0.05551187371614529,-0.05392484120489729,0.06094557427959148,-0.004115009620877911,0.0,2,b6i_047
strength=low,147,O1_lag0_AB,0.07052777450752057,O1_lag0_AB,0.07052777450752057,0.07052777450752057,0.02093147177754791,-0.02192730540984743,-0.09595487473068283,-0.1494447052187703,0.0,2,b6i_047
strength=high,133,O3_A_C_boundary,0.11643111521276177,O3_A_C_boundary,0.11643111521276177,0.07796054017452252,0.007873614043276586,0.11643111521276177,0.01634031340590551,0.08190952694721954,0.0,3,b6i_047
strength=low,135,O3_A_C_boundary,0.058439286436336425,O3_A_C_boundary,0.058439286436336425,0.04652850634309456,0.015258961761142208,0.058439286436336425,-0.1395366171878687,-0.04911267481014422,0.0,3,b6i_047
strength=mid,129,O4_B_C_boundary,0.1470385942570728,O3_A_C_boundary,0.10260725500800684,-0.02839246538608253,-0.0896586080440198,0.10260725500800684,0.1470385942570728,0.10037666179338428,0.0,3,b6i_047
strength=high,140,O5_full_TFC,0.10588816228966307,O4_B_C_boundary,0.07198226373095025,-0.01203959873831437,0.042530297674672965,0.09160753008939226,0.07198226373095025,0.10588816228966307,0.0,4,b6i_047
strength=mid,143,O4_B_C_boundary,0.08596373252136377,O4_B_C_boundary,0.08596373252136377,-0.11053839980689449,-0.1430553941445642,-0.040534508544809306,0.08596373252136377,-0.007539471515141865,0.0,4,b6i_047
strength=low,131,O2_lag5_AB,0.11356009773812616,O4_B_C_boundary,-0.03628255216457937,0.031273579473820645,0.11356009773812616,-0.07345982592198116,-0.03628255216457937,-0.058361815125470194,0.0,4,b6i_047
