condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6i_168,0,P10,56.0,side=B_side|tfc=high|dphi=low|str=high,O1_lag0_AB,state_mapping,0.5266859342100999,0.505095932842082,0.15874819031534304,0.47761774928279166,0.7361852652727643,1.1688710872468095
b6i_168,0,P10,64.0,side=A_side|tfc=high|dphi=mid|str=high,O4_B_C_boundary,global_fallback,,-0.412893762339312,0.427382299247849,-0.412893762339312,,0.9492650041883183
b6i_168,0,P10,101.0,side=B_side|tfc=high|dphi=mid|str=low,O4_B_C_boundary,global_fallback,-0.3626261669635698,-0.3295950949742268,-0.2798950259222234,-0.062343694333169566,-0.3626261669635703,0.8913751401012282
b6i_168,0,P10,106.0,side=A_side|tfc=low|dphi=mid|str=low,O3_A_C_boundary,state_mapping,1.2969297062136353,0.8143247763645357,-1.0198714428859568,0.3863543668757148,-0.14579086146976633,1.4070710696338369
b6i_168,0,P10,132.0,side=A_side|tfc=high|dphi=high|str=high,O4_B_C_boundary,global_fallback,0.8831013713112816,0.8407109198068606,0.8554844144341168,0.5570209751234145,0.8831013713112833,1.3255518478442119
b6i_168,0,P10,137.0,side=B_side|tfc=high|dphi=mid|str=mid,O4_B_C_boundary,global_fallback,,-1.2946668819114022,-0.9604536698666768,-1.2946668819114024,,-0.6539389116031444
b6i_168,0,P10,175.0,side=B_side|tfc=low|dphi=low|str=mid,O6_phase_only,state_mapping,0.7418091323384253,0.5890902667275298,0.5678641881118055,0.6610054997400685,0.114138079644624,1.3043430182787044
b6i_168,0,P10,191.0,side=A_side|tfc=mid|dphi=low|str=high,O4_B_C_boundary,global_fallback,,-0.12596758851029866,0.3759613330177788,-0.12596758851029866,,1.5159903798231351
b6i_168,0,P10,228.0,side=B_side|tfc=mid|dphi=low|str=low,O1_lag0_AB,state_mapping,0.6468693017479754,0.7174852380976046,-0.41743430915577984,0.8234091426220516,0.009199186344484977,0.9999489834961277
b6i_168,0,P10,252.0,side=B_side|tfc=low|dphi=mid|str=high,O4_B_C_boundary,state_mapping,0.959892794903567,0.9283325288348148,0.648806106889713,0.6968905776639645,-0.05497039350180268,0.959892794903567
b6i_168,0,P10,268.0,side=A_side|tfc=mid|dphi=high|str=high,O4_B_C_boundary,global_fallback,-1.3267851520667084,-1.2781432389454472,-0.9133394128099205,-0.6319006789057795,-1.326785152066712,0.6428243465332251
b6i_168,0,P10,289.0,side=A_side|tfc=mid|dphi=low|str=high,O4_B_C_boundary,global_fallback,1.6936775092298493,1.6940217560128108,1.427061959985001,1.69711997705944,1.6936775092298515,1.7005624448890309
b6i_168,0,P10,299.0,side=B_side|tfc=low|dphi=high|str=high,O3_A_C_boundary,state_mapping,0.71394501742705,0.12024034105005331,-1.2073076355199939,-0.25934133728933845,-0.42255849713223803,1.427632669783384
b6i_168,0,P10,310.0,side=A_side|tfc=high|dphi=high|str=low,O1_lag0_AB,state_mapping,0.5408251539204384,0.6583729151682207,0.5534355114096514,0.8275270106223476,0.5698764632826078,1.1142288673242566
b6i_168,0,P10,314.0,side=B_side|tfc=mid|dphi=high|str=low,O4_B_C_boundary,global_fallback,-1.4206413364572792,-1.2993972235445093,-0.7047339093460168,-0.07348452631546332,-1.4206413364572719,1.2736722838263526
b6i_168,0,P10,321.0,side=B_side|tfc=high|dphi=low|str=mid,O4_B_C_boundary,global_fallback,1.2158642068778514,1.119912698507485,0.6945267114598066,-0.15487162698454915,1.215864206877853,1.2158642068778514
b6i_168,0,P10,350.0,side=A_side|tfc=low|dphi=mid|str=high,O4_B_C_boundary,global_fallback,,1.007740708082389,-0.5575259609756892,1.0077407080823888,,1.6293354549500985
b6i_168,0,P10,391.0,side=B_side|tfc=high|dphi=high|str=low,O1_lag0_AB,state_mapping,0.7034261805893284,0.6977016254065725,0.71105795693341,0.6909814954094218,0.791950669162547,1.544326648604876
