condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6i_030,0,P10,56.0,phase=q1,O3_A_C_boundary,state_mapping,0.882926086640553,0.882926086640556,0.3754108889986982,1.0258985869436814,0.6162064011519585,1.1688710872468095
b6i_030,0,P10,64.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,0.46905322975772096,0.9492650041883183
b6i_030,0,P10,101.0,phase=q1,O3_A_C_boundary,state_mapping,0.8913751401012282,0.891375140101226,0.25374735684794114,-0.33355982144725915,-0.4705209870937649,0.8913751401012282
b6i_030,0,P10,106.0,phase=q4,O4_B_C_boundary,state_mapping,-1.3097203912684225,-1.3097203912684257,-0.028485597590800826,-1.3097203912684225,-0.1609846400850477,1.4070710696338369
b6i_030,0,P10,132.0,phase=q1,O3_A_C_boundary,state_mapping,0.933620407404604,0.9336204074046083,0.9079327619334231,0.7041264547493814,0.6199910992786923,1.3255518478442119
b6i_030,0,P10,137.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,-1.265456470366299,-0.6539389116031444
b6i_030,0,P10,175.0,phase=q1,O3_A_C_boundary,state_mapping,0.7223940708877251,0.7223940708877278,0.6500929503389048,-0.26220087775443607,-0.017708583252160636,1.3043430182787044
b6i_030,0,P10,191.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,0.8519883367856336,1.5159903798231351
b6i_030,0,P10,228.0,phase=q1,O3_A_C_boundary,state_mapping,-1.2546844389102596,-1.25468443891026,-1.018020412474896,-1.0169659152040664,-0.2687922861353156,0.9999489834961277
b6i_030,0,P10,252.0,phase=q4,O4_B_C_boundary,state_mapping,0.959892794903567,0.959892794903567,-0.33212152286287977,0.959892794903567,-0.23690431005527157,0.959892794903567
b6i_030,0,P10,268.0,phase=q1,O3_A_C_boundary,state_mapping,0.04646979403371336,0.0464697940337135,-0.6517954327970096,-0.25304372360511657,-0.2938636959236651,0.6428243465332251
b6i_030,0,P10,289.0,phase=q4,O4_B_C_boundary,state_mapping,1.6936775092298493,1.6936775092298515,0.6514692624362156,1.6936775092298493,0.6364493410853518,1.6936775092298493
b6i_030,0,P10,299.0,phase=q1,O3_A_C_boundary,state_mapping,0.71394501742705,0.7139450174270506,-0.38011487139461847,-0.25934133728933845,-0.9134699678954099,0.71394501742705
b6i_030,0,P10,310.0,phase=q4,O4_B_C_boundary,state_mapping,0.5802018671417117,0.5802018671417105,0.11021275463135716,0.5802018671417117,0.44896825455381517,1.1142288673242566
b6i_030,0,P10,314.0,phase=q1,O3_A_C_boundary,state_mapping,-0.2745942374719424,-0.2745942374719431,-0.857330050515334,-0.4773323441168613,-0.1193942921599576,1.0074194043616007
b6i_030,0,P10,321.0,phase=q4,O4_B_C_boundary,state_mapping,1.2158642068778514,1.215864206877853,0.5538657063688485,1.2158642068778514,0.3599131716999515,1.2158642068778514
b6i_030,0,P10,350.0,phase=q1,O3_A_C_boundary,state_mapping,,,,1.6293354549500985,0.35002690852624574,1.6293354549500985
b6i_030,0,P10,391.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,1.028304169505904,1.544326648604876
b6i_030,0,P14,16.0,phase=q1,O3_A_C_boundary,state_mapping,,,,-1.6222513877546634,-1.1269519367208347,-0.10250934289995245
b6i_030,0,P14,59.0,phase=q4,O4_B_C_boundary,state_mapping,0.7977775673198536,0.7977775673198547,-0.16953044415603596,0.7977775673198536,-0.03917352537651795,1.120533162044307
b6i_030,0,P14,60.0,phase=q1,O3_A_C_boundary,state_mapping,-1.1363976904608075,-1.1363976904608042,-0.12254925627030222,-0.8692717010364002,-0.03381919218395077,1.2477861394373513
b6i_030,0,P14,74.0,phase=q4,O4_B_C_boundary,state_mapping,-0.3711585473627126,-0.3711585473627115,-0.5645643598037848,-0.3711585473627126,-1.1712593604617374,-0.3711585473627126
b6i_030,0,P14,95.0,phase=q1,O3_A_C_boundary,state_mapping,1.4152164546630874,1.4152164546630905,0.6934456182922439,0.24714385962825497,-0.2397978066327477,1.4152164546630874
b6i_030,0,P14,120.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,-0.8357292649514891,-0.13078778232062893
b6i_030,0,P14,192.0,phase=q1,O3_A_C_boundary,state_mapping,-0.5196167878315218,-0.5196167878315228,-0.6610544723171142,-0.17834162116825597,0.26236363706264176,1.6213458518115786
b6i_030,0,P14,210.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,0.7663973318232425,1.4734859766505237
b6i_030,0,P14,254.0,phase=q1,O3_A_C_boundary,state_mapping,-1.2293372785282342,-1.2293372785282275,-0.6541432595766622,-1.3762058627734022,-1.0945418484872007,-0.09812237459014257
b6i_030,0,P14,271.0,phase=q4,O4_B_C_boundary,state_mapping,1.6083537052384211,1.6083537052384158,0.6911427690031434,1.6083537052384211,0.895659480261802,1.6083537052384211
b6i_030,0,P14,283.0,phase=q1,O3_A_C_boundary,state_mapping,1.043458102393381,1.0434581023933795,0.3501924918707183,1.0672022252452016,0.8929543674600078,1.3467606774097192
b6i_030,0,P14,290.0,phase=q4,O4_B_C_boundary,state_mapping,1.096410881289852,1.0964108812898483,0.5138913501681351,1.096410881289852,0.249351308063258,1.096410881289852
b6i_030,0,P14,301.0,phase=q1,O3_A_C_boundary,state_mapping,0.8998241935619034,0.8998241935619002,0.06266784856856439,0.8182835909435825,-0.032548248774587674,0.8998241935619034
b6i_030,0,P14,308.0,phase=q4,O4_B_C_boundary,state_mapping,-0.18344617858157064,-0.18344617858156986,0.39884384508750903,-0.18344617858157064,0.6337028455699363,1.147618885660504
b6i_030,0,P14,320.0,phase=q1,O3_A_C_boundary,state_mapping,-0.5872092155169227,-0.5872092155169216,-1.0977582302236413,-0.9240865881521951,-0.897188247468214,-0.48568950626954777
b6i_030,0,P14,336.0,phase=q4,O4_B_C_boundary,state_mapping,,,,,1.1777366242575935,1.650587656536404
b6i_030,0,P14,340.0,phase=q1,O3_A_C_boundary,state_mapping,,,,1.6151673205592278,1.2932035633938943,1.6151673205592278
