event_class,event_role,null_index,null_model,n_null_runs,mean_branch_transition_differentiated,sd_branch_transition_differentiated,mean_branch_transition_score,mean_branch_flip_fraction,mean_late_branch_stability
hybrid_phi_sign_switch,primary_phi_fes,0,degree-matched directed random graph,5,0.04878269205229385,0.006141906503170451,0.08821214912365424,0.06086956521739131,0.6035356547335312
hybrid_phi_sign_switch,primary_phi_fes,1,degree-matched directed random graph,5,0.047863538309527255,0.004903695389026344,0.0883121839975061,0.043478260869565216,0.5063395024259723
hybrid_phi_sign_switch,primary_phi_fes,2,degree-matched directed random graph,5,0.051050490286674945,0.004844467426620137,0.09250007587156095,0.043478260869565216,0.4979005546550552
hybrid_phi_sign_switch,primary_phi_fes,3,degree-matched directed random graph,5,0.05222395602665923,0.0063058583569853945,0.09200494706808299,0.043478260869565216,0.4872406858959087
hybrid_phi_sign_switch,primary_phi_fes,4,degree-matched directed random graph,5,0.05531883040715935,0.008662067111199568,0.10072867426944854,0.05217391304347826,0.5415159480983591
hybrid_phi_sign_switch,primary_phi_fes,5,degree-matched directed random graph,5,0.05496367267726907,0.0056662060601149625,0.09701835530310465,0.06086956521739131,0.4801986657146841
hybrid_phi_sign_switch,primary_phi_fes,6,degree-matched directed random graph,5,0.04855551246182639,0.005775779963655309,0.09112718810729711,0.02608695652173913,0.5581992149449503
hybrid_phi_sign_switch,primary_phi_fes,7,degree-matched directed random graph,5,0.04817897141716108,0.007775972262464065,0.09083880194080451,0.043478260869565216,0.5850266130997526
hybrid_phi_sign_switch,primary_phi_fes,8,degree-matched directed random graph,5,0.05298505029246888,0.001704604589408162,0.09651232752384784,0.05217391304347826,0.5124608987358299
hybrid_phi_sign_switch,primary_phi_fes,9,degree-matched directed random graph,5,0.06152132530635075,0.007154864382037702,0.10801290650006094,0.07826086956521738,0.512671642192682
hybrid_phi_sign_switch,primary_phi_fes,10,degree-matched directed random graph,5,0.04962858652865566,0.0033957779929047666,0.09014750112610571,0.05217391304347826,0.5532014478796876
hybrid_phi_sign_switch,primary_phi_fes,11,degree-matched directed random graph,5,0.04348573983167109,0.0038861179964413783,0.07925117032777398,0.034782608695652174,0.553849632624356
hybrid_phi_sign_switch,primary_phi_fes,12,degree-matched directed random graph,5,0.050973206126397816,0.007066797719734956,0.09410160543384252,0.034782608695652174,0.5051523205213772
hybrid_phi_sign_switch,primary_phi_fes,13,degree-matched directed random graph,5,0.04164657872327156,0.003659880993392256,0.07587461263248778,0.034782608695652174,0.6589966568461255
hybrid_phi_sign_switch,primary_phi_fes,14,degree-matched directed random graph,5,0.048439150252918096,0.001938559152713412,0.0881118644672434,0.043478260869565216,0.5216570957684843
hybrid_phi_sign_switch,primary_phi_fes,15,degree-matched directed random graph,5,0.05318355368793729,0.009150078494346221,0.0951195574195243,0.05217391304347826,0.5550954966192997
