mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.6899558381502069,-0.6972097151256972,0.007253876975490512,0.34073185362927416,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6899558381502069,-0.7140804129272931,0.024124574777086346,0.028594281143771244,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6899558381502069,-0.7471867202152502,0.05723088206504335,0.0003999200159968006,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6899558381502069,-0.7220212336657437,0.03206539551553692,0.038992201559688064,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6899558381502069,-0.7306489401862719,0.040693102036065104,0.0013997200559888023,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.6935152501692968,-0.7236199119613944,0.030104661792097576,0.0669866026794641,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.6935152501692968,-0.7179173728310504,0.024402122661753668,0.015596880623875225,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6935152501692968,-0.762028382877992,0.06851313270869519,0.0001999600079984003,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6935152501692968,-0.7241609885840562,0.03064573841475941,0.013997200559888023,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6935152501692968,-0.735428122626351,0.04191287245705422,0.0009998000399920016,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_random,-0.6876824578298033,-0.7012090638885143,0.013526606058711189,0.23555288942211558,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6876824578298033,-0.7143325140564794,0.026650056226676003,0.016796640671865627,502
