mode,endpoint,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,object,true_vs_random,0.6370793027665212,-1.1362400887733286,1.77331939153985,0.0001999600079984003,229
combined_c_fes_gmr72,z_reward,object,true_vs_balanced,0.6370793027665212,1.1172197751713075,-0.4801404724047862,0.973005398920216,229
combined_c_fes_gmr72,z_reward,object,true_vs_performance_matched,0.6370793027665212,-1.5833969174792262,2.2204762202457475,0.0001999600079984003,229
combined_c_fes_gmr72,z_reward,object,true_vs_shuffled_c,0.6370793027665212,-0.4930072851609525,1.1300865879274737,0.0001999600079984003,229
combined_c_fes_gmr72,z_reward,object,true_vs_phase_rotated,0.6370793027665212,1.3159418518055181,-0.678862549038997,1.0,229
combined_c_fes_gmr72,rank_reward,object,true_vs_random,0.5781560119534082,-1.0561220827907682,1.6342780947441764,0.0001999600079984003,229
combined_c_fes_gmr72,rank_reward,object,true_vs_balanced,0.5781560119534082,1.1193762414245478,-0.5412202294711393,0.9862027594481104,229
combined_c_fes_gmr72,rank_reward,object,true_vs_performance_matched,0.5781560119534082,-1.5752768884404906,2.1534329003938995,0.0001999600079984003,229
combined_c_fes_gmr72,rank_reward,object,true_vs_shuffled_c,0.5781560119534082,-0.5222807497948937,1.100436761748302,0.0001999600079984003,229
combined_c_fes_gmr72,rank_reward,object,true_vs_phase_rotated,0.5781560119534082,1.3106442219006142,-0.7324882099472063,1.0,229
combined_c_fes_gmr72,gmr72_bridge_composite,object,true_vs_random,1.0435338299908115,-1.941694402635324,2.985228232626135,0.0001999600079984003,229
combined_c_fes_gmr72,gmr72_bridge_composite,object,true_vs_balanced,1.0435338299908115,1.1524868596015052,-0.10895302961069404,0.738252349530094,229
combined_c_fes_gmr72,gmr72_bridge_composite,object,true_vs_performance_matched,1.0435338299908115,-1.5860673171568676,2.6296011471476786,0.0001999600079984003,229
combined_c_fes_gmr72,gmr72_bridge_composite,object,true_vs_shuffled_c,1.0435338299908115,-0.16405962446371955,1.207593454454531,0.0001999600079984003,229
combined_c_fes_gmr72,gmr72_bridge_composite,object,true_vs_phase_rotated,1.0435338299908115,1.4250345965478401,-0.381500766557029,1.0,229
gmr72_phase_conditioned,z_reward,object,true_vs_random,0.46958694805970774,-2.6065107035191124,3.07609765157882,0.0001999600079984003,66
gmr72_phase_conditioned,z_reward,object,true_vs_balanced,0.46958694805970774,2.3166097720145515,-1.847022823954844,1.0,66
gmr72_phase_conditioned,z_reward,object,true_vs_performance_matched,0.46958694805970774,-1.5539981993251704,2.023585147384878,0.0001999600079984003,66
gmr72_phase_conditioned,z_reward,object,true_vs_shuffled_c,0.46958694805970774,-0.5870552511371483,1.0566421991968558,0.0011997600479904018,66
gmr72_phase_conditioned,z_reward,object,true_vs_phase_rotated,0.46958694805970774,1.961367433907172,-1.4917804858474646,1.0,66
gmr72_phase_conditioned,rank_reward,object,true_vs_random,0.43028179932369215,-2.550493303918902,2.9807751032425944,0.0001999600079984003,66
gmr72_phase_conditioned,rank_reward,object,true_vs_balanced,0.43028179932369215,2.313661361919341,-1.8833795625956493,1.0,66
gmr72_phase_conditioned,rank_reward,object,true_vs_performance_matched,0.43028179932369215,-1.423309301574993,1.8535911008986858,0.0001999600079984003,66
gmr72_phase_conditioned,rank_reward,object,true_vs_shuffled_c,0.43028179932369215,-0.6409929061077096,1.0712747054314018,0.0001999600079984003,66
gmr72_phase_conditioned,rank_reward,object,true_vs_phase_rotated,0.43028179932369215,1.8708523503585723,-1.44057055103488,1.0,66
gmr72_phase_conditioned,gmr72_bridge_composite,object,true_vs_random,1.0367322329868145,-3.284960331963461,4.321692564950275,0.0001999600079984003,66
gmr72_phase_conditioned,gmr72_bridge_composite,object,true_vs_balanced,1.0367322329868145,1.5046442224840204,-0.46791198949720586,0.9972005598880224,66
gmr72_phase_conditioned,gmr72_bridge_composite,object,true_vs_performance_matched,1.0367322329868145,-1.726844226128566,2.7635764591153795,0.0001999600079984003,66
gmr72_phase_conditioned,gmr72_bridge_composite,object,true_vs_shuffled_c,1.0367322329868145,0.6962064208419975,0.34052581214481725,0.051789642071585686,66
gmr72_phase_conditioned,gmr72_bridge_composite,object,true_vs_phase_rotated,1.0367322329868145,1.7742216817791903,-0.7374894487923759,1.0,66
fes_string_conditioned,z_reward,object,true_vs_random,0.9130083741605445,-3.4336109150389853,4.34661928919953,0.0001999600079984003,25
fes_string_conditioned,z_reward,object,true_vs_balanced,0.9130083741605445,1.9342732629428565,-1.021264888782312,0.9992001599680064,25
