mode,endpoint,fold,label,idx_in_session,state_label,direction,arm_kind,access_readout,baseline_max,access_effect
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,true,-0.3399888342272915,0.23874259993798955,-0.5787314341652811
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,random,-0.2575900716779422,0.23874259993798955,-0.49633267161593175
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,balanced,-0.33832982137315304,0.23874259993798955,-0.5770724213111426
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,performance_matched,-0.37471993177411406,0.23874259993798955,-0.6134625317121036
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,shuffled_c,-0.3399888342272915,0.23874259993798955,-0.5787314341652811
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,A_to_B_no_C,phase_rotated,-0.3510878600108507,0.23874259993798955,-0.5898304599488402
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,true,-0.3399888342272915,0.23874259993798955,-0.5787314341652811
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,random,-0.6402911507828672,0.23874259993798955,-0.8790337507208568
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,balanced,-0.33832982137315304,0.23874259993798955,-0.5770724213111426
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,performance_matched,-0.37471993177411406,0.23874259993798955,-0.6134625317121036
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,shuffled_c,-0.3399888342272915,0.23874259993798955,-0.5787314341652811
combined_c_fes_gmr72,z_reward,0,P1,42.0,NO_C_AB_DIRECT,B_to_A_no_C,phase_rotated,-0.3510878600108507,0.23874259993798955,-0.5898304599488402
combined_c_fes_gmr72,z_reward,0,P1,53.0,NO_C_AB_DIRECT,A_to_B_no_C,true,-0.8167164982784638,0.27105184120500864,-1.0877683394834725
combined_c_fes_gmr72,z_reward,0,P1,53.0,NO_C_AB_DIRECT,A_to_B_no_C,random,-0.9151614421345613,0.27105184120500864,-1.18621328333957
combined_c_fes_gmr72,z_reward,0,P1,53.0,NO_C_AB_DIRECT,A_to_B_no_C,balanced,-0.8149722824901194,0.27105184120500864,-1.086024123695128
combined_c_fes_gmr72,z_reward,0,P1,53.0,NO_C_AB_DIRECT,A_to_B_no_C,performance_matched,-0.8532313019682518,0.27105184120500864,-1.1242831431732605
