endpoint,fold,label,idx_in_session,ab_history_state,access_readout,baseline_max,access_effect,control_kind
z_reward,0,P16,66.0,ab=high|lag0=high|lag5=high,0.10035876638018272,0.06143697274255955,0.03892179363762317,ab_history_policy
z_reward,0,P16,90.0,ab=mid|lag0=mid|lag5=mid,-0.05184671792762835,0.2650488252653049,-0.3168955431929332,ab_history_policy
z_reward,0,P16,101.0,ab=mid|lag0=mid|lag5=mid,-0.1334420262228826,0.1754539107868743,-0.3088959370097569,ab_history_policy
z_reward,0,P16,123.0,ab=high|lag0=high|lag5=high,0.6088972150848965,0.5461268751012853,0.06277033998361115,ab_history_policy
z_reward,0,P16,125.0,ab=high|lag0=high|lag5=high,0.6627389060738318,0.5968239293616064,0.06591497671222535,ab_history_policy
z_reward,0,P16,139.0,ab=low|lag0=low|lag5=mid,-0.42034978910542553,0.38572955582551993,-0.8060793449309455,ab_history_policy
z_reward,0,P16,177.0,ab=mid|lag0=mid|lag5=low,-0.3925831166945186,-0.09647538887847253,-0.2961077278160461,ab_history_policy
z_reward,0,P16,220.0,ab=high|lag0=high|lag5=high,0.94116170828494,4.12019750142936,-3.17903579314442,ab_history_policy
z_reward,0,P16,244.0,ab=mid|lag0=mid|lag5=low,0.14586609295622047,1.2419561227064913,-1.0960900297502707,ab_history_policy
z_reward,0,P16,278.0,ab=high|lag0=high|lag5=high,0.36320881191190946,0.5569776283793197,-0.1937688164674103,ab_history_policy
z_reward,0,P16,298.0,ab=mid|lag0=mid|lag5=low,-0.6501001052461928,-0.8044876188687508,0.15438751362255798,ab_history_policy
z_reward,0,P16,312.0,ab=mid|lag0=mid|lag5=high,1.8399302082803533,0.599195097721843,1.2407351105585103,ab_history_policy
z_reward,0,P16,317.0,ab=high|lag0=high|lag5=high,1.4021487674145323,3.525066593325132,-2.1229178259105996,ab_history_policy
z_reward,0,P16,368.0,ab=high|lag0=high|lag5=high,1.0740315463981664,1.0469603399306688,0.02707120646749761,ab_history_policy
z_reward,0,P16,373.0,ab=high|lag0=high|lag5=high,0.050377950533757376,0.1309568871147392,-0.08057893658098184,ab_history_policy
z_reward,0,P16,392.0,ab=mid|lag0=mid|lag5=high,1.1840717773121248,-0.1064067045913272,1.290478481903452,ab_history_policy
z_reward,0,P16,406.0,nan,0.3989179296466668,0.3989179296466668,0.0,ab_history_policy
z_reward,0,P16,417.0,nan,0.0,0.0,0.0,ab_history_policy
z_reward,0,P17,42.0,ab=mid|lag0=mid|lag5=high,0.7012951941268375,0.4628586697182863,0.23843652440855118,ab_history_policy
