bridge_variant,conditions,robust_accesses,strong_accesses,mean_core_pass,mean_stress_pass,mean_true_intersection,mean_control_effect
true72_forward,8,8,8,3.0,1.625,-0.2643750774739903,0.0085374030535813
half36,8,8,8,3.0,1.5,-0.264817854317667,0.0083922961972783
quadrature90,8,8,8,3.0,1.875,-0.2651778196159832,0.0085237477002502
reversed72,8,8,8,3.0,2.0,-0.2667391445705633,0.0088704192215953
skip144,8,8,8,3.0,1.625,-0.2670096446356534,0.0086591507206447
no_bridge,8,8,8,3.0,2.0,-0.6636221643031903,0.0504090126223821
random_phase,8,0,0,0.0,1.125,-0.4579201774173933,0.0067831909998723
