c_representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_c12_shuffled,effect_vs_topology_capacity_matched_null,effect_vs_path_rewired_control,effect_vs_h24_possible_factorisations_168,effect_vs_h24_available_factorisations_junction_coupled,effect_vs_h24_one_factorisation_class_removed,effect_vs_h24_one_junction_family_broken,effect_vs_h24_paths_available_but_mutually_disconnected,effect_vs_h24_complete_factorisation_suite_coupled,effect_vs_h24_degree_matched_null
receiver_standpoint_magnitude_c,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.07610483968901845,10.045838838950434,0.02330380524420119,0.002761075742794146,0.01249816668032968,0.006922066314414818,0.006211180124223602,0.02874285503508227,0.004116316839169353,0.729165002759203,0.012653846565480315,0.651974405699457,0.013767157994303916,0.9947923851839974,0.0010867094333501537,0.02330380524420119,0.002761075742794146,0.8731465408311028,0.019385148550963585,0.10267104332367712,0.02422394851276573,97.0,0.0,0.8181551141267391,0.01889210684363279,0.7334775401122927,0.011659969876950959,0.0,0.023633429792625074,0.027365706548010276,0.030966485493229293,0.024358963233149587,0.02629783410818028,-0.004847735317701565,0.02221586781322148,0.022430624525280614,0.021676575269263025,0.028071796924433096,0.025621395210232868,0.025432078852452918,0.023753445728811558,0.02363990302676644,0.023141549465023715,0.025108392326199342,0.024030218871363748
receiver_standpoint_magnitude_c,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.07610483968901845,10.045838838950434,0.028442721492044402,0.0035392138186931335,0.013522100551380374,0.016138411501976962,0.006211180124223602,0.032115711894914266,0.004499133174333509,0.7356876873095841,0.016342308001785065,0.6533896764761676,0.019616138198152062,0.9805802362987368,0.002476989927279193,0.028442721492044402,0.0035392138186931335,0.6885974319797118,0.04680397709571417,0.11976854458959,0.02915206603044748,97.0,0.0,0.8495105993582548,0.01799421199076862,0.739292070967515,0.015879452931376235,0.0051389162478432115,0.028772346040468286,0.03250462279585349,0.036105401741072504,0.0294978794809928,0.031436750356023495,0.00029118093014164625,0.02735478406106469,0.027569540773123825,0.026815491517106237,0.03321071317227631,0.03076031145807608,0.03057099510029613,0.02889236197665477,0.02877881927460965,0.028280465712866926,0.030247308574042554,0.02916913511920696
receiver_standpoint_magnitude_c,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.07610483968901845,10.045838838950434,0.028151540561902756,0.003182193861162324,0.013009873682376955,0.006532698512515839,0.006211180124223602,0.0317513116344734,0.004068925519577016,0.7327290987378702,0.016911222602831233,0.6514291332396285,0.0218299368571136,0.9802634714268406,0.0026312225438698076,0.028151540561902756,0.003182193861162324,0.683515358778471,0.04301699257036461,0.1188779602916927,0.02798903268696464,97.0,0.0,0.8494038181277517,0.016975873349884877,0.7368006294774853,0.01698641105676621,0.004847735317701565,0.02848116511032664,0.032213441865711845,0.03581422081093086,0.029206698550851153,0.031145569425881845,0.0,0.027063603130923045,0.02727835984298218,0.02652431058696459,0.03291953224213466,0.030469130527934433,0.030279814170154483,0.028601181046513123,0.028487638344468005,0.02798928478272528,0.029956127643900907,0.028877954189065313
receiver_standpoint_magnitude_c,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.07610483968901845,10.045838838950434,0.0010879374309797113,0.0029867535221637094,-0.003427023916965161,0.002972199155335054,0.4968944099378882,0.0018778408241451037,0.004328922502977268,0.5288305595904349,0.015084482560757798,0.46867746968000434,0.01772680806582925,0.936957059814247,0.002334835215760931,0.0010879374309797113,0.0029867535221637094,0.8166994994434796,0.038977278832855074,0.14179875074624207,0.032506008040721346,97.0,0.0,0.7652766899290082,0.010337714891680356,0.5407434927336432,0.013857843233796777,-0.02221586781322148,0.001417561979403596,0.005149838734788798,0.008750617680007814,0.002143095419928108,0.004081966294958801,-0.027063603130923045,0.0,0.0002147567120591358,-0.0005392925439584532,0.005855929111211617,0.003405527397011389,0.003216211039231438,0.0015375779155900775,0.0014240352135449588,0.0009256816518022341,0.002892524512977862,0.0018143510581422693
receiver_standpoint_magnitude_c,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.07610483968901845,10.045838838950434,0.0008731807189205755,0.0027285600355561844,-4.039364740772292e-05,-0.0008680371606896457,0.5962732919254659,0.0005326343107937994,0.0035725499830583526,0.5439122425198907,0.017783985943830256,0.5220328512052619,0.015472134506887357,0.9582461559133286,0.002676514900531182,0.0008731807189205755,0.0027285600355561844,0.6784374670140607,0.06319684419658632,0.1831433470503172,0.026194519992118744,97.0,0.0,0.8091669883210268,0.009798599589103677,0.5651697282142705,0.013942469535505842,-0.022430624525280614,0.00120280526734446,0.004935082022729661,0.008535860967948679,0.0019283387078689721,0.003867209582899665,-0.02727835984298218,-0.0002147567120591358,0.0,-0.000754049256017589,0.005641172399152481,0.003190770684952253,0.003001454327172302,0.0013228212035309417,0.0012092785014858232,0.0007109249397430983,0.002677767800918726,0.0015995943460831333
receiver_standpoint_magnitude_c,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.07610483968901845,10.045838838950434,-0.004061901303809086,0.003580396256776663,-0.0006937411660642061,-0.0004455356582061679,0.5527950310559007,-0.004788099772644653,0.004663872998310548,0.4482295477012922,0.015972055596300314,0.5020524428711828,0.015017052928059249,0.98137411141792,0.0028796655336456927,-0.004061901303809086,0.003580396256776663,0.8045932600375497,0.0479817576265578,0.11025853423984114,0.02758892818343877,97.0,0.0,0.8247073579422928,0.010744543654889312,0.5104976814221857,0.013484380194931927,-0.027365706548010276,-0.0037322767553852015,0.0,0.0036007789452190174,-0.0030067433148606897,-0.0010678724398299967,-0.032213441865711845,-0.005149838734788798,-0.004935082022729661,-0.005689131278747251,0.0007060903764228195,-0.0017443113377774086,-0.0019336276955573594,-0.00361226081919872,-0.0037258035212438386,-0.004224157082986563,-0.002257314221810936,-0.003335487676646528
receiver_standpoint_magnitude_c,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.07610483968901845,10.045838838950434,-0.0076626802490281035,0.0031440572661617597,-0.003785248321303294,-0.002710860393486534,0.7950310559006211,-0.007811792261573483,0.004046779408468924,0.40100387598631915,0.018376054412819105,0.4648122353851981,0.019045626855736925,0.9805704803488144,0.003223052300779368,-0.0076626802490281035,0.0031440572661617597,0.8069499977034745,0.07594720726794753,0.12369939719260717,0.026311914164988383,97.0,0.0,0.8746801617045342,0.01155123260380594,0.4744218792496097,0.014148645673511907,-0.030966485493229293,-0.007333055700604219,-0.0036007789452190174,0.0,-0.006607522260079707,-0.004668651385049015,-0.03581422081093086,-0.008750617680007814,-0.008535860967948679,-0.009289910223966268,-0.002894688568796198,-0.005345090282996426,-0.005534406640776377,-0.0072130397644177375,-0.007326582466462856,-0.007824936028205581,-0.005858093167029953,-0.006936266621865546
receiver_standpoint_magnitude_c,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.07610483968901845,10.045838838950434,-0.0010551579889483966,0.0028750898055788735,0.0009883450734478195,0.0025605374508552506,0.2795031055900621,-0.0010381078061446856,0.0036743273151151625,0.49171692829794617,0.01295525202063359,0.5043128967276085,0.01284995301253419,0.9800774865715702,0.002320933136309854,-0.0010551579889483966,0.0028750898055788735,0.7983161149124054,0.060043647747863985,0.11317156742319368,0.029418379685207125,97.0,0.0,0.883276894785426,0.011821200127933161,0.5170911768734889,0.010191528135607168,-0.024358963233149587,-0.000725533440524512,0.0030067433148606897,0.006607522260079707,0.0,0.0019388708750306927,-0.029206698550851153,-0.002143095419928108,-0.0019283387078689721,-0.0026823879638865613,0.003712833691283509,0.0012624319770832809,0.0010731156193033301,-0.0006055175043380304,-0.0007190602063831491,-0.001217413768125874,0.0007494290930497539,-0.00032874436178583876
receiver_standpoint_magnitude_c,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.07610483968901845,10.045838838950434,-0.0029940288639790894,0.002252036643134313,-0.00024263716717827554,0.0014114993989316096,0.40993788819875776,-0.003209901971217856,0.003112546343994247,0.4896546074396365,0.010262613939716968,0.49155116212277206,0.01329694731420139,0.9789003228242658,0.001162665797168206,-0.0029940288639790894,0.002252036643134313,0.8319538710631905,0.0328182714851976,0.11016908476387491,0.02408184596809691,97.0,0.0,0.8882149693899356,0.010439339222435486,0.5061894545333873,0.009735336973376984,-0.02629783410818028,-0.002664404315555205,0.0010678724398299967,0.004668651385049015,-0.0019388708750306927,0.0,-0.031145569425881845,-0.004081966294958801,-0.003867209582899665,-0.004621258838917254,0.0017739628162528162,-0.0006764388979474119,-0.0008657552557273626,-0.0025443883793687234,-0.002657931081413842,-0.0031562846431565667,-0.0011894417819809388,-0.0022676152368165314
receiver_standpoint_magnitude_c,c8_1,8,8,primary non-D12 contrast,132,0.07610483968901845,10.045838838950434,-0.0003296245484238845,0.0027134760038643266,-0.0008885869148286863,-0.0010526998943288248,0.6273291925465838,-0.00041325356479124327,0.004641455404610508,0.46702053797257087,0.009584057954595292,0.49891509782716925,0.011270705168493723,0.8669000980024467,0.002613424914089196,-0.0003296245484238845,0.0027134760038643266,0.39168802171182626,0.08524449365099761,0.2445595930717789,0.02435387774361077,97.0,0.0,0.6889778962148718,0.007499257933485537,0.5273310205512594,0.009440907435278815,-0.023633429792625074,0.0,0.0037322767553852015,0.007333055700604219,0.000725533440524512,0.002664404315555205,-0.02848116511032664,-0.001417561979403596,-0.00120280526734446,-0.001956854523362049,0.0044383671318080214,0.001987965417607793,0.0017986490598278422,0.00012001593618648164,6.47323414136304e-06,-0.0004918803276013618,0.001474962533574266,0.00039678907873867334
