comparison,effect_mean_true_intersection,p_greater,n_pairs,true72_core_pass_total,variant_core_pass_total,true72_stress_pass_total,variant_stress_pass_total
true72_forward_vs_reversed72_no_forward,0.0023640670965729416,0.003199360127974405,8,24,24,13,16
true72_forward_vs_permuted_fes_order,-0.0001150432193120221,0.7090581883623275,8,24,24,13,15
true72_forward_vs_linear_noncyclic,0.0009987203065141698,0.003799240151969606,8,24,24,13,10
true72_forward_vs_variable_step_structured,0.00024019598255296815,0.011797640471905619,8,24,24,13,12
true72_forward_vs_half36_fixed,0.00044277684367664827,0.0065986802639472104,8,24,24,13,12
true72_forward_vs_quadrature90_fixed,0.0008027421419929126,0.004199160167966407,8,24,24,13,14
true72_forward_vs_skip144_fixed,0.002634567161663111,0.003599280143971206,8,24,24,13,14
true72_forward_vs_random_phase,0.19354509994340297,0.004399120175964807,8,24,0,13,9
true72_forward_vs_no_bridge,0.39924708682919996,0.004399120175964807,8,24,24,13,16
