mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.6950007559170355,-0.7577400413055798,0.06273928538854434,0.0011997600479904018,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6950007559170355,-0.7140804129272931,0.01907965701025769,0.05598880223955209,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6950007559170355,-0.7529190781679855,0.057918322250949957,0.0005998800239952009,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6950007559170355,-0.7009036038078144,0.005902847890778902,0.3649270145970806,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6950007559170355,-0.7221707795776204,0.027170023660584987,0.030193961207758448,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.7026416545245964,-0.7146926091193407,0.012050954594744498,0.2543491301739652,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.7026416545245964,-0.7179173728310504,0.015275718306454088,0.08078384323135374,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.7026416545245964,-0.7523091535051087,0.049667498980512356,0.0001999600079984003,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.7026416545245964,-0.7170879674603143,0.014446312935717959,0.18136372725454908,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.7026416545245964,-0.7287376196282267,0.026095965103630395,0.020195960807838434,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_random,-0.6847463500165495,-0.7596919177957051,0.07494556777915548,0.0003999200159968006,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6847463500165495,-0.7143325140564792,0.02958616403992967,0.006998600279944011,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6847463500165495,-0.7503450090437082,0.06559865902715863,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6847463500165495,-0.7116944528155016,0.026948102798952024,0.05898820235952809,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6847463500165495,-0.7269022722378965,0.042155922221346925,0.004799040191961607,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_random,-0.694491439775022,-0.7170003602413006,0.022508920466278504,0.09618076384723055,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.694491439775022,-0.7173479188673207,0.022856479092298827,0.01759648070385923,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.694491439775022,-0.743816954070144,0.04932551429512195,0.0003999200159968006,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.694491439775022,-0.72664998854865,0.03215854877362795,0.023595280943811237,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.694491439775022,-0.7313614963875984,0.03687005661257637,0.005198960207958408,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_random,-0.271117472060995,-0.2923913793441777,0.021273907283182698,0.0033993201359728054,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_balanced,-0.271117472060995,-0.2768733289059226,0.005755856844927534,0.09138172365526895,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_performance_matched,-0.271117472060995,-0.2770225481142937,0.0059050760532987035,0.16636672665466906,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.271117472060995,-0.2726988585138343,0.001581386452839295,0.4055188962207559,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.271117472060995,-0.28203990012707286,0.010922428066077862,0.011197760447910418,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_random,-0.27669440042249693,-0.2730250607742959,-0.0036693396482010156,0.6942611477704459,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_balanced,-0.27669440042249693,-0.2773493154866781,0.0006549150641812736,0.41831633673265345,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_performance_matched,-0.27669440042249693,-0.27527414325038047,-0.0014202571721164017,0.6016796640671865,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.27669440042249693,-0.2765099290314172,-0.00018447139107965,0.5072985402919417,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.27669440042249693,-0.2841884684886647,0.007494068066167821,0.0629874025194961,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.6720524574571082,-0.7101618867468998,0.03810942928979165,0.012397520495900819,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6720524574571082,-0.7140804129272931,0.04202795547018501,0.0001999600079984003,502
