mode,endpoint,objectification_level,object_pass_count,object_core_pass_count,object_fails_core,object_collapses_against_balanced,object_collapses_against_phase_rotated,mean_object_effect,mean_core_object_effect,mean_true_object_score
fes_string_conditioned,rank_reward,L5_full_objectification,3,1,True,True,True,0.45415842017771507,-0.22343014923631932,0.37846535014809574
fes_string_conditioned,gmr72_bridge_composite,L1_novelty_only,2,0,True,True,True,0.47662283114986703,-0.21316476396360784,0.3971856926248892
fes_string_conditioned,gmr72_bridge_composite,L2_novelty_selected_distance,1,0,True,True,True,-0.2589827398821602,-0.6803298514853328,-0.21581894990180023
fes_string_conditioned,gmr72_bridge_composite,L3_add_entropy_noncollapse,2,0,True,True,True,0.15857018718820007,-0.45251258455990034,0.13214182265683344
fes_string_conditioned,gmr72_bridge_composite,L4_add_coherence,2,0,True,True,True,0.36675645750229197,-0.3100814908236051,0.30563038125191005
fes_string_conditioned,gmr72_bridge_composite,L5_full_objectification,2,0,True,True,True,0.44145890802393756,-0.2310492021042858,0.3678824233532813
linear_c_state,z_reward,L1_novelty_only,1,0,True,True,True,-0.2718920186713799,-0.5745417638786202,-0.22657668222615
linear_c_state,z_reward,L2_novelty_selected_distance,0,0,True,True,True,-1.2231000459827412,-1.46480545953811,-1.019250038318951
linear_c_state,z_reward,L3_add_entropy_noncollapse,1,0,True,True,True,-0.7744181354290208,-1.1332863579300578,-0.6453484461908507
linear_c_state,z_reward,L4_add_coherence,1,0,True,True,True,-0.26292333636517234,-0.7585311152232944,-0.21910278030431035
linear_c_state,z_reward,L5_full_objectification,3,1,True,True,True,0.23173753163240587,-0.32101549256643563,0.19311460969367156
linear_c_state,rank_reward,L1_novelty_only,1,0,True,True,True,-0.2713199928325841,-0.5776256034243151,-0.2260999940271534
linear_c_state,rank_reward,L2_novelty_selected_distance,0,0,True,True,True,-1.1984879861755118,-1.422590880387138,-0.9987399884795929
linear_c_state,rank_reward,L3_add_entropy_noncollapse,0,0,True,True,True,-0.7764995442750426,-1.1148988442994587,-0.6470829535625354
linear_c_state,rank_reward,L4_add_coherence,1,0,True,True,True,-0.2549603194897065,-0.7391147471531947,-0.21246693290808882
linear_c_state,rank_reward,L5_full_objectification,3,1,True,True,True,0.2564072273950441,-0.2891350483697784,0.21367268949587012
linear_c_state,gmr72_bridge_composite,L1_novelty_only,2,0,True,True,True,0.3229556849416471,-0.3078765108268528,0.2691297374513726
linear_c_state,gmr72_bridge_composite,L2_novelty_selected_distance,1,0,True,True,True,-0.45084828512083963,-0.8620647671339038,-0.37570690426736636
linear_c_state,gmr72_bridge_composite,L3_add_entropy_noncollapse,2,0,True,True,True,-0.007273793854576116,-0.5950841448751758,-0.006061494878813437
linear_c_state,gmr72_bridge_composite,L4_add_coherence,2,0,True,True,True,0.2516090568405528,-0.39796253291728173,0.209674214033794
linear_c_state,gmr72_bridge_composite,L5_full_objectification,2,0,True,True,True,0.48921686405541703,-0.1612835972714539,0.40768072004618083
