mode,endpoint,objectification_level,comparison,control_kind,mean_true,mean_control,effect,p_greater,n_pairs,passes
combined_c_fes_gmr72,rank_reward,L2_novelty_selected_distance,true_vs_performance_matched,performance_matched,-0.3678248136640465,-0.5709165931165543,0.20309177945250792,0.0611877624475105,228,False
combined_c_fes_gmr72,rank_reward,L2_novelty_selected_distance,true_vs_shuffled_c,shuffled_c,-0.3678248136640465,0.18124653345744204,-0.5490713471214885,1.0,228,False
combined_c_fes_gmr72,rank_reward,L2_novelty_selected_distance,true_vs_phase_rotated,phase_rotated,-0.3678248136640465,0.17144797238767925,-0.5392727860517258,1.0,228,False
combined_c_fes_gmr72,rank_reward,L3_add_entropy_noncollapse,true_vs_random,random,-0.25694566706977806,-0.3426645032934489,0.08571883622367087,0.22195560887822435,228,False
combined_c_fes_gmr72,rank_reward,L3_add_entropy_noncollapse,true_vs_balanced,balanced,-0.25694566706977806,0.7272417307411512,-0.9841873978109291,1.0,228,False
combined_c_fes_gmr72,rank_reward,L3_add_entropy_noncollapse,true_vs_performance_matched,performance_matched,-0.25694566706977806,-0.2116492430670251,-0.04529642400275293,0.6640671865626875,228,False
combined_c_fes_gmr72,rank_reward,L3_add_entropy_noncollapse,true_vs_shuffled_c,shuffled_c,-0.25694566706977806,0.04969605740819103,-0.3066417244779691,0.9998000399920016,228,False
combined_c_fes_gmr72,rank_reward,L3_add_entropy_noncollapse,true_vs_phase_rotated,phase_rotated,-0.25694566706977806,0.03432162528091011,-0.2912672923506882,1.0,228,False
combined_c_fes_gmr72,rank_reward,L4_add_coherence,true_vs_random,random,-0.04007924931548956,-0.7235140760414749,0.6834348267259852,0.0001999600079984003,221,True
combined_c_fes_gmr72,rank_reward,L4_add_coherence,true_vs_balanced,balanced,-0.04007924931548956,0.8994071323223606,-0.9394863816378499,1.0,221,False
combined_c_fes_gmr72,rank_reward,L4_add_coherence,true_vs_performance_matched,performance_matched,-0.04007924931548956,-0.3105033347614708,0.2704240854459811,0.003599280143971206,221,True
combined_c_fes_gmr72,rank_reward,L4_add_coherence,true_vs_shuffled_c,shuffled_c,-0.04007924931548956,-0.028426766678568284,-0.011652482636921258,0.5672865426914617,221,False
combined_c_fes_gmr72,rank_reward,L4_add_coherence,true_vs_phase_rotated,phase_rotated,-0.04007924931548956,0.20311629447464327,-0.2431955437901328,1.0,221,False
combined_c_fes_gmr72,rank_reward,L5_full_objectification,true_vs_random,random,0.18793756698404132,-0.3206786098559683,0.5086161768400098,0.0001999600079984003,221,True
combined_c_fes_gmr72,rank_reward,L5_full_objectification,true_vs_balanced,balanced,0.18793756698404132,0.3424161552857197,-0.15447858830167843,0.943011397720456,221,False
combined_c_fes_gmr72,rank_reward,L5_full_objectification,true_vs_performance_matched,performance_matched,0.18793756698404132,-0.5677629687637957,0.7557005357478369,0.0001999600079984003,221,True
combined_c_fes_gmr72,rank_reward,L5_full_objectification,true_vs_shuffled_c,shuffled_c,0.18793756698404132,-0.09079469707018059,0.27873226405422186,0.0001999600079984003,221,True
combined_c_fes_gmr72,rank_reward,L5_full_objectification,true_vs_phase_rotated,phase_rotated,0.18793756698404132,0.44888255342018374,-0.26094498643614245,1.0,221,False
combined_c_fes_gmr72,gmr72_bridge_composite,L1_novelty_only,true_vs_random,random,0.14945915823166328,-1.1491694835949162,1.2986286418265793,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L1_novelty_only,true_vs_balanced,balanced,0.14945915823166328,1.0095367584109944,-0.8600776001793309,1.0,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L1_novelty_only,true_vs_performance_matched,performance_matched,0.14945915823166328,-0.31578953386940406,0.46524869210106723,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L1_novelty_only,true_vs_shuffled_c,shuffled_c,0.14945915823166328,0.15650394258999933,-0.007044784358336037,0.5546890621875625,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L1_novelty_only,true_vs_phase_rotated,phase_rotated,0.14945915823166328,0.14945915823166325,2.1037326364367858e-17,0.11857628474305139,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L2_novelty_selected_distance,true_vs_random,random,0.04184617891763428,-0.5595314981286036,0.6013776770462379,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L2_novelty_selected_distance,true_vs_balanced,balanced,0.04184617891763428,0.78031893823745,-0.7384727593198156,1.0,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L2_novelty_selected_distance,true_vs_performance_matched,performance_matched,0.04184617891763428,-0.7755713839592367,0.8174175628768712,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L2_novelty_selected_distance,true_vs_shuffled_c,shuffled_c,0.04184617891763428,0.21585800388568868,-0.17401182496805437,0.989002199560088,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L2_novelty_selected_distance,true_vs_phase_rotated,phase_rotated,0.04184617891763428,0.29707976104706707,-0.2552335821294328,1.0,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L3_add_entropy_noncollapse,true_vs_random,random,0.07110634292743932,-0.9136898653753652,0.9847962083028047,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L3_add_entropy_noncollapse,true_vs_balanced,balanced,0.07110634292743932,0.8951524984335628,-0.824046155506124,1.0,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L3_add_entropy_noncollapse,true_vs_performance_matched,performance_matched,0.07110634292743932,-0.4698008906798666,0.5409072336073057,0.0001999600079984003,228,True
combined_c_fes_gmr72,gmr72_bridge_composite,L3_add_entropy_noncollapse,true_vs_shuffled_c,shuffled_c,0.07110634292743932,0.1822597649549306,-0.11115342202749127,0.9732053589282144,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L3_add_entropy_noncollapse,true_vs_phase_rotated,phase_rotated,0.07110634292743932,0.23497214973929872,-0.16386580681185942,1.0,228,False
combined_c_fes_gmr72,gmr72_bridge_composite,L4_add_coherence,true_vs_random,random,0.2412050490211669,-1.3067871930346129,1.5479922420557795,0.0001999600079984003,221,True
combined_c_fes_gmr72,gmr72_bridge_composite,L4_add_coherence,true_vs_balanced,balanced,0.2412050490211669,0.9413488339052453,-0.7001437848840784,1.0,221,False
combined_c_fes_gmr72,gmr72_bridge_composite,L4_add_coherence,true_vs_performance_matched,performance_matched,0.2412050490211669,-0.3142643135667749,0.5554693625879418,0.0001999600079984003,221,True
combined_c_fes_gmr72,gmr72_bridge_composite,L4_add_coherence,true_vs_shuffled_c,shuffled_c,0.2412050490211669,0.07541273139359882,0.1657923176275681,0.0007998400319936012,221,True
