event_class,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54s_block_density_matched_d2phi,0.19380667313721425,0.7947450124609674,-0.6009383393237531
b54s_block_density_matched_dphi,0.20037284081958848,0.7902579429270337,-0.5898851021074453
b54s_block_density_matched_dphi_rep1,0.26409218072439133,0.8574576095375683,-0.5933654288131771
b54s_block_density_matched_dphi_rep2,0.1392772498403356,0.7276115169119294,-0.5883342670715936
b54s_block_density_matched_dphi_rep3,0.1775618877146168,0.7846802156809278,-0.607118327966311
b54s_block_matched_event_block_shuffled_phi,0.0012254619519299324,0.5251768970926556,-0.5239514351407256
b54s_block_matched_lag_shifted_phi,0.00480684974631942,0.5350538802841561,-0.5302470305378366
b54s_block_matched_shuffled_phi_memory,0.04770877618400796,0.6114239075018517,-0.5637151313178437
b54s_block_permuted_schedule,0.003174060082416803,0.532813624007796,-0.5296395639253791
b54s_phase_preserving_timing_shuffle,0.005809102179129813,0.5384668952347571,-0.5326577930556272
b54s_plus_phi_memory,0.0023922846782857303,0.527791034982976,-0.5253987503046902
b54s_same_schedule_phase_strength_shuffle,9.50802823761307e-05,0.5236509518770041,-0.5235558715946278
b54s_same_schedule_random_phase_strength,1.544216419610525,1.547302269501667,-0.0030858498911417592
