event_class,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54u_boundary_far_matched,0.0011916860368426463,0.5263260632669693,-0.5251343772301266
b54u_boundary_middle_matched,0.0055134370931637896,0.5278435738686034,-0.5223301367754397
b54u_boundary_near_matched,0.0047216206693065,0.533211171247484,-0.5284895505781775
b54u_lag_0,0.003318929006864838,0.5291109864611762,-0.5257920574543113
b54u_lag_minus1,0.003320917933320292,0.5292416261161452,-0.5259207081828248
b54u_lag_minus12,0.005443270538583486,0.5325646350173464,-0.5271213644787629
b54u_lag_minus2,0.004254774592239184,0.5308978767629734,-0.5266431021707343
b54u_lag_minus3,0.0030519860215649573,0.5289180145477308,-0.5258660285261658
b54u_lag_minus5,0.0037241849461821163,0.5297351654755303,-0.5260109805293481
b54u_lag_minus8,0.005076161438035757,0.5314426153229501,-0.5263664538849143
b54u_lag_plus1,0.004704096206378031,0.5310356000749078,-0.5263315038685299
b54u_lag_plus12,0.002404002391746611,0.5292138895595707,-0.5268098871678241
b54u_lag_plus2,0.00190968377247702,0.5269766584986002,-0.5250669747261233
b54u_lag_plus3,0.002431114383350537,0.5278321779010468,-0.5254010635176962
b54u_lag_plus5,0.002147016122039369,0.5277228560675006,-0.5255758399454613
b54u_lag_plus8,0.0018700208626597783,0.5275653889610139,-0.525695368098354
b54u_leading_window_r1,0.006061898695769011,0.5351569047931728,-0.5290950060974039
b54u_leading_window_r2,0.005940976631855893,0.5354691713163616,-0.5295281946845056
b54u_leading_window_r5,0.007867996313715184,0.5393599074550686,-0.5314919111413534
b54u_symmetric_window_r1,0.004894936225721368,0.5333374380556882,-0.5284425018299668
b54u_symmetric_window_r2,0.004585314175346337,0.5329090453743374,-0.5283237311989909
b54u_symmetric_window_r3,0.005306511808450348,0.5347937334928267,-0.5294872216843762
b54u_symmetric_window_r5,0.0032763981534141623,0.5314410344801361,-0.528164636326722
b54u_symmetric_window_r8,0.0007750499749264253,0.5262947048891727,-0.5255196549142462
b54u_trailing_window_r1,0.006219134176050692,0.5350429507728285,-0.5288238165967779
b54u_trailing_window_r2,0.00461336657109429,0.5324578494555985,-0.5278444828845043
b54u_trailing_window_r5,0.0023763211537567793,0.5285631859987053,-0.5261868648449486
