source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
readout_deviation_from_c12,c10_ring_share_10,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.9093017089842015,10/11,10,11,0.00021079989329242377,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_deviation_from_c12,c16,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.8237432666899616,14/17,14,17,0.0002138549252557187,True,False,True,even_n
readout_deviation_from_c12,c14,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8237454236535007,14/17,14,17,0.00021601188879483146,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c14,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8237454236535007,14/17,14,17,0.00021601188879483146,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c14_ring_share_10,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9132691721731561,21/23,21,23,0.0002256939122865509,True,False,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_rank_scaled,c11,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.04143366403109666,1/24,1,24,0.0002330026355700024,True,False,False,odd_n
readout_rank_scaled,c11,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.04143366403109666,1/24,1,24,0.0002330026355700024,True,False,False,odd_n
readout_rank_scaled,c14_ring_share_7,reverse-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.14261678825325516,1/7,1,7,0.00024035460388768803,True,False,False,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c14_ring_share_7,reverse-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8573832117467448,6/7,6,7,0.0002403546038877158,True,False,True,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c14,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9228220644506441,12/13,12,13,0.0002548586262790531,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c12_degree_null,reverse-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.5265718303903081,10/19,10,19,0.00025604091662390083,True,False,True,c12_neighborhood|even_n
paired_boundary,c10_ring_share_5,boundary,,full_minus_reverse,abs_mean_delta_scaled,0.08669273151490957,2/23,2,23,0.00026379022422086396,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_side_broken,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.636630095038007,7/11,7,11,0.00026645867437069537,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c12_side_broken,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.636630095038007,7/11,7,11,0.00026645867437069537,True,False,True,c12_neighborhood|even_n
readout_rank_scaled,c13_reversed,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.19973253760701162,1/5,1,5,0.0002674623929883879,True,False,False,c13_full_branch|reversed|odd_n
readout_rank_scaled,c13_reversed,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.19973253760701162,1/5,1,5,0.0002674623929883879,True,False,False,c13_full_branch|reversed|odd_n
readout_deviation_from_c12,c14_degree_null,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9044931420690756,19/21,19,21,0.0002687626928291609,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14_side_broken,boundary,c_to_ab_receiver_only,,readout_minmax_scaled,0.2102538023597723,4/19,4,19,0.00027251342970135983,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.07664648223963827,1/13,1,13,0.0002765946834386579,True,False,False,c14_transition_probe|even_n
readout_deviation_from_c12,c14_degree_null,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8663897584225121,13/15,13,15,0.0002769082441546056,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14_degree_null,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.133610241577488,2/15,2,15,0.0002769082441546611,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c12_edge_count_null,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.5997181445338525,3/5,3,5,0.0002818554661474515,True,False,True,c12_neighborhood|even_n
paired_boundary,c13_ring_share_11,full-stable,,full_minus_reverse,ci_width_scaled,0.4088056939327498,9/22,9,22,0.0002852151581593243,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
readout_deviation_from_c12,c13_ring_share_11,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7823228869458453,18/23,18,23,0.00028580870632866073,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
readout_deviation_from_c12,c10_degree_null,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.8891809863971456,8/9,8,9,0.0002920975082567612,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.7724252289669926,17/22,17,22,0.0003020437602800907,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c9,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8264026060360942,19/23,19,23,0.00031564951435503197,True,False,True,odd_n
readout_deviation_from_c12,c9,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8264026060360942,19/23,19,23,0.00031564951435503197,True,False,True,odd_n
readout_deviation_from_c12,c10_reversed,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.9227501919716058,12/13,12,13,0.00032673110531733496,True,False,True,c10_boundary_candidate|reversed|5_or_10_proxy|even_n
readout_rank_scaled,c10_reversed,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.07724980802839436,1/13,1,13,0.0003267311053174321,True,False,False,c10_boundary_candidate|reversed|5_or_10_proxy|even_n
readout_deviation_from_c12,c10_edge_count_null,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.8892256906509243,8/9,8,9,0.00033680176203543244,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c13,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7891315478952393,15/19,15,19,0.0003421363152870116,True,False,True,c13_full_branch|odd_n
paired_boundary,c14_edge_count_null,full-stable,,full_minus_reverse,ci_width_scaled,0.571068729338307,4/7,4,7,0.00035984209026440617,True,False,True,c14_transition_probe|even_n
paired_boundary,c16,full-stable,,full_minus_reverse,ci_width_scaled,0.4586991123096559,11/24,11,24,0.0003657789763225616,True,False,True,even_n
readout_rank_scaled,c14_degree_null,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.09484919022594067,2/21,2,21,0.00038890501215456397,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14_edge_count_null,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.05514851595706812,1/18,1,18,0.00040703959848743115,True,False,False,c14_transition_probe|even_n
readout_rank_scaled,c12_ring_share_5,reverse-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.8819374809875768,15/17,15,17,0.0004154601888937126,True,False,True,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c12_ring_share_5,reverse-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.8819374809875768,15/17,15,17,0.0004154601888937126,True,False,True,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c10,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.0829131775670649,1/12,1,12,0.0004201557662684291,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c10,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.9170868224329352,11/12,11,12,0.00042015576626852624,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c13,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2087539453843245,5/24,5,24,0.0004206120509911704,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c12_side_broken,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.7731551818556811,17/22,17,22,0.0004279091284083991,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c14_degree_null,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.7337639125209288,11/15,11,15,0.0004305791875954812,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c14_degree_null,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.7337639125209288,11/15,11,15,0.0004305791875954812,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c13_edge_count_null,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.8670976301282035,13/15,13,15,0.0004309634615368152,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c14_reversed,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.8631990379608682,19/22,19,22,0.0004373256754954813,True,False,True,c14_transition_probe|reversed|even_n
readout_rank_scaled,c12_ring_share_7,reverse-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.8819121066763613,15/17,15,17,0.00044083450010923286,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c12_ring_share_7,reverse-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.11808789332363889,2/17,2,17,0.00044083450010948266,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c16,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.8416622330608662,16/19,16,19,0.00044303009702850726,True,False,True,even_n
paired_boundary,c12,reverse-stable,,full_minus_reverse,abs_mean_delta_scaled,0.8425621473165457,16/19,16,19,0.000456884158650972,True,False,True,c12_neighborhood|even_n
readout_rank_scaled,c10_ring_share_5,boundary,full_self_consistent_rstar,,readout_minmax_scaled,0.11157165612976436,1/9,1,9,0.00046054501865325226,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c11,boundary,c_to_ab_receiver_only,,readout_minmax_scaled,0.0913758966687186,1/11,1,11,0.00046680575962769477,True,False,False,odd_n
paired_boundary,c9,boundary,,full_minus_reverse,ci_width_scaled,0.5620240041740604,9/16,9,16,0.0004759958259396013,True,False,True,odd_n
readout_deviation_from_c12,c12_ring_share_7,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.00047728838900449434,0/1,0,1,0.00047728838900449434,True,False,False,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_rank_scaled,c13_ring_share_10,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.13586228105224807,3/22,3,22,0.0005013553113882852,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
readout_deviation_from_c12,c13_ring_share_10,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.864137718947752,19/22,19,22,0.0005013553113883962,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
readout_rank_scaled,c12_ring_share_7,reverse-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.888380795352899,8/9,8,9,0.0005080935359897953,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_rank_scaled,c12_ring_share_7,reverse-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.888380795352899,8/9,8,9,0.0005080935359897953,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c13_degree_null,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.7338450386741839,11/15,11,15,0.0005117053408506544,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c13_degree_null,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.7338450386741839,11/15,11,15,0.0005117053408506544,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c14_ring_share_11,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.14336912620118725,1/7,1,7,0.0005119833440443977,True,False,False,c14_transition_probe|ring_sharing|ring_share_11|even_n
readout_rank_scaled,c14_ring_share_11,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.14336912620118725,1/7,1,7,0.0005119833440443977,True,False,False,c14_transition_probe|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c13_reversed,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7922038360807705,19/24,19,24,0.0005371694141038663,True,False,True,c13_full_branch|reversed|odd_n
readout_rank_scaled,c10_degree_null,reverse-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.04220546188896056,1/24,1,24,0.0005387952222938933,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c10_degree_null,reverse-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.04220546188896056,1/24,1,24,0.0005387952222938933,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_ring_share_7,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.1047146742999275,2/19,2,19,0.0005484835948093431,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c12_ring_share_7,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.1047146742999275,2/19,2,19,0.0005484835948093431,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
paired_boundary,c12_reversed,reverse-stable,,full_minus_reverse,abs_mean_delta_scaled,0.7077848010938664,17/24,17,24,0.0005485322394669367,True,False,True,c12_neighborhood|reversed|even_n
paired_boundary,c14_degree_null,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.8894511460386062,8/9,8,9,0.0005622571497173601,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c13_edge_count_null,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.17590461461466753,3/17,3,17,0.0005659736206266031,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c13_edge_count_null,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8240953853853327,14/17,14,17,0.0005659736206268251,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c16,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.17448929942703612,4/23,4,23,0.0005762559487752505,True,False,True,even_n
readout_rank_scaled,c10_ring_share_7,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.04290157804064278,1/23,1,23,0.0005766828289224396,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_7|5_or_10_proxy|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c10_ring_share_7,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.9570984219593573,22/23,22,23,0.0005766828289225367,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_7|5_or_10_proxy|x3_or_7mod12_proxy|even_n
paired_boundary,c10_degree_null,reverse-stable,,full_minus_reverse,ci_width_scaled,0.5505783160155326,11/20,11,20,0.0005783160155325984,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c13_ring_share_10,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8254949986328671,19/23,19,23,0.0005919578888720078,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
readout_deviation_from_c12,c13_ring_share_10,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8254949986328671,19/23,19,23,0.0005919578888720078,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,ci_width_scaled,0.5410638860977331,13/24,13,24,0.0006027805689334809,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c13_shuffled,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.2625519098534646,5/19,5,19,0.0006059848833774861,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c13_shuffled,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.7374480901465356,14/19,14,19,0.0006059848833777082,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c12_edge_count_null,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.5876256808566854,10/17,10,17,0.00060961326096165,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c12_edge_count_null,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.5876256808566854,10/17,10,17,0.00060961326096165,True,False,True,c12_neighborhood|even_n
paired_boundary,c14_reversed,boundary,,full_minus_reverse,ci_width_scaled,0.35061116566344397,7/20,7,20,0.000611165663443991,True,False,True,c14_transition_probe|reversed|even_n
readout_deviation_from_c12,c10_side_broken,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7784098431062069,7/9,7,9,0.0006320653284290767,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c16,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.15724744067303023,3/19,3,19,0.0006472961690750234,True,False,True,even_n
readout_rank_scaled,c12_ring_share_7,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.8427632376943075,16/19,16,19,0.0006579745364128087,True,False,True,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
event_geometry,representation_events,representation,c_to_ab_magnitude_only,,c_to_ab_magnitude_only_survivor_strength_fraction,0.1732389774967682,4/23,4,23,0.0006740659814926664,True,False,True,survivor_strength
event_geometry,representation_events,representation,c_to_ab_standpoint_only,,c_to_ab_standpoint_only_survivor_strength_fraction,0.1732389774967682,4/23,4,23,0.0006740659814926664,True,False,True,survivor_strength
readout_rank_scaled,c12_shuffled,reverse-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.4730011834508271,9/19,9,19,0.0006830270754886736,True,False,True,c12_neighborhood|even_n
paired_boundary,c12_ring_share_5,reverse-stable,,full_minus_reverse,ci_width_scaled,0.7215249980968292,13/18,13,18,0.0006972241253929701,True,False,True,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_deviation_from_c12,c13,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9506972353627148,19/20,19,20,0.0006972353627148209,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c14_edge_count_null,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.15070094986581142,3/20,3,20,0.0007009498658114288,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14_edge_count_null,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.15070094986581142,3/20,3,20,0.0007009498658114288,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c13_ring_share_11,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8688628602111454,20/23,20,23,0.0007023571801588746,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
readout_rank_scaled,c13_ring_share_11,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.13113713978885466,3/23,3,23,0.0007023571801590134,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
event_geometry,representation_events,representation,full_self_consistent_rstar,,full_self_consistent_rstar_survivor_strength_fraction,0.1746186750475761,4/23,4,23,0.000705631569315246,True,False,True,survivor_strength
readout_rank_scaled,c10_reversed,boundary,c_to_ab_receiver_only,,readout_minmax_scaled,0.11183367337205107,1/9,1,9,0.0007225622609399601,True,False,False,c10_boundary_candidate|reversed|5_or_10_proxy|even_n
readout_deviation_from_c12,c14_ring_share_7,reverse-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.8757349239344797,7/8,7,8,0.0007349239344797143,True,False,True,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_rank_scaled,c13_ring_share_10,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.17315920127068782,4/23,4,23,0.0007538422075730467,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
readout_rank_scaled,c13_ring_share_10,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.17315920127068782,4/23,4,23,0.0007538422075730467,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
paired_boundary,c10_ring_share_11,boundary,,full_minus_reverse,ci_width_scaled,0.537705373188102,7/13,7,13,0.000756165273436471,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_11|5_or_10_proxy|even_n
readout_deviation_from_c12,c10_shuffled,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8742388201196438,7/8,7,8,0.0007611798803561776,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c10_shuffled,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8742388201196438,7/8,7,8,0.0007611798803561776,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c13_side_broken,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8117308249873623,13/16,13,16,0.000769175012637735,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c13_side_broken,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.18826917501263776,3/16,3,16,0.0007691750126377628,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c13_side_broken,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.21129697778414414,4/19,4,19,0.0007706619946704629,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c13_side_broken,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.21129697778414414,4/19,4,19,0.0007706619946704629,True,False,True,c13_full_branch|odd_n
paired_boundary,c13_ring_share_11,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.4744590610846595,9/19,9,19,0.0007748505583437537,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
readout_rank_scaled,c10,boundary,full_self_consistent_rstar,,readout_minmax_scaled,0.09601471374716475,2/21,2,21,0.0007766185090695155,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_receiver_only,,readout_minmax_scaled,0.11188857956275641,1/9,1,9,0.0007774684516453079,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c10_edge_count_null,boundary,,full_minus_reverse,abs_mean_delta_scaled,0.13558093499833,3/22,3,22,0.0007827013653063652,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c11,boundary,,full_minus_reverse,ci_width_scaled,0.7833920660185405,18/23,18,23,0.0007833703663665537,True,False,True,odd_n
paired_boundary,c14_ring_share_10,reverse-stable,,full_minus_reverse,abs_mean_delta_scaled,0.2315540961604678,3/13,3,13,0.0007848653912370107,True,False,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
paired_boundary,c13_edge_count_null,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.1492011704181326,3/20,3,20,0.0007988295818673885,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c10,boundary,c_to_ab_receiver_only,,readout_minmax_scaled,0.13123589935728527,3/23,3,23,0.0008011167485896253,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c8,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.2264710377225787,5/22,5,22,0.0008016895501485599,True,False,True,even_n
readout_rank_scaled,c13_side_broken,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.31498405506374555,6/19,6,19,0.0008054186204649594,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c12_degree_null,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.469777012584767,8/17,8,17,0.0008112227093506341,True,False,True,c12_neighborhood|even_n
readout_rank_scaled,c14_ring_share_10,reverse-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.08613359255260349,2/23,2,23,0.0008229291865269467,True,False,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_degree_null,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.736013805602408,14/19,14,19,0.0008282996607498205,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c12_degree_null,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.736013805602408,14/19,14,19,0.0008282996607498205,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c10_degree_null,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.9574665156076793,23/24,23,24,0.0008668177256541121,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c10_degree_null,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.9574665156076793,23/24,23,24,0.0008668177256541121,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c13_shuffled,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.22640205880666786,5/22,5,22,0.0008706684660594044,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c13_shuffled,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.22640205880666786,5/22,5,22,0.0008706684660594044,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c12_ring_share_10,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.0008718070222018222,0/1,0,1,0.0008718070222018222,True,False,False,c12_neighborhood|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_ring_share_10,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.0008718070222018222,0/1,0,1,0.0008718070222018222,True,False,False,c12_neighborhood|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_deviation_from_c12,c13_ring_share_11,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9482430206505711,18/19,18,19,0.0008745995979395627,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
paired_boundary,c13_shuffled,boundary,,full_minus_reverse,abs_mean_delta_scaled,0.07230781358280457,1/14,1,14,0.0008792421542331424,True,False,False,c13_full_branch|odd_n
readout_deviation_from_c12,c10_ring_share_7,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.9038733445623203,19/21,19,21,0.0008885601995844983,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_7|5_or_10_proxy|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c13_shuffled,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.7718383355221263,17/22,17,22,0.0008889372051463784,True,False,True,c13_full_branch|odd_n
readout_deviation_from_c12,c13_shuffled,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.7718383355221263,17/22,17,22,0.0008889372051463784,True,False,True,c13_full_branch|odd_n
