source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c11,boundary,full_self_consistent_rstar,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,odd_n
readout_deviation_from_c12,c12,reverse-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
readout_rank_scaled,c11,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,odd_n
readout_deviation_from_c12,c12,reverse-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
event_geometry,representation_events,representation,reverse_only_c_to_ab,,reverse_only_c_to_ab_top4_survivor_overlap_fraction,0.0,0/1,0,1,0.0,True,False,False,top4_overlap
event_geometry,representation_events,representation,c_to_ab_receiver_only,,c_to_ab_receiver_only_top4_survivor_overlap_fraction,0.0,0/1,0,1,0.0,True,False,False,top4_overlap
paired_boundary,c8,reverse-stable,,full_minus_reverse,ci_width_scaled,1.0,1/1,1,1,0.0,True,False,False,even_n
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,full_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c10_degree_null,reverse-stable,,full_minus_reverse,reverse_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c12_ring_share_5,reverse-stable,,full_minus_reverse,abs_mean_delta_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c12_ring_share_7,reverse-stable,,full_minus_reverse,reverse_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c10_ring_share_5,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_receiver_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c10_ring_share_5,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c11,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,odd_n
readout_rank_scaled,c12_ring_share_11,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c11,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,odd_n
readout_rank_scaled,c12,reverse-stable,reverse_only_c_to_ab,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|even_n
paired_boundary,c14_ring_share_11,boundary,,full_minus_reverse,full_win_fraction,0.3333333333333333,1/3,1,3,0.0,True,False,False,c14_transition_probe|ring_sharing|ring_share_11|even_n
paired_boundary,c12_reversed,reverse-stable,,full_minus_reverse,full_win_fraction,0.1111111111111111,1/9,1,9,0.0,True,False,False,c12_neighborhood|reversed|even_n
paired_boundary,c12_ring_share_10,reverse-stable,,full_minus_reverse,full_win_fraction,0.1111111111111111,1/9,1,9,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_10|5_or_10_proxy|even_n
paired_boundary,c12_ring_share_11,reverse-stable,,full_minus_reverse,full_win_fraction,0.1111111111111111,1/9,1,9,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n
paired_boundary,c12_side_broken,full-stable,,full_minus_reverse,full_win_fraction,0.9166666666666666,11/12,11,12,0.0,True,False,True,c12_neighborhood|even_n
paired_boundary,c14_shuffled,full-stable,,full_minus_reverse,full_win_fraction,0.9166666666666666,11/12,11,12,0.0,True,False,True,c14_transition_probe|even_n
