event_class,label,heldout_label,task_idx,phase,strength,event_rule
receiver_standpoint_magnitude_c,P2,P2,106.0,-0.1221769944153266,3.484696003007027,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,129.0,-0.0327897547978903,0.6439520978570223,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,146.0,0.0636796371990668,1.2263015101097878,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,173.0,-0.0693785013483995,1.0672550991602145,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,177.0,0.0422270737310269,0.8177686585304301,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,187.0,-0.1571850934190885,0.6929251051237953,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,286.0,0.0749353820295158,0.48064883033913014,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P2,P2,384.0,0.1691058364940951,1.0965119015722804,train-label top 0.75 threshold applied to heldout P2
receiver_standpoint_magnitude_c,P20,P20,73.0,0.0763496563456038,2.112170271262889,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,123.0,0.0136020972949251,2.4283833418661245,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,162.0,-0.2197454870586384,0.3876574875170816,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,217.0,0.1284856019267746,1.1332998642091865,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,234.0,-0.0803876989477943,1.1072896189987134,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,292.0,-0.0250135175248449,1.832718187717028,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,338.0,-0.2137940054237646,0.9599599551258096,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,396.0,0.0306079037964329,0.6211049936726365,train-label top 0.75 threshold applied to heldout P20
receiver_standpoint_magnitude_c,P20,P20,401.0,-0.0642257535482894,0.7110213234644865,train-label top 0.75 threshold applied to heldout P20
