heldout_label,c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes
P1,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,3,0.11412605364644605,0.34237816093933815,0.007505153334272249,0.06223350365198289,0.003092146961348568,0.012491599955665254,0.4897959183673469,12 nodes with no coupling edges
P1,receiver_standpoint_magnitude_c,c12_1_2,12,48,3,0.11412605364644605,0.34237816093933815,-0.007355492463928012,0.041115380834266406,-0.007606329498190062,-0.006724193605911637,0.673469387755102,primary Luke/D12RG normalized readout candidate
P1,receiver_standpoint_magnitude_c,c12_reversed,12,48,3,0.11412605364644605,0.34237816093933815,0.002942004409823074,0.038602630679469806,-0.00242066250629061,0.0072665817845651536,0.3877551020408163,"C12(1,2) with all directed arrows reversed"
P1,receiver_standpoint_magnitude_c,c12_side_broken,12,48,3,0.11412605364644605,0.34237816093933815,-0.008267741922435198,0.040112285559206595,-0.01016192576939955,-0.0054760544158770005,0.6326530612244898,degree-matched C12 side-correspondence-broken control
P1,receiver_standpoint_magnitude_c,c12_shuffled,12,48,3,0.11412605364644605,0.34237816093933815,-0.008167016228285489,0.03937747121389606,-0.009961669075384554,-0.01404517558594626,0.6530612244897959,C12 capacity-preserving target-shuffled control
P1,receiver_standpoint_magnitude_c,c10,10,40,3,0.11412605364644605,0.34237816093933815,-0.006930808105090773,0.03260312877996713,-0.018775760279820898,-0.007019106971109048,0.6938775510204082,"C10(1,2) neighbouring-cycle control"
P1,receiver_standpoint_magnitude_c,c11,11,44,3,0.11412605364644605,0.34237816093933815,-0.018060875367743985,0.0367650205096837,-0.02586456922020602,-0.03189862399089691,0.8367346938775511,"C11(1,2) neighbouring-cycle control"
P1,receiver_standpoint_magnitude_c,c13,13,52,3,0.11412605364644605,0.34237816093933815,-0.023112460037349375,0.039499401858309476,-0.03311980520967023,-0.01941964647564634,0.8775510204081632,"C13(1,2) neighbouring-cycle control"
P1,receiver_standpoint_magnitude_c,c14,14,56,3,0.11412605364644605,0.34237816093933815,-0.007558590361338868,0.03834773463650303,-0.0056740125204129055,-0.00746281157221389,0.673469387755102,"C14(1,2) neighbouring-cycle control"
P10,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.0858939699251782,0.429469849625891,-0.006166976092704134,0.019711543844402477,-0.002034507910514206,-0.009446844334862087,0.5714285714285714,12 nodes with no coupling edges
