heldout_label,c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes
P10,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.0858939699251782,0.429469849625891,0.0041698718380553425,0.016608404946735617,0.007227055603260769,0.0011102545572296905,0.3673469387755102,primary Luke/D12RG normalized readout candidate
P10,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.0858939699251782,0.429469849625891,0.0032057140600594666,0.018650424264698876,0.003098559131068681,0.0006289438454165916,0.4489795918367347,"C12(1,2) with all directed arrows reversed"
P10,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.0858939699251782,0.429469849625891,-0.004727165476499058,0.01785467803688681,-0.006683890384649062,-0.008749039555224873,0.7142857142857143,degree-matched C12 side-correspondence-broken control
P10,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.0858939699251782,0.429469849625891,0.0030985046179157418,0.023849898101963765,0.00927833125655585,0.007907611571650316,0.2653061224489796,C12 capacity-preserving target-shuffled control
P10,receiver_standpoint_magnitude_c,c10,10,40,5,0.0858939699251782,0.429469849625891,-0.010386790671875158,0.021048190168724813,-0.008591630429766383,-0.00988670685204792,0.7142857142857143,"C10(1,2) neighbouring-cycle control"
P10,receiver_standpoint_magnitude_c,c11,11,44,5,0.0858939699251782,0.429469849625891,0.0001607027366240813,0.016868777908899363,0.003540601783558213,0.007340412701449853,0.32653061224489793,"C11(1,2) neighbouring-cycle control"
P10,receiver_standpoint_magnitude_c,c13,13,52,5,0.0858939699251782,0.429469849625891,-0.0007362309663347654,0.024748950940225903,0.0026502285072366473,-0.0056762254159793,0.5510204081632653,"C13(1,2) neighbouring-cycle control"
P10,receiver_standpoint_magnitude_c,c14,14,56,5,0.0858939699251782,0.429469849625891,0.0031074307574468774,0.02096142623081973,0.006261896824103781,0.004109027595902411,0.46938775510204084,"C14(1,2) neighbouring-cycle control"
P11,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,1,0.1,0.1,,,,,,12 nodes with no coupling edges
P11,receiver_standpoint_magnitude_c,c12_1_2,12,48,1,0.1,0.1,,,,,,primary Luke/D12RG normalized readout candidate
P11,receiver_standpoint_magnitude_c,c12_reversed,12,48,1,0.1,0.1,,,,,,"C12(1,2) with all directed arrows reversed"
P11,receiver_standpoint_magnitude_c,c12_side_broken,12,48,1,0.1,0.1,,,,,,degree-matched C12 side-correspondence-broken control
P11,receiver_standpoint_magnitude_c,c12_shuffled,12,48,1,0.1,0.1,,,,,,C12 capacity-preserving target-shuffled control
P11,receiver_standpoint_magnitude_c,c10,10,40,1,0.1,0.1,,,,,,"C10(1,2) neighbouring-cycle control"
P11,receiver_standpoint_magnitude_c,c11,11,44,1,0.1,0.1,,,,,,"C11(1,2) neighbouring-cycle control"
P11,receiver_standpoint_magnitude_c,c13,13,52,1,0.1,0.1,,,,,,"C13(1,2) neighbouring-cycle control"
P11,receiver_standpoint_magnitude_c,c14,14,56,1,0.1,0.1,,,,,,"C14(1,2) neighbouring-cycle control"
P12,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,3,0.1297230299169875,0.3891690897509625,-0.013053811987636638,0.07225822882564438,-0.014130552965875651,-0.008462706009662698,0.6326530612244898,12 nodes with no coupling edges
P12,receiver_standpoint_magnitude_c,c12_1_2,12,48,3,0.1297230299169875,0.3891690897509625,-0.0025435258988935248,0.043193388787709106,-0.005794332104364748,-0.005941439986639456,0.5714285714285714,primary Luke/D12RG normalized readout candidate
P12,receiver_standpoint_magnitude_c,c12_reversed,12,48,3,0.1297230299169875,0.3891690897509625,-0.0037400193847738432,0.04164091638120998,-0.0016645608623304642,-0.006124735217612179,0.6938775510204082,"C12(1,2) with all directed arrows reversed"
P12,receiver_standpoint_magnitude_c,c12_side_broken,12,48,3,0.1297230299169875,0.3891690897509625,-0.010484403628874301,0.04377982402953619,-0.01628098387715205,-0.009876633677471354,0.7346938775510204,degree-matched C12 side-correspondence-broken control
P12,receiver_standpoint_magnitude_c,c12_shuffled,12,48,3,0.1297230299169875,0.3891690897509625,0.007112522768152836,0.03899048309631563,0.007920486117975191,0.008888291893619499,0.3877551020408163,C12 capacity-preserving target-shuffled control
P12,receiver_standpoint_magnitude_c,c10,10,40,3,0.1297230299169875,0.3891690897509625,-0.01180818034887122,0.037940672709549476,-0.016817273638827075,-0.013960516676001494,0.7142857142857143,"C10(1,2) neighbouring-cycle control"
P12,receiver_standpoint_magnitude_c,c11,11,44,3,0.1297230299169875,0.3891690897509625,0.012670328591737395,0.037636703633894215,0.011139826458715581,0.012930982728752132,0.2653061224489796,"C11(1,2) neighbouring-cycle control"
P12,receiver_standpoint_magnitude_c,c13,13,52,3,0.1297230299169875,0.3891690897509625,-0.006052649714341327,0.030499772706147472,0.002215963559689129,-0.010355452447698275,0.6326530612244898,"C13(1,2) neighbouring-cycle control"
P12,receiver_standpoint_magnitude_c,c14,14,56,3,0.1297230299169875,0.3891690897509625,-0.009350435882437823,0.03656337944118604,-0.004163986903376178,-0.008325543586473201,0.6326530612244898,"C14(1,2) neighbouring-cycle control"
P13,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,8,0.07940508015205336,0.6352406412164269,-0.007173851652764927,0.020094949025768027,-0.007313720856251557,-0.0036757742915767416,0.6326530612244898,12 nodes with no coupling edges
P13,receiver_standpoint_magnitude_c,c12_1_2,12,48,8,0.07940508015205336,0.6352406412164269,-0.005691828693306395,0.012482832735821825,-0.00941782397954859,-0.010377420515324268,0.7551020408163265,primary Luke/D12RG normalized readout candidate
P13,receiver_standpoint_magnitude_c,c12_reversed,12,48,8,0.07940508015205336,0.6352406412164269,0.0013055484049619471,0.0081121810301483,9.708124629198176e-05,0.0032885960033264315,0.40816326530612246,"C12(1,2) with all directed arrows reversed"
P13,receiver_standpoint_magnitude_c,c12_side_broken,12,48,8,0.07940508015205336,0.6352406412164269,-0.0030487431313153484,0.011658008283613448,-0.0034369843188952792,-0.0034207187215121652,0.7551020408163265,degree-matched C12 side-correspondence-broken control
P13,receiver_standpoint_magnitude_c,c12_shuffled,12,48,8,0.07940508015205336,0.6352406412164269,-0.0004367434638209878,0.010569046977679884,0.001622439713179225,0.002307965591585849,0.3877551020408163,C12 capacity-preserving target-shuffled control
P13,receiver_standpoint_magnitude_c,c10,10,40,8,0.07940508015205336,0.6352406412164269,-0.0006778335494703278,0.012886218126704855,0.0011682058309285886,0.001810847888889956,0.4897959183673469,"C10(1,2) neighbouring-cycle control"
P13,receiver_standpoint_magnitude_c,c11,11,44,8,0.07940508015205336,0.6352406412164269,-0.002165043562073299,0.012350480524278689,-0.005688097268235597,-0.0024874466839723292,0.673469387755102,"C11(1,2) neighbouring-cycle control"
P13,receiver_standpoint_magnitude_c,c13,13,52,8,0.07940508015205336,0.6352406412164269,0.0006115451590608881,0.013878750621921255,-0.0016529047595161689,0.00035365011151470893,0.4897959183673469,"C13(1,2) neighbouring-cycle control"
P13,receiver_standpoint_magnitude_c,c14,14,56,8,0.07940508015205336,0.6352406412164269,-0.0006781563972817511,0.012018284889305762,-0.0006068120483696164,-0.0020802929413422026,0.6122448979591837,"C14(1,2) neighbouring-cycle control"
P14,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,4,0.10013648141027905,0.4005459256411162,0.005728579899534455,0.027444893331175686,0.004366007701278927,0.009776173933683033,0.3877551020408163,12 nodes with no coupling edges
P14,receiver_standpoint_magnitude_c,c12_1_2,12,48,4,0.10013648141027905,0.4005459256411162,-0.004470211149366492,0.0311292887043628,-0.0026171898488975094,0.00012223572114293708,0.5918367346938775,primary Luke/D12RG normalized readout candidate
P14,receiver_standpoint_magnitude_c,c12_reversed,12,48,4,0.10013648141027905,0.4005459256411162,-0.009213964752594216,0.024470468055932344,-0.01552392529293169,-0.007211192285400177,0.6938775510204082,"C12(1,2) with all directed arrows reversed"
P14,receiver_standpoint_magnitude_c,c12_side_broken,12,48,4,0.10013648141027905,0.4005459256411162,0.0006345319038055566,0.018794058351012874,0.0025202175698266203,-0.0024105570060219614,0.4489795918367347,degree-matched C12 side-correspondence-broken control
P14,receiver_standpoint_magnitude_c,c12_shuffled,12,48,4,0.10013648141027905,0.4005459256411162,0.0021652217095482905,0.014852094581876828,0.0025627196411504684,0.004334711913776275,0.40816326530612246,C12 capacity-preserving target-shuffled control
P14,receiver_standpoint_magnitude_c,c10,10,40,4,0.10013648141027905,0.4005459256411162,-0.0029522959835778934,0.019384122177086294,-0.008071687080973288,0.004047901870426175,0.5714285714285714,"C10(1,2) neighbouring-cycle control"
P14,receiver_standpoint_magnitude_c,c11,11,44,4,0.10013648141027905,0.4005459256411162,0.0022959313207091317,0.018000433570850207,0.006219407395558733,0.002786837068245839,0.3673469387755102,"C11(1,2) neighbouring-cycle control"
P14,receiver_standpoint_magnitude_c,c13,13,52,4,0.10013648141027905,0.4005459256411162,0.002423351357402079,0.013798522077134601,0.0069175337566690686,-0.003004189061792414,0.5102040816326531,"C13(1,2) neighbouring-cycle control"
P14,receiver_standpoint_magnitude_c,c14,14,56,4,0.10013648141027905,0.4005459256411162,-0.00168889434428133,0.021619721484004,-0.0037864683551527495,-0.004818056410664068,0.6122448979591837,"C14(1,2) neighbouring-cycle control"
P15,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,6,0.11359178902822466,0.681550734169348,-0.0007617324535574365,0.01812355019865072,-0.005221448264233795,-0.00022986681705623984,0.5102040816326531,12 nodes with no coupling edges
P15,receiver_standpoint_magnitude_c,c12_1_2,12,48,6,0.11359178902822466,0.681550734169348,0.0034447601866321033,0.014704541633759689,0.001985417005216196,0.0042131548879939425,0.40816326530612246,primary Luke/D12RG normalized readout candidate
P15,receiver_standpoint_magnitude_c,c12_reversed,12,48,6,0.11359178902822466,0.681550734169348,0.0009601296938610602,0.017017028079427482,0.0037685433879276055,-0.002831224760980166,0.5102040816326531,"C12(1,2) with all directed arrows reversed"
P15,receiver_standpoint_magnitude_c,c12_side_broken,12,48,6,0.11359178902822466,0.681550734169348,0.0019077911016871126,0.012486942020794194,0.0041683569124802995,0.002806103194947276,0.4897959183673469,degree-matched C12 side-correspondence-broken control
P15,receiver_standpoint_magnitude_c,c12_shuffled,12,48,6,0.11359178902822466,0.681550734169348,-0.0007888018657948165,0.016659557641570306,-0.00034207014605193604,-0.002621230361061961,0.5306122448979592,C12 capacity-preserving target-shuffled control
P15,receiver_standpoint_magnitude_c,c10,10,40,6,0.11359178902822466,0.681550734169348,0.0011465681019792995,0.011973766782729697,0.004117191563602741,0.00288236298629138,0.46938775510204084,"C10(1,2) neighbouring-cycle control"
P15,receiver_standpoint_magnitude_c,c11,11,44,6,0.11359178902822466,0.681550734169348,-0.0016181756034250306,0.01354714649367907,0.0067525352586752475,-0.004289395743844567,0.4489795918367347,"C11(1,2) neighbouring-cycle control"
P15,receiver_standpoint_magnitude_c,c13,13,52,6,0.11359178902822466,0.681550734169348,0.003965571030327713,0.01713559797997948,0.002803116929731944,0.005498495246780773,0.4489795918367347,"C13(1,2) neighbouring-cycle control"
P15,receiver_standpoint_magnitude_c,c14,14,56,6,0.11359178902822466,0.681550734169348,-0.002126817210138492,0.01768957313355605,0.010577377091029093,-0.0013670219908923993,0.46938775510204084,"C14(1,2) neighbouring-cycle control"
P16,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.08887782854408549,0.44438914272042745,-0.001848766211314332,0.02709003661992362,-0.010095571997730734,0.002848200648953722,0.5918367346938775,12 nodes with no coupling edges
P16,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.08887782854408549,0.44438914272042745,-0.0028191877551654305,0.016516799641484507,-0.003922457698762672,-0.0023208625221212338,0.5714285714285714,primary Luke/D12RG normalized readout candidate
P16,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.08887782854408549,0.44438914272042745,-0.001271143684228962,0.022384943810503977,0.0013802914528150982,-0.002437558183052164,0.5306122448979592,"C12(1,2) with all directed arrows reversed"
P16,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.08887782854408549,0.44438914272042745,-0.0005242519361822762,0.01672926194364252,-0.0037889501826866056,-0.007227882489074876,0.673469387755102,degree-matched C12 side-correspondence-broken control
P16,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.08887782854408549,0.44438914272042745,-0.002539953252096719,0.020525335975629083,0.00015910346193426152,2.9156241149447e-05,0.5306122448979592,C12 capacity-preserving target-shuffled control
P16,receiver_standpoint_magnitude_c,c10,10,40,5,0.08887782854408549,0.44438914272042745,-5.9109055438164516e-05,0.022907411252239412,0.007006880745288001,-0.0064386657394097605,0.5102040816326531,"C10(1,2) neighbouring-cycle control"
P16,receiver_standpoint_magnitude_c,c11,11,44,5,0.08887782854408549,0.44438914272042745,0.002878213534900817,0.014554456442556148,0.0026454545463532935,0.0011974522550895878,0.3877551020408163,"C11(1,2) neighbouring-cycle control"
P16,receiver_standpoint_magnitude_c,c13,13,52,5,0.08887782854408549,0.44438914272042745,-0.0009725628517152553,0.012960048687741331,-0.0013496248861974156,0.001373419497418189,0.5510204081632653,"C13(1,2) neighbouring-cycle control"
P16,receiver_standpoint_magnitude_c,c14,14,56,5,0.08887782854408549,0.44438914272042745,-0.008559668587873007,0.022028437582254423,-0.01630654237019574,-0.004606010807367721,0.7142857142857143,"C14(1,2) neighbouring-cycle control"
P17,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.1154689876835977,0.5773449384179885,0.011394222884262306,0.020946708486094916,0.012882790133069132,0.008597997924297674,0.2857142857142857,12 nodes with no coupling edges
P17,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.1154689876835977,0.5773449384179885,-0.004837792358615616,0.021047804503489833,-0.011710726315879112,-0.004405430370173786,0.6938775510204082,primary Luke/D12RG normalized readout candidate
P17,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.1154689876835977,0.5773449384179885,-0.009467811182103143,0.023843431028746562,-0.0020679769406029497,-0.0034379017454264837,0.5714285714285714,"C12(1,2) with all directed arrows reversed"
P17,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.1154689876835977,0.5773449384179885,-0.004561302119278365,0.018196634442689468,-0.005799010634664834,-0.005802619561574315,0.5918367346938775,degree-matched C12 side-correspondence-broken control
P17,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.1154689876835977,0.5773449384179885,0.004776256539439742,0.016821254907152836,0.002320887119919159,0.0013714373399099276,0.5510204081632653,C12 capacity-preserving target-shuffled control
P17,receiver_standpoint_magnitude_c,c10,10,40,5,0.1154689876835977,0.5773449384179885,0.006009718740231563,0.020296856536704894,0.009150572414267902,-0.004138016661249916,0.42857142857142855,"C10(1,2) neighbouring-cycle control"
P17,receiver_standpoint_magnitude_c,c11,11,44,5,0.1154689876835977,0.5773449384179885,-0.0006116671307843371,0.02149075271716162,-0.0013508330780139266,-0.00260332793752896,0.6326530612244898,"C11(1,2) neighbouring-cycle control"
P17,receiver_standpoint_magnitude_c,c13,13,52,5,0.1154689876835977,0.5773449384179885,0.004870210985965111,0.016154104512826034,0.007923364668729714,0.0022986921710580516,0.3877551020408163,"C13(1,2) neighbouring-cycle control"
P17,receiver_standpoint_magnitude_c,c14,14,56,5,0.1154689876835977,0.5773449384179885,0.006977970390649833,0.016398622220411916,0.003145917042087631,0.004121699865562763,0.42857142857142855,"C14(1,2) neighbouring-cycle control"
P18,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,3,0.10206926706656462,0.3062078011996939,0.019320368338662238,0.056985713337507515,0.01718256929255847,0.022696827533719807,0.3469387755102041,12 nodes with no coupling edges
P18,receiver_standpoint_magnitude_c,c12_1_2,12,48,3,0.10206926706656462,0.3062078011996939,0.007976916690274094,0.03293460058954466,0.007997504937275662,0.002931776124107133,0.46938775510204084,primary Luke/D12RG normalized readout candidate
P18,receiver_standpoint_magnitude_c,c12_reversed,12,48,3,0.10206926706656462,0.3062078011996939,0.008085794578468154,0.0443784397790583,-0.0010333195519197872,0.010926968850475186,0.4897959183673469,"C12(1,2) with all directed arrows reversed"
P18,receiver_standpoint_magnitude_c,c12_side_broken,12,48,3,0.10206926706656462,0.3062078011996939,0.019243892824809726,0.028595097186808735,0.020584366765194675,0.005496389176882686,0.30612244897959184,degree-matched C12 side-correspondence-broken control
P18,receiver_standpoint_magnitude_c,c12_shuffled,12,48,3,0.10206926706656462,0.3062078011996939,-0.007290888694043547,0.03224223038336455,-0.017116328324578038,-0.007167195758289515,0.6326530612244898,C12 capacity-preserving target-shuffled control
P18,receiver_standpoint_magnitude_c,c10,10,40,3,0.10206926706656462,0.3062078011996939,-0.0013702772441617505,0.0414669605506127,-0.014624363123785268,-0.00216417912995216,0.5714285714285714,"C10(1,2) neighbouring-cycle control"
P18,receiver_standpoint_magnitude_c,c11,11,44,3,0.10206926706656462,0.3062078011996939,0.0048463394469249275,0.03954096252413156,0.0032327977701621493,0.003688748067990592,0.4489795918367347,"C11(1,2) neighbouring-cycle control"
P18,receiver_standpoint_magnitude_c,c13,13,52,3,0.10206926706656462,0.3062078011996939,-0.0065847487719306345,0.02631427938930146,-0.015647012199664505,-0.008969753313472885,0.7142857142857143,"C13(1,2) neighbouring-cycle control"
P18,receiver_standpoint_magnitude_c,c14,14,56,3,0.10206926706656462,0.3062078011996939,-0.003156094700912505,0.036642323078826096,-0.007057697442790181,0.0021036656390805344,0.5102040816326531,"C14(1,2) neighbouring-cycle control"
P19,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.12870113111050147,0.6435056555525074,0.0021921342010534322,0.01915471072842035,0.006415011333975372,0.006679308242691025,0.3673469387755102,12 nodes with no coupling edges
P19,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.12870113111050147,0.6435056555525074,0.0036521235857726667,0.01804954964109979,0.0003978203129155777,0.01206318706342115,0.4489795918367347,primary Luke/D12RG normalized readout candidate
P19,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.12870113111050147,0.6435056555525074,0.0006246385318798845,0.017185456019183146,0.0062376373013341155,-0.00474599798528249,0.4897959183673469,"C12(1,2) with all directed arrows reversed"
P19,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.12870113111050147,0.6435056555525074,-0.007177317288403744,0.018995280398072665,-0.008515468984318968,-0.00784533377662777,0.673469387755102,degree-matched C12 side-correspondence-broken control
P19,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.12870113111050147,0.6435056555525074,-0.00210221204678239,0.01925807659714763,-0.0016454286328689105,-0.007460646216428939,0.5714285714285714,C12 capacity-preserving target-shuffled control
P19,receiver_standpoint_magnitude_c,c10,10,40,5,0.12870113111050147,0.6435056555525074,-0.0027894365425040948,0.01947492228947719,-0.006340497541690691,-0.0023785246804544874,0.6326530612244898,"C10(1,2) neighbouring-cycle control"
P19,receiver_standpoint_magnitude_c,c11,11,44,5,0.12870113111050147,0.6435056555525074,0.005614431681405626,0.018097759474491385,0.007319252843001819,0.006639757815701984,0.3469387755102041,"C11(1,2) neighbouring-cycle control"
P19,receiver_standpoint_magnitude_c,c13,13,52,5,0.12870113111050147,0.6435056555525074,0.0024769805275619565,0.01851482283009269,0.0021570095634041377,0.0031914207305336,0.4489795918367347,"C13(1,2) neighbouring-cycle control"
P19,receiver_standpoint_magnitude_c,c14,14,56,5,0.12870113111050147,0.6435056555525074,0.006737250806579151,0.01665032772281373,0.001976205554410541,0.003732236295036008,0.40816326530612246,"C14(1,2) neighbouring-cycle control"
P2,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,8,0.08535772890732235,0.6828618312585788,0.00024902967619011215,0.017615811236777638,0.0033859404654716513,0.006035088454131979,0.5714285714285714,12 nodes with no coupling edges
P2,receiver_standpoint_magnitude_c,c12_1_2,12,48,8,0.08535772890732235,0.6828618312585788,-0.0033403575968004016,0.012080536625615354,-0.0030929040786853044,-0.0030012360325015787,0.6326530612244898,primary Luke/D12RG normalized readout candidate
P2,receiver_standpoint_magnitude_c,c12_reversed,12,48,8,0.08535772890732235,0.6828618312585788,-0.0008412147356170301,0.015742220807940216,-0.0013277379951655943,-0.0024189020095713074,0.5306122448979592,"C12(1,2) with all directed arrows reversed"
P2,receiver_standpoint_magnitude_c,c12_side_broken,12,48,8,0.08535772890732235,0.6828618312585788,0.00738237997998075,0.01358751894474072,0.008895381234693156,0.007665610809237037,0.24489795918367346,degree-matched C12 side-correspondence-broken control
P2,receiver_standpoint_magnitude_c,c12_shuffled,12,48,8,0.08535772890732235,0.6828618312585788,0.00841523567172348,0.01630836537094733,0.0025173522922005576,0.0053865284862642075,0.3877551020408163,C12 capacity-preserving target-shuffled control
P2,receiver_standpoint_magnitude_c,c10,10,40,8,0.08535772890732235,0.6828618312585788,0.002726560487607365,0.018732533387101506,-0.00025376294002478744,0.0029821615854638663,0.42857142857142855,"C10(1,2) neighbouring-cycle control"
P2,receiver_standpoint_magnitude_c,c11,11,44,8,0.08535772890732235,0.6828618312585788,0.0070703327495265705,0.015816610908272095,0.012850211583087363,0.005885696150852135,0.30612244897959184,"C11(1,2) neighbouring-cycle control"
P2,receiver_standpoint_magnitude_c,c13,13,52,8,0.08535772890732235,0.6828618312585788,0.0012657001687364103,0.015641597660710833,-0.0018656813776641772,0.0027321483153745704,0.4897959183673469,"C13(1,2) neighbouring-cycle control"
P2,receiver_standpoint_magnitude_c,c14,14,56,8,0.08535772890732235,0.6828618312585788,-0.00619576750620826,0.012874881067579853,-0.007623498480754201,0.0036789413844822557,0.5102040816326531,"C14(1,2) neighbouring-cycle control"
P20,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,9,0.1137411082560604,1.0236699743045437,-0.0028354883300603395,0.009353620301492106,0.0018202422857366966,-0.003637694868500023,0.46938775510204084,12 nodes with no coupling edges
P20,receiver_standpoint_magnitude_c,c12_1_2,12,48,9,0.1137411082560604,1.0236699743045437,0.0003082164051788866,0.00946728710263539,-0.000785465124429456,-0.00011814813308685143,0.4897959183673469,primary Luke/D12RG normalized readout candidate
P20,receiver_standpoint_magnitude_c,c12_reversed,12,48,9,0.1137411082560604,1.0236699743045437,-0.003998419106394963,0.00864059217966796,-0.0009392343201557692,-0.011071514423402273,0.7142857142857143,"C12(1,2) with all directed arrows reversed"
P20,receiver_standpoint_magnitude_c,c12_side_broken,12,48,9,0.1137411082560604,1.0236699743045437,4.246624891768823e-06,0.011057611631476297,0.0034613955908137342,0.004722935002521245,0.40816326530612246,degree-matched C12 side-correspondence-broken control
P20,receiver_standpoint_magnitude_c,c12_shuffled,12,48,9,0.1137411082560604,1.0236699743045437,0.0023454801421660216,0.009972195471544565,0.0037104846020110287,0.004247546656982644,0.3469387755102041,C12 capacity-preserving target-shuffled control
P20,receiver_standpoint_magnitude_c,c10,10,40,9,0.1137411082560604,1.0236699743045437,0.0009916936080425697,0.01067021139011023,0.002013665159487155,0.002756685072748526,0.4489795918367347,"C10(1,2) neighbouring-cycle control"
P20,receiver_standpoint_magnitude_c,c11,11,44,9,0.1137411082560604,1.0236699743045437,-0.00047771252827276183,0.013280954724043174,0.0009857792959253279,0.005007421664080261,0.4489795918367347,"C11(1,2) neighbouring-cycle control"
P20,receiver_standpoint_magnitude_c,c13,13,52,9,0.1137411082560604,1.0236699743045437,-0.00025354759406415964,0.008781338761500402,0.00259347714454683,-0.004402577008744518,0.5306122448979592,"C13(1,2) neighbouring-cycle control"
P20,receiver_standpoint_magnitude_c,c14,14,56,9,0.1137411082560604,1.0236699743045437,-0.0011703556637774552,0.011884582636367323,-0.002692642163689721,-0.002971807416166097,0.5714285714285714,"C14(1,2) neighbouring-cycle control"
P21,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,6,0.11345405509894117,0.680724330593647,-0.0053596204763333094,0.023634659099548254,-0.010440640104446145,-0.011307371491416317,0.7959183673469388,12 nodes with no coupling edges
P21,receiver_standpoint_magnitude_c,c12_1_2,12,48,6,0.11345405509894117,0.680724330593647,0.005071639629572094,0.016246618207453423,0.002972441544838198,0.0077598296509200256,0.30612244897959184,primary Luke/D12RG normalized readout candidate
P21,receiver_standpoint_magnitude_c,c12_reversed,12,48,6,0.11345405509894117,0.680724330593647,-0.0020342832556893655,0.014256638610096631,-0.003706466679614313,-0.0011188317631309359,0.5714285714285714,"C12(1,2) with all directed arrows reversed"
P21,receiver_standpoint_magnitude_c,c12_side_broken,12,48,6,0.11345405509894117,0.680724330593647,0.0006960618145353004,0.016212611929105353,0.005787925554179837,0.001580039033446144,0.40816326530612246,degree-matched C12 side-correspondence-broken control
P21,receiver_standpoint_magnitude_c,c12_shuffled,12,48,6,0.11345405509894117,0.680724330593647,-0.0032098451207185374,0.025070443909285395,-0.0027813669825453866,-0.0005861408288445982,0.5102040816326531,C12 capacity-preserving target-shuffled control
P21,receiver_standpoint_magnitude_c,c10,10,40,6,0.11345405509894117,0.680724330593647,0.000868000058791152,0.019237697607604517,-0.0057604755427310105,-0.0026362607993636123,0.6122448979591837,"C10(1,2) neighbouring-cycle control"
