state_variant,endpoint,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
side_tfc_phase,gmr72_policy_readiness,gmr72_policy_vs_balanced_pool_shuffle,0.028198674983294703,0.011981962091496533,0.016142290767006257,0.07978404319136173,483,0.9860557768924303
side_tfc_phase,gmr72_policy_readiness,gmr72_policy_vs_frequency_matched_random,0.028198674983294703,-0.007271013331126382,0.03403913801845444,0.05358928214357129,483,0.9860557768924303
side_tfc_phase,gmr72_policy_readiness,gmr72_policy_vs_performance_matched_random,0.028198674983294703,0.01241041401036993,0.015711177656090154,0.1857628474305139,483,0.9860557768924303
side_tfc_phase,gmr72_policy_readiness,gmr72_policy_vs_within_state_shuffle,0.028198674983294703,0.0017409172165971103,0.026403692014629335,0.13817236552689463,483,0.9860557768924303
side_tfc_phase,gmr72_policy_readiness,gmr72_policy_vs_oracle,0.028198674983294703,0.3918816734300311,-0.37909863363342505,1.0,483,0.9860557768924303
side_tfc_phase,gmr72_composite,gmr72_policy_vs_balanced_pool_shuffle,0.015120023773652732,0.004173520459408191,0.010920634385777133,0.09618076384723055,484,0.9860557768924303
side_tfc_phase,gmr72_composite,gmr72_policy_vs_frequency_matched_random,0.015120023773652732,-0.006377330012983613,0.02048468081929068,0.09558088382323535,484,0.9860557768924303
side_tfc_phase,gmr72_composite,gmr72_policy_vs_performance_matched_random,0.015120023773652732,0.0024331422452832942,0.0126718000681714,0.15536892621475704,484,0.9860557768924303
side_tfc_phase,gmr72_composite,gmr72_policy_vs_within_state_shuffle,0.015120023773652732,0.0009527545657330841,0.014139710191555457,0.22575484903019397,484,0.9860557768924303
side_tfc_phase,gmr72_composite,gmr72_policy_vs_oracle,0.015120023773652732,0.2964622277073029,-0.2923676586830952,1.0,484,0.9860557768924303
side_tfc_phase,gmr72_bridge_composite,gmr72_policy_vs_balanced_pool_shuffle,0.07584517939531772,0.035214825493263234,0.03676331197104889,0.001999600079984003,489,0.9860557768924303
side_tfc_phase,gmr72_bridge_composite,gmr72_policy_vs_frequency_matched_random,0.07584517939531772,0.0015023907018271267,0.0701201589853299,0.0003999200159968006,489,0.9860557768924303
side_tfc_phase,gmr72_bridge_composite,gmr72_policy_vs_performance_matched_random,0.07584517939531772,0.027619537859652772,0.04448285788905381,0.0007998400319936012,489,0.9860557768924303
side_tfc_phase,gmr72_bridge_composite,gmr72_policy_vs_within_state_shuffle,0.07584517939531772,0.0046217931325129285,0.06926754292596997,0.0001999600079984003,489,0.9860557768924303
side_tfc_phase,gmr72_bridge_composite,gmr72_policy_vs_oracle,0.07584517939531772,0.5336440378161155,-0.46787791465253736,1.0,489,0.9860557768924303
side_tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_balanced_pool_shuffle,-0.05011034120852691,-0.035887536986452716,-0.014148961553377786,0.9596080783843232,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_frequency_matched_random,-0.05011034120852691,-0.026815079859869986,-0.02436431041015131,0.9314137172565486,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_performance_matched_random,-0.05011034120852691,-0.024513887598192792,-0.02554601351239546,0.9180163967206558,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_within_state_shuffle,-0.05011034120852691,-0.01660512164001935,-0.03323188423286937,0.9490101979604079,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_policy_readiness,gmr72_policy_vs_oracle,-0.05011034120852691,0.3918816734300311,-0.4548934689078595,1.0,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_balanced_pool_shuffle,-0.03202269334430996,-0.025989505739122502,-0.005979711255930005,0.8530293941211757,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_frequency_matched_random,-0.03202269334430996,-0.020682003302667413,-0.012760609570864717,0.8400319936012798,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_performance_matched_random,-0.03202269334430996,-0.017456205592345436,-0.014530569633461759,0.8472305538892222,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_within_state_shuffle,-0.03202269334430996,-0.012494212235715394,-0.01932281506356221,0.8944211157768446,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_composite,gmr72_policy_vs_oracle,-0.03202269334430996,0.2964622277073029,-0.33824499439177097,1.0,486,0.43824701195219123
side_tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_balanced_pool_shuffle,0.056103024493011196,0.041690527394430896,0.013902000844770947,0.14297140571885622,490,0.43824701195219123
side_tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_frequency_matched_random,0.056103024493011196,0.014682820867530531,0.03757909829909302,0.0061987602479504095,490,0.43824701195219123
side_tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_performance_matched_random,0.056103024493011196,0.008582939849314965,0.04741498742105156,0.0005998800239952009,490,0.43824701195219123
side_tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_within_state_shuffle,0.056103024493011196,0.024975931243318886,0.02904837623757706,0.013397320535892822,490,0.43824701195219123
side_tfc_phase_fes_string,gmr72_bridge_composite,gmr72_policy_vs_oracle,0.056103024493011196,0.5336440378161155,-0.48995005786558565,1.0,490,0.43824701195219123
