heldout_label,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin,is_registered_survivor,is_strict_survivor,is_collapsed,survival_group,side_correspondence_margin,ring_orientation_margin,twelvefold_neighbor_margin,event_count,mean_abs_rstar,q75_abs_rstar,mean_receiver_asymmetry,mean_receiver_total,mean_standpoint_separation,mean_magnitude_balance,mean_magnitude_total,selected_b74b_event_count,selected_b74b_mean_strength,selected_b74b_phase_coverage,selected_b74b_phase_concentration,b74c_n_thresholds,b74c_mean_c12,b74c_mean_positive_controls,b74c_max_positive_controls,b74c_mean_min_margin,b74c_best_min_margin,b74c_mean_side_margin,b74c_mean_orientation_margin,b74c_mean_neighbor_margin,fold_index,mod12_position,mod12_complement_to_12,mod24_position,prime_factors,has_factor_3,has_factor_5,has_factor_7,additive_order_mod12,additive_order_mod24,cyclotomic_recognized_marker,x3_interaction_marker,complement_direction_marker,full_mod12_generator,high_order_mod24_generator,group_completion_proxy,any_arithmetic_marker
P1,-0.007355492463928,-0.0148606457982002,-0.010297496873751,0.0009122494585071,0.0008115237643574,-0.0004246843588372,0.0107053829038159,0.0157569675734213,0.0002030978974108,5,-0.0148606457982002,False,False,True,collapsed_or_weak,0.0008618866114322,-0.010297496873751,0.0065601910039527,27,0.5663158040806889,0.8822681071475162,0.0940746581264226,0.2700229673800005,0.247170163034117,-0.0,0.247170163034117,3,1.2808354841131464,0.0833333333333333,0.9985053151996982,5,-0.0004446045342682,3.8,8.0,-0.0151023648731964,0.0009168338175878,-0.0041199405424561,0.0030783110839581,-0.0021208647870142,1,1,11,1,1,False,False,False,12,24,False,False,False,True,True,True,True
P10,0.0041698718380553,0.0103368479307594,0.0009641577779958,0.0088970373145544,0.0010713672201396,0.0145566625099305,0.0040091691014312,0.0049061028043901,0.0010624410806084,8,0.0009641577779958,True,True,False,registered_survivor,0.004984202267347,0.0009641577779958,0.00613359387409,18,1.000151251342313,0.8295877485301506,0.0856629096737039,0.3852986472161257,0.2819168085343446,-0.0,0.2819168085343446,5,1.9705691421925715,0.1666666666666666,0.9862138055902716,5,-0.0007035325845914,2.6,5.0,-0.0078113431506835,-0.0027515843383822,0.0006919261849033,-0.0029439347991949,0.0002190514310617,10,10,2,10,2x5,False,True,False,6,12,True,False,False,False,True,True,True
P11,,,,,,,,,,0,,False,False,True,collapsed_or_weak,,,,17,0.5429253682116927,0.775432410937448,0.0730843934828287,0.2512301903796864,0.1930112829195742,-0.0,0.1930112829195742,1,0.6951555909542468,0.0833333333333333,1.0,4,-0.0243588748245127,0.0,0.0,-0.0349475279520364,-0.0349475279520364,-0.0189118264354184,-0.0298141805325548,-0.0314071131468523,11,11,1,11,11,False,False,False,12,24,False,False,False,True,True,True,True
P12,-0.0025435258988935,0.0105102860887431,0.0011964934858803,0.0079408777299807,-0.0096560486670463,0.0092646544499776,-0.0152138544906309,0.0035091238154478,0.0068069099835442,6,-0.0152138544906309,False,False,True,collapsed_or_weak,-0.0008575854685328,0.0011964934858803,0.0010917084395846,12,1.100051774314933,1.1967405868560888,0.0748046704726698,0.3549661411172348,0.3140922677460799,-0.0,0.3140922677460799,3,2.4460147044994107,0.0833333333333333,0.9975299831666308,5,-0.0031467549856604,2.8,7.0,-0.0153314854566234,-0.0001194408489985,-0.0069965310021646,-0.0005182165403928,0.0009836270212404,12,0,0,12,2x2x3,True,False,False,1,2,False,False,False,False,False,False,False
P13,-0.0056918286933063,0.0014820229594585,-0.0069973770982683,-0.002643085561991,-0.0052550852294854,-0.005013995143836,-0.003526785131233,-0.0063033738523672,-0.0050136722960246,1,-0.0069973770982683,False,False,True,collapsed_or_weak,-0.0039490853957382,-0.0069973770982683,-0.0049644566058652,22,0.9001124635845645,0.8844690622321952,0.0106514736396621,0.3660290784976601,0.3718947899311858,-0.0,0.3718947899311858,8,1.61106912301711,0.1666666666666666,0.9962212109958865,5,0.0013128060467284,4.2,6.0,-0.0084135118834535,-0.0023080272870928,0.0038810002320309,-0.001430172277991,0.0017122605122135,13,1,11,13,13,False,False,False,12,24,False,False,False,True,True,True,True
P14,-0.0044702111493664,-0.0101987910489009,0.0047437536032277,-0.005104743053172,-0.0066354328589147,-0.0015179151657885,-0.0067661424700756,-0.0068935625067685,-0.0027813168050851,1,-0.0101987910489009,False,False,True,collapsed_or_weak,-0.0058700879560433,0.0047437536032277,-0.0044897342369294,18,0.5782600448591518,0.7732725277122886,0.0503153955054986,0.3141455441916242,0.2395664867481461,-0.0,0.2395664867481461,4,0.7996176888844018,0.1666666666666666,0.9951223658121156,5,0.0021192972670341,2.8,8.0,-0.0086776259339226,0.0031360441583238,0.0070530142792706,0.0041145314575206,0.0015242722385193,14,2,10,14,2x7,False,False,True,6,12,False,False,True,False,True,True,True
P15,0.0034447601866321,0.0042064926401895,0.002484630492771,0.0015369690849449,0.0042335620524269,0.0022981920846528,0.0050629357900571,-0.0005208108436956,0.0055715773967705,7,-0.0005208108436956,True,True,False,registered_survivor,0.0028852655686859,0.002484630492771,0.0031029736069462,26,0.5611002661046537,0.7859204711685903,0.0269664315633517,0.3612576458991997,0.2454319884152996,-0.0,0.2454319884152996,6,0.8347486512518009,0.1666666666666666,0.995890132885372,5,0.0015066746879699,4.2,8.0,-0.0048774722688813,0.0011126619139633,0.000946791429682,0.0011679381366457,0.0012177153196362,15,3,9,15,3x5,True,True,False,4,8,False,True,True,False,False,True,True
P16,-0.0028191877551654,-0.000970421543851,-0.0015480440709364,-0.0022949358189831,-0.0002792345030687,-0.0027600786997272,-0.0056974012900662,-0.0018466249034501,0.0057404808327075,1,-0.0056974012900662,False,False,True,collapsed_or_weak,-0.0012870851610259,-0.0015480440709364,-0.0011409060151339,23,0.8278363403795423,1.0037511980917555,0.0674880591189222,0.2735035378542261,0.234493870945647,-0.0,0.234493870945647,5,1.2428397815442132,0.1666666666666666,0.988060021965476,5,3.639025282629996e-05,3.2,4.0,-0.0084083291749186,-0.0035535996329194,0.0002078456169084,0.0008381764135865,0.0024596965966264,16,4,8,16,2x2x2x2,False,False,False,3,3,False,False,False,False,False,False,False
P17,-0.0048377923586156,-0.0162320152428779,0.0046300188234875,-0.0002764902393372,-0.0096140488980553,-0.0108475110988471,-0.0042261252278312,-0.0097080033445807,-0.0118157627492654,1,-0.0162320152428779,False,False,True,collapsed_or_weak,-0.0049452695686962,0.0046300188234875,-0.0091493506051311,20,0.7816584149520094,1.094478348297513,-0.0332075010664309,0.3561249361400147,0.1618130761580329,-0.0,0.1618130761580329,5,0.851896721923503,0.1666666666666666,0.99951758794214,5,0.0023350035906602,3.4,6.0,-0.0087940953656519,-0.0034607567405373,-0.0015955505907253,0.0049353025921908,0.0012693696810279,17,5,7,17,17,False,False,False,12,24,False,False,True,True,True,True,True
P18,0.007976916690274,-0.0113434516483881,-0.000108877888194,-0.0112669761345356,0.0152678053843176,0.0093471939344358,0.0031305772433491,0.0145616654622047,0.0111330113911865,5,-0.0113434516483881,False,False,False,intermediate,0.002000414624891,-0.000108877888194,0.009543112007794,20,0.4795782272666797,0.7052523945452354,0.0445967254340101,0.2927084281304506,0.2114589822456003,-0.0,0.2114589822456003,3,0.5160801908111001,0.0833333333333333,0.9917573976609196,4,0.0023727971334747,3.25,7.0,-0.0181191983168937,-0.0058596131002389,-0.0009056639227433,0.005982843809002,0.005261890374518,18,6,6,18,2x3x3,True,False,False,2,4,False,False,False,False,False,False,False
P19,0.0036521235857726,0.0014599893847192,0.0030274850538927,0.0108294408741764,0.005754335632555,0.0064415601282767,-0.0019623080956329,0.0011751430582107,-0.0030851272208064,6,-0.0030851272208064,False,False,False,intermediate,0.0082918882533657,0.0030274850538927,0.000642316967512,20,0.6880390507080871,1.0593429005179096,0.0416904416524549,0.3016924913191788,0.2621508593167997,-0.0,0.2621508593167997,5,1.129657266196329,0.1666666666666666,0.9814543753524464,5,0.0029917836622987,5.0,8.0,-0.0057680617692628,0.0018682798346369,0.0013578897958025,0.0096839931800914,0.0052495372755596,19,7,5,19,19,False,False,False,12,24,False,False,False,True,True,True,True
