representation_arm,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd
c_to_ab_receiver_only,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.09124976600414586,12.044969112547253,0.0321621678965938,0.002672815429947457,0.008403910531952559,0.010545646465116975,0.02040816326530612,0.038118568088924616,0.00303916828901518,0.7998778769373249,0.008612717188254316,0.7240760223466731,0.012368113536290755,0.9949942326482714,0.0011271015114436705,0.0321621678965938,0.002672815429947457,0.8637508281722752,0.024368479811013134,0.07098641682154055,0.021580831280616084,95.0,0.0,0.8311688184893175,0.01904036494902022,0.8023520909171583,0.009242335788035207
c_to_ab_receiver_only,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.09124976600414586,12.044969112547253,0.03450909289892321,0.0026432515053041172,0.011830676550747373,0.013762671133051348,0.02040816326530612,0.03878198395510216,0.0026631564723073966,0.7993787895875947,0.01754644909627557,0.7246578330610248,0.02392076432040097,0.9838428651626776,0.0028368877835846067,0.03450909289892321,0.0026432515053041172,0.8192048491672018,0.06255241562151204,0.08928765047792618,0.021028008433116738,95.0,0.0,0.8618754281927009,0.018625864349208685,0.8024959816348778,0.016956654761530646
c_to_ab_receiver_only,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.09124976600414586,12.044969112547253,0.035420442943550866,0.002731799928371265,0.01314093478950094,0.006085572632394839,0.04081632653061224,0.03940761871544525,0.003578278771816216,0.8042478632629676,0.017518436748159377,0.7314791851625014,0.027320917343219894,0.9846538541451152,0.0033592163673388134,0.035420442943550866,0.002731799928371265,0.8181491302155922,0.07535919124980804,0.0847798614860568,0.019957144402698284,95.0,0.0,0.8653082213218358,0.01765370057175459,0.8072772423852842,0.016963655794463645
c_to_ab_receiver_only,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.09124976600414586,12.044969112547253,0.004265881359325963,0.0033841510209520385,0.003228441106198976,-0.0004547185817508348,0.32653061224489793,0.00487407023035175,0.004573848144660845,0.5847711097541163,0.01235449527234828,0.4899132188691135,0.015129301415608577,0.9453856812333307,0.0017742429388086071,0.004265881359325963,0.0033841510209520385,0.8082982555909691,0.05774106654151958,0.11268696005684953,0.015417320009050415,95.0,0.0,0.7824434242300226,0.012684954978912439,0.5880367563547949,0.011639915000579159
c_to_ab_receiver_only,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.09124976600414586,12.044969112547253,0.004861020344124343,0.0020235177381825414,-0.00016068027473012392,-0.006007305094371667,0.7551020408163265,0.006518830659748654,0.0027304406064062783,0.5473511237094693,0.011701245783848917,0.5382167926692444,0.018192592507805465,0.9408854349673579,0.002133217285105158,0.004861020344124343,0.0020235177381825414,0.8413475716721343,0.025373008847767314,0.12027869163855327,0.017322607905968648,95.0,0.0,0.8284373220743824,0.016131797409601672,0.5675952814761025,0.014904991245097442
c_to_ab_receiver_only,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.09124976600414586,12.044969112547253,-0.0028125270520871232,0.004063636906423654,0.0007766865222852801,-7.203134842354584e-05,0.46938775510204084,-0.0033311127714044757,0.004777566632646677,0.46119690446910216,0.020044586393204177,0.4981680711742156,0.017664234045777723,0.985848344911974,0.0034575682640681955,-0.0028125270520871232,0.004063636906423654,0.8442837644505167,0.06883426487235589,0.07829243615350141,0.020465072143548996,95.0,0.0,0.840224821039358,0.008992993386196035,0.5079895920222702,0.011955881609016372
c_to_ab_receiver_only,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.09124976600414586,12.044969112547253,-0.004406306986917549,0.0032464216739427148,0.0011170303738149978,0.004356050489895273,0.2653061224489796,-0.0047025911484227705,0.0036558304097635487,0.4361863099824004,0.022081443984201646,0.4589218852482595,0.024799172232340412,0.9851907873310966,0.0030268169865550133,-0.004406306986917549,0.0032464216739427148,0.8572463392730727,0.05273398068972745,0.08063573614379227,0.021825518547397147,95.0,0.0,0.8982860754646275,0.008985433212681434,0.47541711242991536,0.017463462770770568
c_to_ab_receiver_only,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.09124976600414586,12.044969112547253,-0.00609675902378048,0.00234790577940622,-0.0025918664270702494,-0.0007709714575672572,0.673469387755102,-0.006094442463344996,0.0028034394884881475,0.49641775837328933,0.011482409610848161,0.506607865256171,0.016606878530528828,0.9832183348684054,0.002804194979354083,-0.00609675902378048,0.00234790577940622,0.7991650461220855,0.060432585365910174,0.0826626084147894,0.018829911287331563,95.0,0.0,0.9207109692261405,0.00953969094744592,0.5178822056378037,0.011384395448089247
c_to_ab_receiver_only,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.09124976600414586,12.044969112547253,-0.004791821868445039,0.0025144475935524905,-0.0013177786013460363,-0.003197573528068976,0.8163265306122449,-0.004270400379608492,0.003041097983497089,0.4997962549469628,0.01254143381452659,0.49970758403297505,0.011071037358880785,0.981879548802424,0.0031008739926566007,-0.004791821868445039,0.0025144475935524905,0.8480005732344237,0.02099024252498864,0.08342937203534928,0.02227953060254206,95.0,0.0,0.9245453322005895,0.008697164295271525,0.5134756813920872,0.011094915835224923
c_to_ab_receiver_only,degree_matched_null,12,48,C12 node/edge-capacity matched null,132,0.09124976600414586,12.044969112547253,0.014012892446782913,0.0029249935047884843,0.008348293107150342,0.005281421675961184,0.02040816326530612,0.017985021166712783,0.003849140223271466,0.607752361213853,0.009492151062094346,0.5398035513042013,0.0157589612342526,0.9415604396058471,0.0020474843624862554,0.014012892446782913,0.0029249935047884843,0.7946431674034642,0.031263106799524945,0.13444655505942527,0.019353998329872297,95.0,0.0,0.7765466359640243,0.008426811333037697,0.6132593172015045,0.009268185436876852
c_to_ab_receiver_only,edge_count_matched_null,12,48,C12 edge-count matched random directed null,132,0.09124976600414586,12.044969112547253,0.016334927309689173,0.0023590743344755697,0.008806927287018339,0.0025844990913990087,0.16326530612244897,0.020299441380330824,0.0028593863396102217,0.5976724811686852,0.013968011734959299,0.5086813209498763,0.01690235055631851,0.9561912443751671,0.0015978511228079187,0.016334927309689173,0.0023590743344755697,0.698804667236823,0.03111584599797136,0.08826224198442105,0.01695792597590948,95.0,0.0,0.8226223571391754,0.01304911612467873,0.6012088643673132,0.013421071079171856
c_to_ab_receiver_only,ring_share_c12_plus_5,12,72,"C12(1,2) with shared 5-ring proxy edges",132,0.09124976600414586,12.044969112547253,0.035088237466610155,0.0019312842467392004,0.013992414664323348,0.01043542095146446,0.02040816326530612,0.03945298123458015,0.0020058734062039585,0.782342858213373,0.018066443601923235,0.69531635069699,0.026606889322910134,0.9869075441950083,0.0024743312587867197,0.035088237466610155,0.0019312842467392004,0.7770276138137723,0.0737414507207772,0.09301562535532182,0.02400039318980663,95.0,0.0,0.856306533497832,0.018741133810456438,0.7855752735425893,0.017413740958425777
c_to_ab_receiver_only,ring_share_c12_plus_7,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",132,0.09124976600414586,12.044969112547253,0.034720021355319895,0.0026340280181775984,0.01202743556986791,0.004599384266400223,0.02040816326530612,0.03941892249457226,0.003091240447504773,0.7827776468782067,0.019016174635915543,0.6965524414138514,0.026974349286783994,0.9868123381461812,0.002337935510715662,0.034720021355319895,0.0026340280181775984,0.7843974359625671,0.06792772710724261,0.09358116531951412,0.020751934257383742,95.0,0.0,0.852330915410143,0.014374455492794777,0.7864243360143747,0.018610174732270134
