representation_arm,arm_family,phase_target_concentration,phase_target_max_fraction,lag_gap_alignment,receiver_side_alignment,standpoint_polarity_alignment,magnitude_scaling_alignment
c_to_ab_receiver_only,receiver_only,0.9917686476748779,0.9545454545454546,0.032412313885609514,0.9927006134004589,0.6527764569529294,0.6527764569529294
c_to_ab_standpoint_only,standpoint_only,0.987982521185344,0.9015151515151515,0.02382710401279988,0.07320737441131059,0.9999876047099834,0.9999876047099834
c_to_ab_magnitude_only,magnitude_only,0.987982521185344,0.9015151515151515,0.02382710401279988,0.07320737441131059,0.9999876047099834,0.9999876047099834
c_to_ab_receiver_standpoint,receiver_standpoint,0.9906135312211709,0.9318181818181818,0.005125151752982687,0.6243801523857554,0.6729804852796496,0.6729804852796496
c_to_ab_receiver_magnitude,receiver_magnitude,0.9906135312211709,0.9318181818181818,0.005125151752982687,0.6243801523857554,0.6729804852796496,0.6729804852796496
c_to_ab_standpoint_magnitude,standpoint_magnitude,0.987982521185344,0.9015151515151515,0.02382710401279988,0.07320737441131059,0.9999876047099834,0.9999876047099834
c_to_ab_receiver_standpoint_magnitude,current_reverse_only_receiver_standpoint_magnitude,0.9892719713297378,0.9242424242424242,0.02494227515320157,0.4014591281181577,0.8623306497994268,0.8623306497994268
full_self_consistent_rstar,full_self_consistent_rstar,0.9877699551988811,0.9015151515151515,0.017167754923118898,0.08242683085723068,0.9736387438684269,0.9736387438684269
