control_level,endpoint,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
o1_lag0_only,z_reward,0,P20,347.0,O1_lag0_AB_raw=q3,2.631823398374958,1.131432103712762,1.5003912946621962
o1_lag0_only,z_reward,0,P20,359.0,O1_lag0_AB_raw=q3,1.580611634585158,1.005993156459596,0.5746184781255619
o1_lag0_only,z_reward,0,P20,396.0,O1_lag0_AB_raw=q3,0.6274332637377079,2.309536078092184,-1.6821028143544758
o1_lag0_only,z_reward,0,P20,401.0,O1_lag0_AB_raw=q3,0.829419763358896,3.303242383136422,-2.4738226197775264
o1_lag0_only,z_reward,0,P20,415.0,O1_lag0_AB_raw=missing,0.0,0.0,0.0
o1_lag0_only,z_reward,0,P23,32.0,O1_lag0_AB_raw=q1,-0.5157390180364374,0.020324742049355374,-0.5360637600857928
o1_lag0_only,z_reward,0,P23,65.0,O1_lag0_AB_raw=q1,-0.2822381592692897,0.05138837793888116,-0.33362653720817087
o1_lag0_only,z_reward,0,P23,68.0,O1_lag0_AB_raw=q1,0.7479029058274076,3.0090381391020333,-2.2611352332746257
o1_lag0_only,z_reward,0,P23,106.0,O1_lag0_AB_raw=q1,0.28866767291729095,1.3926713036707172,-1.1040036307534262
o1_lag0_only,z_reward,0,P23,133.0,O1_lag0_AB_raw=q3,0.46504383391703863,1.1153064812982016,-0.650262647381163
o1_lag0_only,z_reward,0,P23,138.0,O1_lag0_AB_raw=q2,-0.2363330117823001,0.32209781368231954,-0.5584308254646196
o1_lag0_only,z_reward,0,P23,188.0,O1_lag0_AB_raw=q2,0.14128814622160452,1.9303836600849302,-1.7890955138633258
o1_lag0_only,z_reward,0,P23,202.0,O1_lag0_AB_raw=q1,-0.3477954520411286,0.03003759362332667,-0.3778330456644553
o1_lag0_only,z_reward,0,P23,284.0,O1_lag0_AB_raw=q2,0.18875104129465778,1.7016649968778712,-1.5129139555832134
o1_lag0_only,z_reward,0,P23,294.0,O1_lag0_AB_raw=q1,-0.21309029386561762,0.41247242656748745,-0.6255627204331051
o1_lag0_only,z_reward,0,P23,327.0,O1_lag0_AB_raw=q2,0.15875722311761292,0.19918274563919416,-0.04042552252158124
o1_lag0_only,z_reward,0,P23,335.0,O1_lag0_AB_raw=q3,0.417790256527849,0.05916115886705918,0.3586290976607898
o1_lag0_only,z_reward,0,P23,355.0,O1_lag0_AB_raw=q2,-0.09771259184305615,0.3651202780526199,-0.462832869895676
o1_lag0_only,z_reward,0,P23,380.0,O1_lag0_AB_raw=q2,0.15515769251907993,1.6695878211063098,-1.51443012858723
o1_lag0_only,z_reward,0,P24,6.0,O1_lag0_AB_raw=q1,0.5716646423723026,1.2279775089016254,-0.6563128665293227
o1_lag0_only,z_reward,0,P24,13.0,O1_lag0_AB_raw=q3,0.42101756586428274,0.2465676039907012,0.17444996187358153
o1_lag0_only,z_reward,0,P24,33.0,O1_lag0_AB_raw=q2,-0.14986476418122224,0.377527051576904,-0.5273918157581263
o1_lag0_only,z_reward,0,P24,49.0,O1_lag0_AB_raw=q1,0.2655151636823438,1.0593745560862604,-0.7938593924039166
o1_lag0_only,z_reward,0,P24,75.0,O1_lag0_AB_raw=q3,1.374673554999021,0.798329881743878,0.576343673255143
o1_lag0_only,z_reward,0,P24,101.0,O1_lag0_AB_raw=q3,1.203981190318229,1.4281650662349725,-0.2241838759167436
o1_lag0_only,z_reward,0,P24,111.0,O1_lag0_AB_raw=q2,0.5584523701539286,2.258817478281172,-1.7003651081272435
o1_lag0_only,z_reward,0,P24,124.0,O1_lag0_AB_raw=q2,-0.564057042317052,-0.6304318891322644,0.06637484681521244
o1_lag0_only,z_reward,0,P24,167.0,O1_lag0_AB_raw=q1,-0.2193317781479957,-0.284663984151383,0.0653322060033873
o1_lag0_only,z_reward,0,P24,174.0,O1_lag0_AB_raw=q1,-0.04341493450625866,0.605519791066539,-0.6489347255727976
o1_lag0_only,z_reward,0,P24,199.0,O1_lag0_AB_raw=q2,0.056367879520532904,1.1219137152889995,-1.0655458357684666
o1_lag0_only,z_reward,0,P24,228.0,O1_lag0_AB_raw=q3,0.8388351390445216,-0.10441921156354297,0.9432543506080645
o1_lag0_only,z_reward,0,P24,254.0,O1_lag0_AB_raw=q2,-0.10635692756046825,0.17940375505616088,-0.2857606826166291
o1_lag0_only,z_reward,0,P24,280.0,O1_lag0_AB_raw=q1,1.146386709147585,4.290940145455396,-3.1445534363078114
o1_lag0_only,z_reward,0,P24,296.0,O1_lag0_AB_raw=q3,1.8021659434596073,0.41727639629422003,1.3848895471653873
o1_lag0_only,z_reward,0,P24,303.0,O1_lag0_AB_raw=q3,1.9586035745381722,2.4170101000718556,-0.45840652553368333
o1_lag0_only,z_reward,0,P24,335.0,O1_lag0_AB_raw=q3,1.4970168732864415,1.0558516765585104,0.4411651967279311
o1_lag0_only,z_reward,0,P24,368.0,O1_lag0_AB_raw=q1,-0.07060792456044601,0.6763173984052899,-0.746925322965736
o1_lag0_only,z_reward,0,P24,377.0,O1_lag0_AB_raw=q1,-0.44083409100898646,0.04659935980775536,-0.48743345081674183
o1_lag0_only,z_reward,0,P24,381.0,O1_lag0_AB_raw=q2,-0.32719326335574755,0.010877672362157167,-0.3380709357179047
o1_lag0_only,z_reward,0,P24,395.0,O1_lag0_AB_raw=q1,-0.04465920866128409,0.3781164062815592,-0.42277561494284327
o1_lag0_only,z_reward,0,P24,417.0,O1_lag0_AB_raw=missing,0.0,0.0,0.0
o1_lag0_only,z_reward,0,P5,6.0,O1_lag0_AB_raw=q3,1.987512525682346,0.45882411041111226,1.5286884152712337
o1_lag0_only,z_reward,0,P5,13.0,O1_lag0_AB_raw=q3,0.7190653498597633,1.184077560706012,-0.46501221084624855
o1_lag0_only,z_reward,0,P5,24.0,O1_lag0_AB_raw=q3,1.0101687162372728,0.7902771689774326,0.21989154725984017
o1_lag0_only,z_reward,0,P5,37.0,O1_lag0_AB_raw=q2,0.48691465028573955,1.814905573938139,-1.3279909236523995
o1_lag0_only,z_reward,0,P5,47.0,O1_lag0_AB_raw=q2,0.35173974940247393,2.224262974559132,-1.8725232251566581
o1_lag0_only,z_reward,0,P5,65.0,O1_lag0_AB_raw=q3,0.8434085584013483,-0.2549647312126501,1.0983732896139984
o1_lag0_only,z_reward,0,P5,109.0,O1_lag0_AB_raw=q1,-0.41789983118383905,-0.13218442244576892,-0.2857154087380701
o1_lag0_only,z_reward,0,P5,131.0,O1_lag0_AB_raw=q2,-0.1857521724164987,1.777870056723303,-1.9636222291398018
o1_lag0_only,z_reward,0,P5,150.0,O1_lag0_AB_raw=q3,0.5095873410505308,1.0908558274042761,-0.5812684863537453
o1_lag0_only,z_reward,0,P5,157.0,O1_lag0_AB_raw=q1,-0.2662938895511548,0.28212808617006474,-0.5484219757212195
o1_lag0_only,z_reward,0,P5,173.0,O1_lag0_AB_raw=q1,0.07447612511387575,0.07735216189187397,-0.00287603677799822
o1_lag0_only,z_reward,0,P5,200.0,O1_lag0_AB_raw=q2,0.6519413150534683,2.180845584948476,-1.5289042698950077
o1_lag0_only,z_reward,0,P5,209.0,O1_lag0_AB_raw=q3,0.31990651313216256,1.6565676929001913,-1.3366611797680288
o1_lag0_only,z_reward,0,P5,221.0,O1_lag0_AB_raw=q1,-0.6257762242208493,-0.39677972736668443,-0.2289964968541649
o1_lag0_only,z_reward,0,P5,242.0,O1_lag0_AB_raw=q1,-0.3381843614187957,-0.06620340708385727,-0.2719809543349384
o1_lag0_only,z_reward,0,P5,336.0,O1_lag0_AB_raw=q1,-0.12941787549707143,0.6080063624881581,-0.7374242379852295
o1_lag0_only,z_reward,0,P5,342.0,O1_lag0_AB_raw=q2,0.76251175517427,1.2494184257834702,-0.48690667060920023
o1_lag0_only,z_reward,0,P5,351.0,O1_lag0_AB_raw=q1,-0.6549495403083331,0.3606293587495356,-1.0155788990578687
o1_lag0_only,z_reward,0,P5,369.0,O1_lag0_AB_raw=q2,-0.38110545632454085,-0.11121777544409917,-0.2698876808804417
o1_lag0_only,z_reward,0,P5,382.0,O1_lag0_AB_raw=q3,0.6982265732457597,-0.13158807449852172,0.8298146477442814
o1_lag0_only,z_reward,0,P5,391.0,O1_lag0_AB_raw=q1,0.06868195073820363,1.2384324347355287,-1.169750483997325
o1_lag0_only,z_reward,0,P5,402.0,O1_lag0_AB_raw=q1,-0.25397052546427057,-0.44833748079005004,0.19436695532577947
o1_lag0_only,z_reward,1,P1,42.0,O1_lag0_AB_raw=q1,0.03736663802126888,0.23874259993798955,-0.20137596191672066
o1_lag0_only,z_reward,1,P1,53.0,O1_lag0_AB_raw=q1,0.07540926625730468,0.27105184120500864,-0.19564257494770396
o1_lag0_only,z_reward,1,P1,66.0,O1_lag0_AB_raw=q2,-0.3043414979860857,-0.11240762471671713,-0.19193387326936856
o1_lag0_only,z_reward,1,P1,85.0,O1_lag0_AB_raw=q3,0.3572969863528559,0.3980827009213903,-0.040785714568534415
o1_lag0_only,z_reward,1,P1,86.0,O1_lag0_AB_raw=q3,0.2847654627803195,0.39464251403717204,-0.10987705125685254
o1_lag0_only,z_reward,1,P1,102.0,O1_lag0_AB_raw=q1,0.1628354850491489,0.8250719898715565,-0.6622365048224076
o1_lag0_only,z_reward,1,P1,114.0,O1_lag0_AB_raw=q1,-0.17339993784846008,0.3643920326028562,-0.5377919704513163
o1_lag0_only,z_reward,1,P1,135.0,O1_lag0_AB_raw=q2,-0.12380244724567663,0.42706140166106754,-0.5508638489067441
o1_lag0_only,z_reward,1,P1,145.0,O1_lag0_AB_raw=q2,-0.18486637262554567,-0.1796107088980925,-0.005255663727453175
o1_lag0_only,z_reward,1,P1,155.0,O1_lag0_AB_raw=q3,1.9222243417882308,0.6416854206739528,1.280538921114278
o1_lag0_only,z_reward,1,P1,164.0,O1_lag0_AB_raw=q1,-0.2811637581678647,-0.3254742262239457,0.044310468056080965
o1_lag0_only,z_reward,1,P1,169.0,O1_lag0_AB_raw=q2,-0.43110965279035696,-0.4195961830615734,-0.011513469728783532
o1_lag0_only,z_reward,1,P1,192.0,O1_lag0_AB_raw=q1,-0.1974380746428767,0.22187920902976552,-0.4193172836726422
o1_lag0_only,z_reward,1,P1,218.0,O1_lag0_AB_raw=q3,0.9159375996386623,0.011510311914277038,0.9044272877243853
o1_lag0_only,z_reward,1,P1,255.0,O1_lag0_AB_raw=q3,0.5537996871169414,0.09991751910410465,0.45388216801283676
o1_lag0_only,z_reward,1,P1,258.0,O1_lag0_AB_raw=q2,-0.47023827359054426,-0.4186095427032559,-0.051628730887288365
o1_lag0_only,z_reward,1,P1,265.0,O1_lag0_AB_raw=q1,-0.1693817001323487,-0.21303899276849084,0.043657292636142125
o1_lag0_only,z_reward,1,P1,271.0,O1_lag0_AB_raw=q3,0.6441271618337732,0.44332324059411216,0.200803921239661
o1_lag0_only,z_reward,1,P1,281.0,O1_lag0_AB_raw=q3,0.28473929648551705,-0.48575950952823577,0.7704988060137528
o1_lag0_only,z_reward,1,P1,300.0,O1_lag0_AB_raw=q3,0.39176721674646553,0.3598323642566379,0.031934852489827636
o1_lag0_only,z_reward,1,P1,302.0,O1_lag0_AB_raw=q2,-0.25011153238677103,0.366693738483463,-0.6168052708702341
o1_lag0_only,z_reward,1,P1,317.0,O1_lag0_AB_raw=q1,0.7599457627221422,2.1389810860230374,-1.3790353233008952
o1_lag0_only,z_reward,1,P1,330.0,O1_lag0_AB_raw=q1,0.10810651983328937,2.0734849254830934,-1.965378405649804
o1_lag0_only,z_reward,1,P1,347.0,O1_lag0_AB_raw=q2,-0.2179986907107769,0.0762166990413331,-0.29421538975211003
o1_lag0_only,z_reward,1,P1,362.0,O1_lag0_AB_raw=q3,0.4724262039061187,1.8164033005042683,-1.3439770965981497
o1_lag0_only,z_reward,1,P1,381.0,O1_lag0_AB_raw=q1,-0.25296010072790376,0.2675545654568739,-0.5205146661847777
o1_lag0_only,z_reward,1,P1,394.0,O1_lag0_AB_raw=q1,0.09592068154850347,1.6854173663112932,-1.5894966847627898
o1_lag0_only,z_reward,1,P11,46.0,O1_lag0_AB_raw=q3,1.2283754932472062,0.4753190350516813,0.7530564581955248
o1_lag0_only,z_reward,1,P11,67.0,O1_lag0_AB_raw=q2,-0.17846319419411322,0.15461335465027848,-0.3330765488443917
