proxy,n_active_folds,active_mean_c12_mean,weighted_mean_c12_mean,active_mean_n_positive_specificity_controls,weighted_mean_n_positive_specificity_controls,active_mean_min_specificity_margin,weighted_mean_min_specificity_margin,active_mean_side_correspondence_margin,weighted_mean_side_correspondence_margin,active_mean_ring_orientation_margin,weighted_mean_ring_orientation_margin,active_mean_twelvefold_neighbor_margin,weighted_mean_twelvefold_neighbor_margin,z_distance_to_registered_readout,c12_dilution_vs_registered,positive_control_dilution_vs_registered,min_margin_dilution_vs_registered
registered_survivor_set,4,0.0046614604669604496,0.00466146046696045,7.5,7.5,0.00022668647397205003,0.00022668647397205003,0.004830816373720475,0.0048308163737204755,0.004756731210078625,0.004756731210078625,0.0039175414709834,0.0039175414709834,0.0,0.0,0.0,0.0
cyclotomic_component,2,0.00506472102581885,0.00506472102581885,8.0,8.0,0.00082542826891025,0.00082542826891025,0.0050547343217662005,0.0050547343217662005,0.00471818573114105,0.00471818573114105,0.00484474234161715,0.00484474234161715,0.28767749103323315,0.00040326055885840043,0.5,0.0005987417949382
x3_interaction_component,2,0.00425819990810205,0.00425819990810205,7.0,7.0,-0.00037205532096614997,-0.00037205532096614997,0.0046068984256747506,0.0046068984256747506,0.0047952766890162,0.0047952766890162,0.00299034060034965,0.00299034060034965,0.287677491033233,-0.00040326055885839956,-0.5,-0.0005987417949382
complement_direction_component,6,0.00034180641508704986,0.0003418064150870497,4.666666666666667,4.666666666666667,-0.007975372168393583,-0.007975372168393583,-4.889277207399982e-05,-4.889277207399982e-05,0.004853394455591333,0.004853394455591333,-0.0020366202787682835,-0.0020366202787682835,2.3371709382795194,-0.0043196540518734,-2.833333333333333,-0.008202058642365633
cyclotomic_plus_x3_decomposition,4,0.0046614604669604496,0.00466146046696045,7.5,7.5,0.00022668647397205003,0.00022668647397205003,0.004830816373720475,0.0048308163737204755,0.004756731210078625,0.004756731210078625,0.0039175414709834,0.0039175414709834,0.0,0.0,0.0,0.0
broad_group_completion_proxy,16,-0.00084980557322489,-0.0007966927248983344,3.6875,3.6875,-0.009164811916564718,-0.008592011171779424,-0.0008996145226363532,-0.0008433886149715811,0.000695082695499167,0.0006516400270304689,-0.00108766710818438,-0.0010196879139228563,2.787347468822313,-0.005511266040185339,-3.8125,-0.009391498390536768
arithmetic_completion_composite,16,-0.00084980557322489,0.0003057537215381057,3.6875,4.5,-0.009164811916564718,-0.0070929871485747725,-0.0008996145226363532,0.00021291119318817694,0.000695082695499167,0.002252828154090385,-0.00108766710818438,-0.0004947908619785306,2.787347468822313,-0.005511266040185339,-3.8125,-0.009391498390536768
collapsed_arithmetic_control,9,-0.004478655446697525,-0.004021197926070367,1.6666666666666667,1.75,-0.013271819974961636,-0.012830781743995582,-0.00537808906430395,-0.0048047610312008755,-0.00045339674822016254,0.0006192021404556667,-0.004787054768985462,-0.005004394319528083,4.4399380550105745,-0.009140115913657975,-5.833333333333333,-0.013498506448933686
