representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd
endpoint_abs_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,131,0.10331695570106819,13.534521196839933,0.02880745346998974,0.0025597625427756765,0.01350826920658777,0.0044143996605548914,0.06153846153846154,0.036095071687109306,0.002597809948429548,0.8027306067632243,0.010736189518765291,0.7337134673937724,0.014794299167327385,0.9948171113399942,0.0011935104958281895,0.02880745346998974,0.0025597625427756765,0.7775975865649891,0.029582547027113573,0.07111069466017754,0.015562224629272892,101.0,0.0,0.8118884070186234,0.020398276690220065,0.8058348794300167,0.009401629168093556
endpoint_abs_relation,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,131,0.10331695570106819,13.534521196839933,0.029091987961482543,0.003963316856493731,0.011991172958446907,0.007669179169141366,0.015384615384615385,0.0343331550416664,0.004217520629256507,0.8085467427662396,0.014423551417334464,0.7403904554702521,0.01879431296422367,0.9833066304962279,0.0021241009193178986,0.029091987961482543,0.003963316856493731,0.7829606023427258,0.08872045038097878,0.07614843974621165,0.017535176196424508,101.0,0.0,0.8500822123979259,0.02242325081321094,0.8122551227934701,0.012748133536310918
endpoint_abs_relation,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",131,0.10331695570106819,13.534521196839933,0.028412381101916316,0.004384720526846255,0.011416894774329882,0.0049619865800882915,0.015384615384615385,0.03323884038991852,0.005018274674888731,0.8095803336774874,0.010682859213192572,0.7409733372972196,0.01475389180485762,0.9830903388637015,0.0019813100088499317,0.028412381101916316,0.004384720526846255,0.7667076040009791,0.08699004870915662,0.0754384007583569,0.01653790545273135,101.0,0.0,0.8453352219240269,0.01736544704296269,0.8125372049759864,0.010407292447948982
endpoint_abs_relation,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,131,0.10331695570106819,13.534521196839933,0.0031693486192884953,0.0025109515027521433,0.0011423081467087336,-0.0008276967615494625,0.46153846153846156,0.004331861151509088,0.0037930087917887613,0.5423884818057053,0.011231954268074702,0.4797132466747743,0.012643965183902185,0.9305882046505409,0.001563504093827538,0.0031693486192884953,0.0025109515027521433,0.765204852323544,0.03362512004013547,0.17894541772726363,0.014651657519484045,101.0,0.0,0.7814802542062753,0.01323017563119887,0.5508163952772842,0.008974966459725836
endpoint_abs_relation,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,131,0.10331695570106819,13.534521196839933,0.013192082665779148,0.0029380649032864606,0.003297899025081817,0.003583561226220937,0.09230769230769231,0.018722951107842046,0.0041168047042768885,0.6295204009589466,0.010701148396805341,0.5595092171480682,0.015433413787860104,0.9531964808465917,0.0014157827862266853,0.013192082665779148,0.0029380649032864606,0.7115161358070545,0.03574867544238855,0.10257575268577643,0.020046174332299365,101.0,0.0,0.7528636813701182,0.01531238138073902,0.638833945075379,0.00952942289762692
endpoint_abs_relation,c10,10,40,"C10(1,2) neighbouring-cycle control",131,0.10331695570106819,13.534521196839933,-0.002643275966806887,0.002848260637137946,0.000782040276995982,-0.002478825490329234,0.6461538461538462,-0.003239345843581631,0.0037789632187740408,0.45280679679963154,0.010697339356761985,0.5044074100049958,0.015449484722160654,0.9846192804219165,0.002612695609311261,-0.002643275966806887,0.002848260637137946,0.8601729982678255,0.08512366954701381,0.0750268665102874,0.020629469776383517,101.0,0.0,0.8365592176769983,0.008137810407215892,0.5116003348739091,0.012297567684331974
endpoint_abs_relation,c11,11,44,"C11(1,2) neighbouring-cycle control",131,0.10331695570106819,13.534521196839933,-0.005030453027559725,0.002728517876108332,0.006192070865420626,0.0013265369300542547,0.23076923076923078,-0.006392554128739757,0.0036005546015344583,0.4249959264210607,0.016246026126489344,0.45103661213428503,0.018865504065890767,0.983549151695569,0.0021385240019973733,-0.005030453027559725,0.002728517876108332,0.7673654052382227,0.0785957472691957,0.0756908434038958,0.018209316571235385,101.0,0.0,0.8942639495267855,0.008644685954152695,0.4628585150541471,0.012971921933084194
endpoint_abs_relation,c13,13,52,"C13(1,2) neighbouring-cycle control",131,0.10331695570106819,13.534521196839933,-0.0038791110062081813,0.0025666519260299516,-0.0013663048562266408,-0.004519968346556418,0.8615384615384616,-0.004050018485128726,0.0031775417430795335,0.4989061572685291,0.009815014756033913,0.5079448686858823,0.01510983358604868,0.9817542967910318,0.0017256441997723629,-0.0038791110062081813,0.0025666519260299516,0.8877403105980031,0.028729718686127517,0.08184837094764427,0.01728591251122552,101.0,0.0,0.9104265422452575,0.008996067065383593,0.5184365616785376,0.011605854282095302
endpoint_abs_relation,c14,14,56,"C14(1,2) neighbouring-cycle control",131,0.10331695570106819,13.534521196839933,-0.0019185262981969435,0.001577471730996229,0.0022562445576297815,0.0014254581962587936,0.2153846153846154,-0.0022375517681836607,0.0020070705414438916,0.5030808779340485,0.009548662655429406,0.49049721694031323,0.00985927769294538,0.9817812364039784,0.0019599094920581314,-0.0019185262981969435,0.001577471730996229,0.8975929028918679,0.022141141232672062,0.0773694504823379,0.01610597325848736,101.0,0.0,0.9151015350960717,0.007440569464417629,0.5110203034069718,0.0068247989492723985
endpoint_lag_gap_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,131,0.0869225266404979,11.386850989905225,0.024842808781751637,0.0027324329076598795,0.004936433616722007,-0.0058274165909399794,0.49230769230769234,0.029759152976278534,0.002797139832926351,0.7817048849190229,0.009213577763858132,0.7036848677097917,0.012988718724299492,0.9948931627362259,0.0010912365268247288,0.024842808781751637,0.0027324329076598795,0.7945886098569541,0.029478342488579962,0.06462669909204843,0.019082245875075638,102.0,0.0,0.8403274660356539,0.020599416060152743,0.7854759787881082,0.008974174668995978
endpoint_lag_gap_relation,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,131,0.0869225266404979,11.386850989905225,0.02702796151942974,0.0040001607974512465,0.0023167961527761002,0.010575357491128087,0.15384615384615385,0.03053630657411328,0.004405784696218565,0.7794643242305777,0.01836924859760818,0.7013254030078817,0.023137208627619137,0.9837070394088754,0.003052363107768935,0.02702796151942974,0.0040001607974512465,0.7602652636131357,0.046988306120138795,0.08634484203522699,0.02121159784595812,102.0,0.0,0.861010929421726,0.018726426363195076,0.7844247709532255,0.01639075003814557
endpoint_lag_gap_relation,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",131,0.0869225266404979,11.386850989905225,0.024526089010697028,0.0045020422150167634,-4.34256567558855e-05,0.0012008399218329177,0.47692307692307695,0.02803213525921818,0.005445425565396017,0.7761898909305456,0.014776481296752263,0.692480274111261,0.02145315851484005,0.9822713119940071,0.002772168393789022,0.024526089010697028,0.0045020422150167634,0.7631386701790988,0.04777766814535312,0.08919741482534552,0.018664237184603662,102.0,0.0,0.8539693536983874,0.020017341301223818,0.7799790122906006,0.01408320422353065
endpoint_lag_gap_relation,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,131,0.0869225266404979,11.386850989905225,-0.0013993504845183496,0.002445631123539,0.0008849502239463656,0.0023548461271054094,0.27692307692307694,-0.001974257180391309,0.0032586729050654625,0.49020442846514856,0.011125250429493899,0.46998195633070294,0.019185061575756297,0.9472589242012935,0.0011524657833106686,-0.0013993504845183496,0.002445631123539,0.768959210093722,0.05473719596301079,0.08040349468766414,0.02117233760611136,102.0,0.0,0.7835402974306178,0.005080310551273298,0.5160481266454401,0.010646662731185527
endpoint_lag_gap_relation,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,131,0.0869225266404979,11.386850989905225,0.0035642124944664493,0.0022939835161488458,0.0009636634561618713,0.004202195279784078,0.2153846153846154,0.004399973628023182,0.0031002212304458007,0.5534864650781017,0.015415085946799021,0.42744132411305674,0.01512376755296046,0.9570399494230828,0.0016898228716375914,0.0035642124944664493,0.0022939835161488458,0.7689185838819153,0.020239531205406586,0.08578012792071532,0.01809942095968792,102.0,0.0,0.8036187674732089,0.00840180613900034,0.5604582082579372,0.01159282695564081
endpoint_lag_gap_relation,c10,10,40,"C10(1,2) neighbouring-cycle control",131,0.0869225266404979,11.386850989905225,-0.004614169310886068,0.003023118444716015,-0.000939782328686974,-0.0017001781525010752,0.7230769230769231,-0.004939143843640172,0.0035706244359760705,0.475202861364636,0.02114171856756315,0.4866510774399222,0.016251694643040146,0.9862602382421043,0.0038135231140177684,-0.004614169310886068,0.003023118444716015,0.8299557848085924,0.03428637398161053,0.07335681335911058,0.02179206930863548,102.0,0.0,0.8468305171459996,0.009839059584744307,0.5079469583807839,0.011070376329246965
endpoint_lag_gap_relation,c11,11,44,"C11(1,2) neighbouring-cycle control",131,0.0869225266404979,11.386850989905225,-0.0064079816336951945,0.002819002264691306,0.00024586579021775457,-8.202865830861557e-06,0.5538461538461539,-0.007294067750780073,0.003032594589922049,0.4133881889189311,0.026064652879183005,0.4592649706381665,0.022626823854679273,0.9839978792672699,0.004166718621268704,-0.0064079816336951945,0.002819002264691306,0.7999438072848988,0.08927136008392066,0.08137204304210219,0.022206177842901895,102.0,0.0,0.9038678484319653,0.010272121091223881,0.47127813822576226,0.016781734207166162
endpoint_lag_gap_relation,c13,13,52,"C13(1,2) neighbouring-cycle control",131,0.0869225266404979,11.386850989905225,-0.0019741272364106888,0.0016378952982314195,0.0012687188289612706,-0.0013755088748606834,0.5538461538461539,-0.002157408124651452,0.0019416696697298352,0.497717400455831,0.012578627531310444,0.5030283361695627,0.012824843705051677,0.9828144525372142,0.002281670275666496,-0.0019741272364106888,0.0016378952982314195,0.7861904141411781,0.05450145725490351,0.08016980869986737,0.01955085584586107,102.0,0.0,0.9209948943914009,0.007323612894597944,0.5172256705455692,0.009677990685610583
endpoint_lag_gap_relation,c14,14,56,"C14(1,2) neighbouring-cycle control",131,0.0869225266404979,11.386850989905225,-0.0007272876897845897,0.0022591563174083136,0.0007410518648240328,0.00481853011218104,0.2,-0.0007420827976886117,0.0024289762333899127,0.49786921364957604,0.011346903163628665,0.49109751009931124,0.012850049195768244,0.980245620357443,0.0015695111852348633,-0.0007272876897845897,0.0022591563174083136,0.7508142334302965,0.06967234276150434,0.09234625013578399,0.018088247352168386,102.0,0.0,0.9194279960680785,0.006794391107270273,0.5104163498119006,0.009829229878847894
endpoint_product_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,131,0.08497665542362648,11.131941860495068,0.02847286626225502,0.0023132676912153323,0.01378351452062847,0.006268333157684401,0.015384615384615385,0.036200272698748065,0.0028054919279146147,0.7800052153007344,0.011757834264550463,0.7192367986853291,0.01469778905559138,0.9949626509012859,0.0011933183724262672,0.02847286626225502,0.0023132676912153323,0.8449454569018733,0.013498271220252794,0.08105001542724673,0.019186532245422005,100.0,0.0,0.8059969117235792,0.02456265605495287,0.7860590053957252,0.010725598898214336
endpoint_product_relation,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,131,0.08497665542362648,11.131941860495068,0.029792971830253066,0.00437045170229223,0.014217736381790505,-0.005298711109622791,0.5076923076923077,0.034999469253921854,0.005158905355414938,0.78924647992642,0.011595214930499902,0.7209612173827582,0.020047178492736076,0.9829212671215066,0.002388350245964361,0.029792971830253066,0.00437045170229223,0.8330730500703272,0.083113387922449,0.08766791601777385,0.02119075745763158,100.0,0.0,0.8465876255768413,0.0280701546529487,0.7928047526242974,0.011121558884232302
endpoint_product_relation,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",131,0.08497665542362648,11.131941860495068,0.029090646590767374,0.004932335870896682,0.013245366504609907,0.004045519089745164,0.015384615384615385,0.03469534841818189,0.00611553813624338,0.7873914223883197,0.013070302984636004,0.719354922465397,0.015913478817654744,0.9826441999683907,0.002492392092692351,0.029090646590767374,0.004932335870896682,0.8288989458100238,0.09585339777121446,0.09311011771145122,0.023742945590567846,100.0,0.0,0.8391199657326287,0.026013392629575006,0.7917768399502559,0.011603613588079235
endpoint_product_relation,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,131,0.08497665542362648,11.131941860495068,0.006271342946186184,0.0026329875264258515,-0.004932629752286956,-0.003514558689533079,0.9076923076923077,0.00895942218237804,0.0038151777029415963,0.604609981021257,0.01717524745632105,0.4890730612584462,0.024270041280897037,0.9530408353515138,0.002559186329996529,0.006271342946186184,0.0026329875264258515,0.7578441330672968,0.042281028711832744,0.1174196282772422,0.028071920373517707,100.0,0.0,0.7882811532904198,0.013800766831181558,0.6094675116260716,0.01623239718901177
endpoint_product_relation,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,131,0.08497665542362648,11.131941860495068,0.011266058687031635,0.0035522270241263388,0.0035629248498456594,0.0039332836418538705,0.09230769230769231,0.014124427564599836,0.004813814239121757,0.5690921915721525,0.01814485025522589,0.5841468723739667,0.019731259128160993,0.9463678265866746,0.0028648727198650275,0.011266058687031635,0.0035522270241263388,0.8254912433627455,0.038271309739671466,0.13870068346649234,0.025417725701526343,100.0,0.0,0.8155212843019096,0.013649260813535282,0.5977291895135459,0.01884912642241521
endpoint_product_relation,c10,10,40,"C10(1,2) neighbouring-cycle control",131,0.08497665542362648,11.131941860495068,-0.003814630333435638,0.0020784451245488725,-0.001097201452035279,0.002456950780129574,0.36923076923076925,-0.004461220399697003,0.0027727984855151996,0.45719844927807596,0.013506740644665689,0.49809538281072935,0.01665461373298633,0.9838220425682048,0.002629498605609752,-0.003814630333435638,0.0020784451245488725,0.9007153528242422,0.07032229001570034,0.09416295607939962,0.02575015705353451,100.0,0.0,0.8287298118472346,0.009068445205354277,0.5118406971341376,0.013727142353295217
endpoint_product_relation,c11,11,44,"C11(1,2) neighbouring-cycle control",131,0.08497665542362648,11.131941860495068,-0.008019145017031416,0.0025096270570326394,0.001972225146846685,0.0010957294033944482,0.3076923076923077,-0.009518693641870832,0.0031376606782685616,0.41994810932920223,0.016825848812153515,0.4481384560471517,0.019327253439149077,0.9824063630243101,0.002472424493096009,-0.008019145017031416,0.0025096270570326394,0.8062050976008183,0.07687538356968271,0.0904532077849182,0.021798998685181068,100.0,0.0,0.8846134374320546,0.008824361555269432,0.46241599808770906,0.012018062639224484
endpoint_product_relation,c13,13,52,"C13(1,2) neighbouring-cycle control",131,0.08497665542362648,11.131941860495068,-0.0029331989544925706,0.002303842941940483,0.0021768263342319145,-0.002481581262240463,0.5230769230769231,-0.003317091080746891,0.0027762144113390903,0.49820935543795924,0.011819199272977986,0.5026221825557128,0.015316628023879186,0.9811706272103791,0.0016797754141381165,-0.0029331989544925706,0.002303842941940483,0.8942983307271704,0.04198881534947057,0.09143478751742948,0.01804908875914186,100.0,0.0,0.8991354031050522,0.008655126711360098,0.5166131951230435,0.010648928640266161
endpoint_product_relation,c14,14,56,"C14(1,2) neighbouring-cycle control",131,0.08497665542362648,11.131941860495068,-0.003991064092620202,0.002297026736981607,0.0011221306516543909,-0.0011641062563074447,0.46153846153846156,-0.004493251088958398,0.0032375023297139425,0.5019845571142336,0.009172425237484507,0.4873435612168925,0.012653037997746634,0.9811149048129189,0.0013533252954543976,-0.003991064092620202,0.002297026736981607,0.9376868776873473,0.02228735516234695,0.08930405967047927,0.01601050293649998,100.0,0.0,0.9044457086712023,0.007022348484151738,0.5100460170335366,0.006661450144666374
receiver_only_relation,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.08901320545171411,11.749743119626263,0.029153331688720287,0.0022082541942076883,0.01775989149483253,0.006344157176682703,0.015384615384615385,0.03596150101956862,0.0027478593986293657,0.7499849365138411,0.008407203508364595,0.6694906133132941,0.011260897781742947,0.9949465887953222,0.0010442459269791875,0.029153331688720287,0.0022082541942076883,0.6950276894582327,0.04485876052652757,0.08606979802827666,0.015554176774089993,94.0,0.0,0.8370827214142155,0.01885906460117983,0.7542291618057733,0.007496642501597919
