label,idx_in_session,phase,strength,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,ab_receiver_side,ba_receiver_side,ab_sender_side,ba_sender_side,ab_standpoint_polarity,ba_standpoint_polarity,ab_inverted_standpoint_polarity,ba_inverted_standpoint_polarity,ab_standpoint_magnitude,ba_standpoint_magnitude,ab_inverted_standpoint_magnitude,ba_inverted_standpoint_magnitude,scalar_c,directed_c,receiver_only_c,magnitude_only_c,receiver_magnitude_c,standpoint_inversion_c,receiver_standpoint_magnitude_c,endpoint_o1o2_reference,endpoint_abs_relation,endpoint_lag_gap_relation,endpoint_product_relation,receiver_only_relation,standpoint_only_relation,receiver_standpoint_relation,forward_ab_to_c_condition,reverse_c_to_ab_condition,self_consistent_min_condition,self_consistent_product_condition,self_consistent_rstar_condition
P1,42.0,-0.1482350940017722,0.3509050971810473,0.9126085211488411,0.10357620659485237,0.20660109910889468,0.3583805531111812,0.0068961004608218,0.0068961004608218,0.3583805531111812,0.35148445265035944,-0.35148445265035944,-0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.8523446884862649,1.7716551896004267,0.11664412656128233,1.8333609490363239,1.1337315985690357,1.8333609490363239,1.532208435711343,-0.3933845966717812,-0.3933845966717812,-0.09217509079163934,-0.45012789411359144,0.11664412656128233,1.8333609490363239,1.1337315985690357,1.8129944172298142,1.0474362244960782,1.5322152433633438,0.33976717200873874,1.532208435711343
P1,53.0,0.153373759199195,0.2010800482409479,0.8042894328442071,0.036058178922929805,0.14324743436499915,0.0748497347889251,0.1076205934652459,0.1076205934652459,0.0748497347889251,-0.03277085867632079,0.03277085867632079,0.03277085867632079,-0.03277085867632079,0.03277085867632079,0.03277085867632079,0.03277085867632079,0.03277085867632079,0.48377767582073095,-0.4379025305779725,-0.8971220764553947,-0.8619842296680537,-1.0161491877339828,-0.8619842296680537,-0.969869264056917,-0.9568263826634695,-0.9568263826634695,-0.048778011172903875,-0.7210846631893885,-0.8971220764553947,-0.8619842296680537,-1.0161491877339828,-0.9759525521301982,-0.8871814230680344,-0.949061329058169,0.005085971942257365,-0.969869264056917
P1,66.0,-0.14228507273569,0.2337503920317854,0.7875305059722026,0.19195655192322256,0.2642043798972934,0.1135617488390458,0.1768592239983368,0.1768592239983368,0.1135617488390458,-0.06329747515929102,0.06329747515929102,0.06329747515929102,-0.06329747515929102,0.06329747515929102,0.06329747515929102,0.06329747515929102,0.06329747515929102,0.4267536765481063,-0.6134376998590242,-0.2984736714723854,-0.6038221364432707,-0.5195233822439008,-0.6038221364432707,-0.5800963240395518,0.23511858462301105,0.23511858462301105,-0.4129047542133851,0.0391985267564439,-0.2984736714723854,-0.6038221364432707,-0.5195233822439008,-0.6738323887584672,-0.41752673186939204,-0.5785721318805686,-0.184259872289839,-0.5800963240395518
P1,85.0,0.0409833014373422,0.098866622125212,0.6686543223376353,0.2715256434922839,0.2636286507710695,0.2046637225337445,0.1086118511029543,0.1086118511029543,0.2046637225337445,0.09605187143079022,-0.09605187143079022,-0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.022265044257822206,0.30285823304003134,-0.1717317667078646,-0.32681981918739184,-0.28550454156412647,-0.32681981918739184,-0.3162046804681668,0.5752086407282341,0.5752086407282341,-1.0835087263612753,0.3874756434377692,-0.1717317667078646,-0.32681981918739184,-0.28550454156412647,-0.19956633222389297,-0.42739831613552076,-0.276370647860635,-0.24776844437842255,-0.3162046804681668
P1,86.0,-0.0954593448508036,0.1364426462881459,0.7567249111335096,0.26519178933605403,0.22923353609022795,0.2234456056011832,0.1202129291102803,0.1202129291102803,0.2234456056011832,0.10323267649090291,-0.10323267649090291,-0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.32193442224317365,0.3441495380395322,-0.003240774770819144,-0.26609210419834334,-0.1526444456634818,-0.26609210419834334,-0.21623581460469063,0.39985824585257634,0.39985824585257634,-0.7910806219343622,0.20736173148088952,-0.003240774770819144,-0.26609210419834334,-0.1526444456634818,-0.09919753771817813,-0.33381228591251727,-0.1616063341604012,-0.2646720900129701,-0.21623581460469063
P1,102.0,0.0197528907662181,0.1694565122691791,0.8038995074272522,0.05409734904052015,0.07984537471818198,0.1969561789382297,0.0347436515587911,0.0347436515587911,0.1969561789382297,0.1622125273794386,-0.1622125273794386,-0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.48245091385902367,0.6832974457569141,-0.6241161753829628,0.232697592064399,-0.22340794749751436,0.232697592064399,0.004797178228103603,-1.1521271923517986,-1.1521271923517986,-0.8974820250683009,-0.7352022099310583,-0.6241161753829628,0.232697592064399,-0.22340794749751436,0.17780287362431596,-0.2166961456809968,-0.0179871056829971,-0.2878801798298686,0.004797178228103603
P1,114.0,-0.2217513832224785,0.2852758562216058,0.8424899841574068,0.09030823243551363,0.1147701786720052,0.3642702978184873,0.0766553435637683,0.0766553435637683,0.3642702978184873,0.287614954254719,-0.287614954254719,-0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.6137590419866438,1.4043906675388664,0.5361612685481292,1.2932197444506819,1.0638152957518816,1.2932197444506819,1.217174359721367,-0.8458667781423221,-0.8458667781423221,-0.9108843372272285,-0.6343006991903092,0.5361612685481292,1.2932197444506819,1.0638152957518816,1.4439970253784502,0.8384403395422153,1.275924114807626,0.11680036284716112,1.217174359721367
P1,135.0,0.0671318684293076,0.2092282999642921,0.6515494868300825,0.23556636839593403,0.2562777197393053,0.1171743628175972,0.0472317284642276,0.0472317284642276,0.1171743628175972,0.0699426343533696,-0.0699426343533696,-0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,-0.035935945279904465,0.15272402629815768,-0.9972986589341987,-0.5476243521813865,-0.8920039401812346,-0.5476243521813865,-0.7434249449438167,0.3887452471399714,0.3887452471399714,-0.9499695149620805,0.20034417458191223,-0.9972986589341987,-0.5476243521813865,-0.8920039401812346,-0.6226450580914145,-0.8368798636772738,-0.7785168406690978,-0.10659909582222771,-0.7434249449438167
P1,145.0,-0.1070763984884325,0.1716725862659696,0.3672298197414542,0.12261913622927367,0.15861145964723222,0.219760710353311,0.0063990746869289,0.0063990746869289,0.219760710353311,0.21336163566638208,-0.21336163566638208,-0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,-1.0033633117861993,0.9774167559245592,-0.6548389134364515,0.6652630835365677,0.009508761056290125,0.6652630835365677,0.3484525999366279,-0.5180088418586081,-0.5180088418586081,-0.7907255745962194,-0.4826779571914772,-0.6548389134364515,0.6652630835365677,0.009508761056290125,0.5566528618832015,0.049879777669184756,0.30891427927146203,-0.2664044181530889,0.3484525999366279
P1,155.0,0.1554367715654621,0.226474862247534,0.7753737849227877,0.5735217232590317,0.28832874201698366,0.0989907680340648,0.0637374606897099,0.0637374606897099,0.0989907680340648,0.0352533073443549,-0.0352533073443549,-0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.3853891633203913,-0.046747700028607425,-1.0066033717317509,-0.8409902834565472,-1.0674383597235113,-0.8409902834565472,-0.9855137374779863,1.9817333877847783,1.9817333877847783,1.8062096530826426,1.9527708277470255,-1.0066033717317509,-0.8409902834565472,-1.0674383597235113,-0.8878107516005495,-1.0274674805120987,-1.0122339562865896,0.020100624341015512,-0.9855137374779863
