label,idx_in_session,phase,strength,selected_operator,selection_reason,A_B,A_C,B_C,TFC_min,TFC_mean,abs_dphi,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,O3_A_C_boundary_raw,O4_B_C_boundary_raw,O5_full_TFC_raw,O6_phase_only_raw,O1_lag0_AB_z,O2_lag5_AB_z,O3_A_C_boundary_z,O4_B_C_boundary_z,O5_full_TFC_z,O6_phase_only_z,oracle_operator,oracle_reward_z,selected_reward_z,selected_matches_oracle,shuffled_selected_operator,random_operator,shuffled_selected_reward_z,random_reward_z,fixed_O1_lag0_AB_reward_z,fixed_O2_lag5_AB_reward_z,fixed_O3_A_C_boundary_reward_z,fixed_O4_B_C_boundary_reward_z,fixed_O5_full_TFC_reward_z,fixed_O6_phase_only_reward_z
P1,42.0,-0.1482350940017722,0.3509050971810473,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.1035762065948523,0.0068961004608218,0.3583805531111812,0.0068961004608218,0.1562842867222851,0.0145975752823088,0.9126085211488411,0.10357620659485237,0.20660109910889468,0.1179478041898347,0.1203776380507217,0.1179478041898347,0.1677632104761346,-0.7386210357837245,0.06196139303741841,-0.24748192190721924,-0.5332911506946512,0.23874259993798955,0.9430778244170148,O6_phase_only,0.9430778244170148,-0.5332911506946512,False,O3_A_C_boundary,O4_B_C_boundary,-0.24748192190721924,-0.5332911506946512,-0.7386210357837245,0.06196139303741841,-0.24748192190721924,-0.5332911506946512,0.23874259993798955,0.9430778244170148
P1,53.0,0.153373759199195,0.2010800482409479,O3_A_C_boundary,A-side boundary projection dominates current C-state,0.0360581789229298,0.1076205934652459,0.0748497347889251,0.0360581789229298,0.0728428357257002,0.0922528699738228,0.8042894328442071,0.036058178922929805,0.14324743436499915,0.1721917194128667,0.1067039854486507,0.1067039854486507,0.161721246638925,-1.2358214967495766,-0.3941230682306622,0.27105184120500864,-0.7040314293149346,0.10422218149160413,0.8702715896891131,O6_phase_only,0.8702715896891131,0.27105184120500864,False,O4_B_C_boundary,O2_lag5_AB,-0.7040314293149346,-0.3941230682306622,-1.2358214967495766,-0.3941230682306622,0.27105184120500864,-0.7040314293149346,0.10422218149160413,0.8702715896891131
P1,66.0,-0.14228507273569,0.2337503920317854,O5_full_TFC,full triadic projection is already active,0.1919565519232225,0.1768592239983368,0.1135617488390458,0.1135617488390458,0.160792508253535,0.0682079844924187,0.7875305059722026,0.19195655192322256,0.2642043798972934,0.0885970965237179,0.120714084040211,0.0885970965237179,0.0168039342249651,-0.08779117666654969,0.4766487105249557,-0.5280540899290497,-0.5290900141250867,-0.11240762471671713,-0.8759957081668478,O2_lag5_AB,0.4766487105249557,-0.11240762471671713,False,O5_full_TFC,O4_B_C_boundary,-0.11240762471671713,-0.5290900141250867,-0.08779117666654969,0.4766487105249557,-0.5280540899290497,-0.5290900141250867,-0.11240762471671713,-0.8759957081668478
P1,85.0,0.0409833014373422,0.098866622125212,O5_full_TFC,full triadic projection is already active,0.2715256434922839,0.1086118511029543,0.2046637225337445,0.1086118511029543,0.1949337390429942,0.095391752435118,0.6686543223376353,0.2715256434922839,0.2636286507710695,0.0889577283070557,0.1949662623200607,0.0889577283070557,0.054071903210655,0.4981529092449413,0.47250402356120014,-0.5246067031586968,0.3980827009213903,-0.10809304623441067,-0.42691316300262155,O1_lag0_AB,0.4981529092449413,-0.10809304623441067,False,O4_B_C_boundary,O6_phase_only,0.3980827009213903,-0.42691316300262155,0.4981529092449413,0.47250402356120014,-0.5246067031586968,0.3980827009213903,-0.10809304623441067,-0.42691316300262155
P1,86.0,-0.0954593448508036,0.1364426462881459,O5_full_TFC,full triadic projection is already active,0.265191789336054,0.1202129291102803,0.2234456056011832,0.1202129291102803,0.2029501080158392,0.0818140193028471,0.7567249111335096,0.26519178933605403,0.22923353609022795,0.0876381210551276,0.1946907566179433,0.0876381210551276,0.0247502471506284,0.4515106225141994,0.2248928172816612,-0.5372212224344354,0.39464251403717204,-0.12388075357836244,-0.780241887112137,O1_lag0_AB,0.4515106225141994,-0.12388075357836244,False,O5_full_TFC,O6_phase_only,-0.12388075357836244,-0.780241887112137,0.4515106225141994,0.2248928172816612,-0.5372212224344354,0.39464251403717204,-0.12388075357836244,-0.780241887112137
P1,102.0,0.0197528907662181,0.1694565122691791,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.0540973490405201,0.0347436515587911,0.1969561789382297,0.0347436515587911,0.0952657265125137,0.037453631350961,0.8038995074272522,0.05409734904052015,0.07984537471818198,0.0690791735275339,0.229161492930492,0.0690791735275339,0.2612489761013291,-1.1029816611209489,-0.8505559254962965,-0.7146317367993612,0.8250719898715565,-0.34591896362100494,2.0695901272395587,O6_phase_only,2.0695901272395587,0.8250719898715565,False,O6_phase_only,O4_B_C_boundary,2.0695901272395587,0.8250719898715565,-1.1029816611209489,-0.8505559254962965,-0.7146317367993612,0.8250719898715565,-0.34591896362100494,2.0695901272395587
P1,114.0,-0.2217513832224785,0.2852758562216058,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.0903082324355136,0.0766553435637683,0.3642702978184873,0.0766553435637683,0.1770779579392564,0.0087845789992864,0.8424899841574068,0.09030823243551363,0.1147701786720052,0.1819560545232703,0.0089342005012059,0.0089342005012059,0.1961000335942131,-0.8363259465397231,-0.5991314741948016,0.3643920326028562,-1.9248639901804618,-1.0654900564307268,1.2845392185869395,O6_phase_only,1.2845392185869395,-1.9248639901804618,False,O4_B_C_boundary,O6_phase_only,-1.9248639901804618,1.2845392185869395,-0.8363259465397231,-0.5991314741948016,0.3643920326028562,-1.9248639901804618,-1.0654900564307268,1.2845392185869395
P1,135.0,0.0671318684293076,0.2092282999642921,O2_lag5_AB,current AB is active; read short-lag future AB,0.235566368395934,0.0472317284642276,0.1171743628175972,0.0472317284642276,0.1333241532259196,0.0314075486656171,0.6515494868300825,0.23556636839593403,0.2562777197393053,0.0115817782239738,0.1972870075476994,0.0115817782239738,0.1716725862659696,0.23335002962323634,0.4195845052824404,-1.2642664863066602,0.42706140166106754,-1.0338145846595979,0.9901861718125123,O6_phase_only,0.9901861718125123,0.4195845052824404,False,O3_A_C_boundary,O3_A_C_boundary,-1.2642664863066602,-1.2642664863066602,0.23335002962323634,0.4195845052824404,-1.2642664863066602,0.42706140166106754,-1.0338145846595979,0.9901861718125123
P1,145.0,-0.1070763984884325,0.1716725862659696,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.1226191362292736,0.0063990746869289,0.219760710353311,0.0063990746869289,0.1162596404231712,0.0280396776877285,0.3672298197414542,0.12261913622927367,0.15861145964723222,0.0541920925954706,0.1114348419744634,0.0541920925954706,0.226474862247534,-0.5983895491890427,-0.28351710372832245,-0.8569417832943346,-0.6449581308454746,-0.5240271671169534,1.65055877188748,O6_phase_only,1.65055877188748,-0.6449581308454746,False,O4_B_C_boundary,O3_A_C_boundary,-0.6449581308454746,-0.8569417832943346,-0.5983895491890427,-0.28351710372832245,-0.8569417832943346,-0.6449581308454746,-0.5240271671169534,1.65055877188748
P1,155.0,0.1554367715654621,0.226474862247534,O2_lag5_AB,current AB is active; read short-lag future AB,0.5735217232590317,0.0637374606897099,0.0989907680340648,0.0637374606897099,0.2454166506609355,0.053484816184123,0.7753737849227877,0.5735217232590317,0.28832874201698366,0.1347874887923836,0.1972266194866537,0.1347874887923836,0.1176677664150768,2.7220417763711415,0.6503205374867133,-0.08650635458911528,0.4263073475199876,0.44021164452003414,0.3394229934089089,O1_lag0_AB,2.7220417763711415,0.6503205374867133,False,O3_A_C_boundary,O5_full_TFC,-0.08650635458911528,0.44021164452003414,2.7220417763711415,0.6503205374867133,-0.08650635458911528,0.4263073475199876,0.44021164452003414,0.3394229934089089
