operator,n_selected,mean_selected_reward_z_when_selected,fixed_mean_reward_z,oracle_selection_count
O1_lag0_AB,78,-0.719956614768451,-2.2657612747452175e-16,91
O2_lag5_AB,49,0.4308186311727679,7.691441985032012e-17,62
O3_A_C_boundary,91,0.5102310522822723,3.466062125659025e-17,71
O4_B_C_boundary,158,0.030746369396011552,-1.6625999974682147e-16,89
O5_full_TFC,100,0.40946439025539183,3.6326315734156453e-17,85
O6_phase_only,26,0.030814817452294602,1.1483518961779397e-16,97
