comparison,mean_C_selected_reward_z,mean_comparator_reward_z,effect,p_greater,n_events,hit_rate_selected_equals_oracle,best_fixed_operator
C_selected_vs_best_fixed_O6_phase_only,0.11514699430949046,1.1483518961779397e-16,0.07658998095750184,0.14237152569486103,450,0.20119521912350596,O6_phase_only
C_selected_vs_random_operator,0.11514699430949046,0.010569375378170905,0.10415841715290208,0.04039192161567687,432,0.20119521912350596,O6_phase_only
C_selected_vs_shuffled_C_selected_operator,0.11514699430949046,-0.08575838237945674,0.1632736611604612,0.001799640071985603,428,0.20119521912350596,O6_phase_only
C_selected_vs_oracle_upper_bound,0.11514699430949046,1.2219141327632144,-1.1379029768241828,1.0,450,0.20119521912350596,O6_phase_only
