mode,endpoint,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,B_to_C_to_A,opposite_access_effect,true_vs_random_intersection,0.002453677189889248,0.00026121404107174964,0.0021924631488175004,0.45550889822035595,410
combined_c_fes_gmr72,z_reward,B_to_C_to_A,opposite_access_effect,true_vs_balanced_intersection,0.002453677189889248,-0.026632515482380263,0.029086192672269497,0.01279744051189762,410
combined_c_fes_gmr72,z_reward,B_to_C_to_A,opposite_access_effect,true_vs_performance_matched_intersection,0.002453677189889248,-0.05833507796201698,0.06078875515190624,0.0001999600079984003,410
combined_c_fes_gmr72,z_reward,B_to_C_to_A,opposite_access_effect,true_vs_shuffled_c_intersection,0.002453677189889248,-0.03871511800550118,0.04116879519539043,0.014397120575884824,410
combined_c_fes_gmr72,z_reward,B_to_C_to_A,opposite_access_effect,true_vs_phase_rotated_intersection,0.002453677189889248,-0.03406275700675454,0.03651643419664378,0.014397120575884824,410
combined_c_fes_gmr72,z_reward,B_to_C_to_A,own_access_effect,true_vs_random_intersection,-0.004180862751867825,-0.00903996413011543,0.0048591013782475975,0.41551689662067587,406
combined_c_fes_gmr72,z_reward,B_to_C_to_A,own_access_effect,true_vs_balanced_intersection,-0.004180862751867825,-0.03442772869523292,0.03024686594336509,0.012997400519896021,406
combined_c_fes_gmr72,z_reward,B_to_C_to_A,own_access_effect,true_vs_performance_matched_intersection,-0.004180862751867825,-0.06765531209016985,0.063474449338302,0.0003999200159968006,406
combined_c_fes_gmr72,z_reward,B_to_C_to_A,own_access_effect,true_vs_shuffled_c_intersection,-0.004180862751867825,-0.04627929666588713,0.04209843391401929,0.013597280543891222,406
combined_c_fes_gmr72,z_reward,B_to_C_to_A,own_access_effect,true_vs_phase_rotated_intersection,-0.004180862751867825,-0.04172261390575921,0.03754175115389138,0.010397920415916816,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,access_readout,true_vs_random_intersection,0.052481810205853484,0.013426636201510973,0.039055174004342504,0.026194761047790442,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,access_readout,true_vs_balanced_intersection,0.052481810205853484,0.012123179360172353,0.04035863084568115,0.0015996800639872025,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,access_readout,true_vs_performance_matched_intersection,0.052481810205853484,-0.0096362768186582,0.062118087024511694,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,access_readout,true_vs_shuffled_c_intersection,0.052481810205853484,0.0062244759142805976,0.046257334291572895,0.0057988402319536095,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,access_readout,true_vs_phase_rotated_intersection,0.052481810205853484,0.01333917619618429,0.039142634009669205,0.008198360327934412,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection_access_effect,true_vs_random_intersection,-0.6739738832107982,-0.7130290572151406,0.03905517400434251,0.02399520095980804,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection_access_effect,true_vs_balanced_intersection,-0.6739738832107982,-0.7143325140564794,0.040358630845681136,0.0011997600479904018,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection_access_effect,true_vs_performance_matched_intersection,-0.6739738832107982,-0.7360919702353098,0.062118087024511694,0.0003999200159968006,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection_access_effect,true_vs_shuffled_c_intersection,-0.6739738832107982,-0.7202312175023712,0.04625733429157289,0.00599880023995201,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,intersection_access_effect,true_vs_phase_rotated_intersection,-0.6739738832107982,-0.7131165172204673,0.039142634009669205,0.008798240351929614,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,opposite_access_effect,true_vs_random_intersection,0.0218182067116129,-0.023316648663724834,0.04513485537533772,0.02399520095980804,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,opposite_access_effect,true_vs_balanced_intersection,0.0218182067116129,-0.021378774760198064,0.04319698147181095,0.004199160167966407,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,opposite_access_effect,true_vs_performance_matched_intersection,0.0218182067116129,-0.04235064603364209,0.06416885274525497,0.0003999200159968006,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,opposite_access_effect,true_vs_shuffled_c_intersection,0.0218182067116129,-0.036928391081279585,0.05874659779289248,0.003199360127974405,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,opposite_access_effect,true_vs_phase_rotated_intersection,0.0218182067116129,-0.026474898693210566,0.04829310540482345,0.0065986802639472104,406
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,own_access_effect,true_vs_random_intersection,0.026681393170944784,-0.014954899049217344,0.041636292220162144,0.03439312137572485,410
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,own_access_effect,true_vs_balanced_intersection,0.026681393170944784,-0.015211339611712525,0.04189273278265732,0.0057988402319536095,410
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,own_access_effect,true_vs_performance_matched_intersection,0.026681393170944784,-0.0350268350102151,0.0617082281811599,0.0003999200159968006,410
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,own_access_effect,true_vs_shuffled_c_intersection,0.026681393170944784,-0.031516931393746825,0.058198324564691616,0.0027994401119776045,410
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,own_access_effect,true_vs_phase_rotated_intersection,0.026681393170944784,-0.020938498134343193,0.04761989130528798,0.005198960207958408,410
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,access_readout,true_vs_random_intersection,0.04911219082730332,0.028173985115638733,0.020938205711664586,0.14357128574285144,502
