mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,z_reward,A_to_C_to_B,scalar_c,-0.6627868011437305,-0.7358248987157581,0.07303809757202781,0.013397320535892822,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_c,-0.6627868011437305,-0.6813533126506536,0.018566511506923296,0.3615276944611078,108,False
linear_c_state,z_reward,A_to_C_to_B,directed_c_direction_relabel,-0.6627868011437305,-0.6813533126506536,0.018566511506923296,0.34493101379724056,108,False
linear_c_state,z_reward,A_to_C_to_B,directed_c_direction_swapped,-0.6627868011437305,-0.6422803857934438,-0.02050641535028655,0.6646670665866826,108,False
linear_c_state,z_reward,A_to_C_to_B,directed_c_side_shuffled,-0.6627868011437305,-0.7349128565677095,0.07212605542397917,0.022395520895820836,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_provenance_c,-0.6627868011437305,-0.7455382468153858,0.08275144567165553,0.004399120175964807,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_provenance_side_swapped,-0.6627868011437305,-0.7455382468153858,0.08275144567165553,0.00599880023995201,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_provenance_endpoint_pair_swapped,-0.6627868011437305,-0.7455382468153858,0.08275144567165553,0.0065986802639472104,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_provenance_train_test_mismatch,-0.6627868011437305,-0.7455382468153858,0.08275144567165553,0.005198960207958408,108,True
linear_c_state,z_reward,A_to_C_to_B,fixed_mask_control,-0.6627868011437305,-0.7293834937154345,0.06659669257170428,0.0007998400319936012,108,True
linear_c_state,z_reward,A_to_C_to_B,static_scalar_closure,-0.6627868011437305,-0.753178090567033,0.09039128942330267,0.002999400119976005,108,True
linear_c_state,z_reward,A_to_C_to_B,directed_transport_closure_o1o2,-0.6627868011437305,-0.5733636640810176,-0.08942313706271268,0.9888022395520896,108,False
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.6627868011437305,-0.37239916557127395,-0.2903876355724564,1.0,108,False
linear_c_state,z_reward,B_to_C_to_A,scalar_c,-0.6195918732645372,-0.7358248987157581,0.11623302545122094,0.0005998800239952009,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_c,-0.6195918732645372,-0.6422803857934438,0.022688512528906583,0.2601479704059188,108,False
linear_c_state,z_reward,B_to_C_to_A,directed_c_direction_relabel,-0.6195918732645372,-0.6422803857934438,0.022688512528906583,0.25774845030993804,108,False
linear_c_state,z_reward,B_to_C_to_A,directed_c_direction_swapped,-0.6195918732645372,-0.6813533126506536,0.06176143938611644,0.0647870425914817,108,False
linear_c_state,z_reward,B_to_C_to_A,directed_c_side_shuffled,-0.6195918732645372,-0.7506985222563887,0.13110664899185154,0.0011997600479904018,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_provenance_c,-0.6195918732645372,-0.7455382468153858,0.12594637355084867,0.0005998800239952009,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_provenance_side_swapped,-0.6195918732645372,-0.7455382468153858,0.12594637355084867,0.0011997600479904018,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_provenance_endpoint_pair_swapped,-0.6195918732645372,-0.7455382468153858,0.12594637355084867,0.0013997200559888023,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_provenance_train_test_mismatch,-0.6195918732645372,-0.7455382468153858,0.12594637355084867,0.0001999600079984003,108,True
linear_c_state,z_reward,B_to_C_to_A,fixed_mask_control,-0.6195918732645372,-0.7185700492101041,0.09897817594556704,0.0003999200159968006,108,True
linear_c_state,z_reward,B_to_C_to_A,static_scalar_closure,-0.6195918732645372,-0.753178090567033,0.1335862173024958,0.0005998800239952009,108,True
linear_c_state,z_reward,B_to_C_to_A,directed_transport_closure_o1o2,-0.6195918732645372,-0.5716850121730822,-0.04790686109145494,0.9130173965206959,108,False
