true_policy_operator,true_policy_source,n_events,mean_regime_composite,mean_readiness,oracle_hit_rate
O1_lag0_AB,state_mapping,56,0.048851963194335886,-0.1351979327233158,0.19642857142857142
O2_lag5_AB,state_mapping,44,0.12867994604166705,0.23254337137937564,0.1590909090909091
O3_A_C_boundary,global_fallback,104,-0.02191099583196107,-0.011153159298771103,0.19230769230769232
O3_A_C_boundary,state_mapping,42,-0.1475250284259138,-0.08532166863559837,0.023809523809523808
O4_B_C_boundary,global_fallback,131,0.052538070492127706,0.11389126966579718,0.10687022900763359
O4_B_C_boundary,state_mapping,26,-0.206296980491308,-0.47735521798739966,0.19230769230769232
O5_full_TFC,state_mapping,8,-0.18858456155285624,-0.35020920198141003,0.125
O6_phase_only,state_mapping,40,-0.0014575429525696066,-0.052873460531413695,0.2
O7_suppress_event,state_mapping,51,0.04104843165126816,0.15837486204254836,0.1568627450980392
