endpoint,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate,oracle_hit_rate
regime_transition_score,true_regime_C_policy_vs_balanced_pool_shuffle,0.004692072022784701,0.004282636851824794,0.00040943517095990795,0.42131573685262946,475,0.5318725099601593,0.14940239043824702
regime_transition_score,true_regime_C_policy_vs_frequency_matched_random,0.004692072022784701,-0.0016949574770130748,0.003811124127799683,0.3131373725254949,475,0.5318725099601593,0.14940239043824702
regime_transition_score,true_regime_C_policy_vs_performance_matched_random,0.004692072022784701,0.004367916499117151,0.0003241555236675463,0.4589082183563287,475,0.5318725099601593,0.14940239043824702
regime_transition_score,true_regime_C_policy_vs_within_state_shuffle,0.004692072022784701,0.0018745693937598418,0.0028175026290248617,0.34973005398920215,475,0.5318725099601593,0.14940239043824702
regime_transition_score,true_regime_C_policy_vs_between_state_permutation,0.004692072022784701,0.0018516944905990903,0.0028403775321856075,0.3233353329334133,475,0.5318725099601593,0.14940239043824702
regime_transition_score,true_regime_C_policy_vs_oracle,0.004692072022784701,0.027516364005122473,-0.02546169487324561,1.0,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_balanced_pool_shuffle,0.005048955720238587,0.006802583685128467,-0.0017536279648898822,0.5816836632673466,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_frequency_matched_random,0.005048955720238587,-0.002056780729638914,0.004151441394033542,0.27194561087782443,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_performance_matched_random,0.005048955720238587,0.0049380161958241875,0.00011093952441438193,0.3007398520295941,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_within_state_shuffle,0.005048955720238587,0.002974586394932539,0.002074369325306053,0.34593081383723256,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_between_state_permutation,0.005048955720238587,0.003430696875278834,0.00161825884495976,0.34133173365326935,475,0.5318725099601593,0.14940239043824702
policy_readiness,true_regime_C_policy_vs_oracle,0.005048955720238587,0.022213107811526873,-0.020169541649324184,1.0,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_balanced_pool_shuffle,-0.00157913411602217,-0.009642430151339195,0.008063296035317023,0.21075784843031395,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_frequency_matched_random,-0.00157913411602217,-0.003672077434453527,-0.0015615143584975157,0.608878224355129,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_performance_matched_random,-0.00157913411602217,-0.005340014765820971,0.003760880649798801,0.22675464907018597,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_within_state_shuffle,-0.00157913411602217,-0.002888667389594488,0.0013095332735723096,0.4273145370925815,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_between_state_permutation,-0.00157913411602217,-0.0027348003004205542,0.0011556661843983738,0.4279144171165767,475,0.5318725099601593,0.14940239043824702
operator_margin_persistence,true_regime_C_policy_vs_oracle,-0.00157913411602217,0.04057692293973901,-0.04590367052295151,1.0,475,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_balanced_pool_shuffle,-0.0041003322460745895,-0.005345553278753829,-0.0011029341699660873,0.5102979404119176,384,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_frequency_matched_random,-0.0041003322460745895,0.009169461926729261,-0.007151394035314903,0.5642871425714857,384,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_performance_matched_random,-0.0041003322460745895,-7.146025129286629e-05,-0.006912677270528592,0.5750849830033993,384,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_within_state_shuffle,-0.0041003322460745895,0.009012230717672156,0.00023289471202966178,0.4997000599880024,384,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_between_state_permutation,-0.0041003322460745895,0.01618789414464647,-0.0070035953727734844,0.589882023595281,384,0.5318725099601593,0.14940239043824702
policy_regret_reduction,true_regime_C_policy_vs_oracle,-0.0041003322460745895,1.0943697451854688,-1.1298059526235782,1.0,384,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_balanced_pool_shuffle,0.0030166540173374675,0.00019301002817828766,0.0028236439891591784,0.2969406118776245,475,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_frequency_matched_random,0.0030166540173374675,-0.0040989434505944175,0.004057464425787668,0.3229354129174165,475,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_performance_matched_random,0.0030166540173374675,0.0012857270594025011,0.0017309269579349692,0.3993201359728054,475,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_within_state_shuffle,0.0030166540173374675,0.0016763001450890644,0.0013403538722484185,0.4217156568686263,475,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_between_state_permutation,0.0030166540173374675,0.0027129637654861928,0.00030369025185128073,0.48110377924415115,475,0.5318725099601593,0.14940239043824702
regime_recursive_composite,true_regime_C_policy_vs_oracle,0.0030166540173374675,0.28431398521541973,-0.2849626493532076,1.0,475,0.5318725099601593,0.14940239043824702
