source_file,condition,column,n_total,n_restore,restore_rate,restore_D24_chi_p,restore_R_D24,restore_R_D12,restore_R_D8,restore_distance_D24_mean,nonrestore_distance_D24_mean,restore_D24_chi_q
IDPC_Reproduction/Chapter3/ricci_eps72_restoring_test.csv,observed,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
IDPC_Reproduction/Chapter3/ricci_eps72_restoring_test.csv,observed,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
IDPC_Reproduction_mm_derangement/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
IDPC_Reproduction_mm_derangement/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
IDPC_Reproduction_mm_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
IDPC_Reproduction_mm_random/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
IDPC_Reproduction_mm_reverse/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
IDPC_Reproduction_mm_reverse/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
IDPC_Reproduction_mm_shift1/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
IDPC_Reproduction_mm_shift1/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
IDPC_Reproduction_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,623,466,0.7479935794542536,0.0,0.9177807825381373,0.9109825689018122,0.9239510646821214,3.5891918344505456,3.6150068834018865,0.0
IDPC_Reproduction_random/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,623,466,0.7479935794542536,2.4165673432927663e-168,0.8255994311856748,0.8173361844429872,0.8067672543306138,3.747411521349716,3.7292673255097353,2.4165673432927663e-168
IDPC_Reproduction_surrogate/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,624,483,0.7740384615384616,0.0,0.942788356821665,0.9317605587172321,0.924165205103099,3.3817423980167938,3.0232723291639343,0.0
IDPC_Reproduction_surrogate/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,483,0.7740384615384616,1.9751247368331923e-268,0.8938531434249654,0.8815134922938191,0.8747290498727832,3.7924741488145846,3.1934133301470355,3.2918745613886535e-268
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,624,497,0.7964743589743589,0.0,0.9581607534697211,0.9435395447139381,0.9238875540803207,3.1461491491116154,2.819434431418655,0.0
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,497,0.7964743589743589,0.0,0.9204048618988966,0.9056453732144,0.8913002794717066,3.6277973540647475,3.363927571477118,0.0
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,624,477,0.7644230769230769,0.0,0.9398433934812516,0.9286971521951018,0.9238966007728598,3.6118320248327227,3.3063603697167956,0.0
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,477,0.7644230769230769,2.828192300726444e-255,0.8885006512639608,0.8754337902498204,0.8671568398226088,3.4770501581344044,3.3604664623708214,4.351065078040682e-255
backups/mm_original_state/Chapter3/ricci_eps72_restoring_test.csv,other,eps72_deg,650,477,0.7338461538461538,0.0,0.9222476599408206,0.9169977197274946,0.9239383992654969,3.4764316096162324,3.68381844231405,0.0
backups/mm_original_state/Chapter3/ricci_eps72_restoring_test.csv,other,deps72_deg,650,477,0.7338461538461538,5.43092159930264e-186,0.843552309444296,0.8364625860729226,0.821347138185583,3.534150246191129,3.643492346838531,5.716759578213305e-186
