source_file,sequence_id,state_column,alternative_ladder_name,primary_ladder_score,alternative_ladder_score,golden_is_better,golden_rank_among_ladders,best_ladder_name,best_ladder_score
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P14,cluster,8-16-32,0.3166666666666667,0.5729166666666666,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P15,cluster,4-8-16,0.5333333333333333,0.4166666666666667,False,3,4-8-16,0.4166666666666667
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P15,cluster,6-12-24,0.5333333333333333,0.6111111111111112,True,3,4-8-16,0.4166666666666667
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P15,cluster,3-6-12,0.5333333333333333,0.4444444444444444,False,3,4-8-16,0.4166666666666667
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P15,cluster,7-14-28,0.5333333333333333,0.6666666666666666,True,3,4-8-16,0.4166666666666667
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P15,cluster,8-16-32,0.5333333333333333,0.7083333333333334,True,3,4-8-16,0.4166666666666667
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,4-8-16,0.3166666666666667,0.3125,False,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,6-12-24,0.3166666666666667,0.4305555555555555,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,3-6-12,0.3166666666666667,0.3055555555555555,False,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,7-14-28,0.3166666666666667,0.5119047619047619,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,8-16-32,0.3166666666666667,0.5729166666666666,True,3,3-6-12,0.3055555555555555
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P17,cluster,4-8-16,0.45,0.4791666666666667,True,1,5-10-20,0.45
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P17,cluster,6-12-24,0.45,0.5416666666666666,True,1,5-10-20,0.45
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P17,cluster,3-6-12,0.45,0.5277777777777778,True,1,5-10-20,0.45
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P17,cluster,7-14-28,0.45,0.6071428571428571,True,1,5-10-20,0.45
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P17,cluster,8-16-32,0.45,0.65625,True,1,5-10-20,0.45
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,4-8-16,0.3,0.2916666666666667,False,3,3-6-12,0.27777777777777773
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,6-12-24,0.3,0.4166666666666667,True,3,3-6-12,0.27777777777777773
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,3-6-12,0.3,0.27777777777777773,False,3,3-6-12,0.27777777777777773
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,7-14-28,0.3,0.5,True,3,3-6-12,0.27777777777777773
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,8-16-32,0.3,0.5625,True,3,3-6-12,0.27777777777777773
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,4-8-16,0.45,0.3125,False,3,3-6-12,0.3055555555555556
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,6-12-24,0.45,0.5416666666666666,True,3,3-6-12,0.3055555555555556
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,3-6-12,0.45,0.3055555555555556,False,3,3-6-12,0.3055555555555556
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,7-14-28,0.45,0.6071428571428571,True,3,3-6-12,0.3055555555555556
