topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,mu_sector,closed_walk_count,closed_walks_per_node,n_seed_events,mean_seed_strength,total_impulse_budget,effect_vs_time_shifted,effect_vs_random_event,mu_p_value,notes,mu_differentiated_recovery,mu_differentiated_recovery_sd,mu_late_window_stability,mu_late_window_stability_sd,mu_post_event_score,mu_post_event_score_sd,mu_recovery_improvement,mu_recovery_improvement_sd,n_events_evaluated,n_events_evaluated_sd,mu_q_value,directional_endogenous_gt_both_controls,mu_diagnostic_interpretation
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,5,1200,100.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.00212207820175436,0.005186732052089042,0.6558071943172485,0.029585744759730432,0.49981270862401594,0.010386811443381314,0.007268291580495375,0.009629419070256759,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,6,5184,432.0,57,0.09331239298409179,5.318806400093232,-0.0012881708710927567,0.0009354640135414893,0.5279503105590062,primary Luke/D12RG normalized readout candidate,-0.00042112656679605163,0.0037850384305165314,0.952932330338184,0.0297772398236862,0.49951804304211295,0.012736674267785277,-0.0011551735208895695,0.006829044874855533,21.0,0.0,0.8575270538515719,False,no_directional_mu_sector_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,6,5184,432.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.000867044304296705,0.0033266367782619106,0.9489326550624044,0.018907646154083694,0.5039347941339228,0.008710423533696991,0.001223349674523895,0.006571455170287486,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,6,5184,432.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,-0.001356590580337541,0.005333136780380918,0.7719701300438169,0.0245411341573263,0.49878584395469955,0.009379093622884768,-0.0035774085152439753,0.010125463213361644,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,8,72768,6064.0,57,0.09331239298409179,5.318806400093232,-0.002176015856142503,-0.0016644895882454505,0.7080745341614907,primary Luke/D12RG normalized readout candidate,-0.0013610707825770295,0.0033585577588722245,0.8658840281598679,0.022424124472768522,0.5095205434813433,0.01124795707221435,-0.0021495170673102087,0.006389043454036118,21.0,0.0,0.8908179301055152,False,no_directional_mu_sector_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,8,72768,6064.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.0008149450735654736,0.003599334802146737,0.7693178631667952,0.04655557908730504,0.5081673992167659,0.009993584442153636,0.002513593805041626,0.0069112188576977455,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,8,72768,6064.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.00030341880566842104,0.004061905792620036,0.7809831100920746,0.025277889066866878,0.5030791788176459,0.00783960639453874,0.0004029425349652235,0.007829238289740331,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,9,277056,23088.0,57,0.09331239298409179,5.318806400093232,0.0010063353727910703,0.0014434503602326668,0.37267080745341613,primary Luke/D12RG normalized readout candidate,0.00063963566214875,0.0029282969660014584,0.8901405319995845,0.0390038724648004,0.49148321263822303,0.00958175819664187,0.001260849578258837,0.005305998095273211,21.0,0.0,0.8575270538515719,True,directional_mu_sector_signal_not_fdr_confirmed
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,9,277056,23088.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,-0.0003666997106423201,0.0037225394240785474,0.7182487109774377,0.03700212458124527,0.4935560670671033,0.010785794441509776,-0.00023477780782586694,0.007152612087107632,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,9,277056,23088.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,-0.0008038146980839168,0.003561909897419894,0.6844174948518835,0.025342579477827615,0.49759919001365516,0.007350957185554662,-0.0015089730487008288,0.006810426844816201,56.0,0.0,,False,control_condition
