source_file,condition,column,n_values,lift_overlap_score_8_12_24,entropy_deficit_D8,entropy_deficit_D12,entropy_deficit_D24,raw_p_vs_uniform_phase,fdr_q_vs_uniform_phase
IDPC_Reproduction_surrogate/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,1.7294958138634184,1.1349149339799625,1.1995807322876937,1.2703597434118497,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,5.835470195781334,1.3862943611198904,1.791759469228055,2.3493119632670787,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,7.39903253036307,1.8082521686379915,1.7947209737691963,2.279916827160078,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,624,3.6441673338709726,1.386376546145865,1.528727425743973,1.7194401009175087,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,2.18805304337174,1.1952597351683842,1.296590314156426,1.4118637360597526,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,6.296417979681118,1.3981758120166317,1.8036409201247963,2.496788100684742,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,9.352271298366784,2.0794415416798357,1.9447025073991395,2.3126888511852455,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,624,3.1015805762634803,1.3869159971731158,1.4305002281297594,1.5633095442654996,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,624,1.6088438167601131,1.1073263547511814,1.1697740975734974,1.2420419054771594,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,5.604126844276637,1.4131630992651596,1.6747564174001186,2.3679035979600638,0.000999000999000999,0.002040512678810551
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,6.160138702137575,1.8082521686379915,1.6747564174001184,2.0341353426792406,0.000999000999000999,0.002040512678810551
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase,237,1.0017643733798707,0.636679383190558,1.0132029627939572,1.5529173583886522,0.000999000999000999,0.002040512678810551
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase_z,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance_z,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local_z,237,1.8688022308266715e-11,0.0001339088069265415,0.00024242026555088003,0.000575685486348565,1.0,1.0
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase,223,0.9755949416966759,0.6158769684136289,1.0151255098800003,1.560471477284584,0.000999000999000999,0.002040512678810551
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase_z,221,5.244107620022161e-11,0.00015403279049541752,0.00035727187082956746,0.000952926903476925,1.0,1.0
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi,223,2.9570479582949326e-11,7.102302894024248e-05,0.0003530058605791808,0.0011794438296424126,1.0,1.0
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,223,2.9570479582949326e-11,7.102302894024248e-05,0.0003530058605791808,0.0011794438296424126,1.0,1.0
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,223,2.9570479582949326e-11,7.102302894024248e-05,0.0003530058605791808,0.0011794438296424126,1.0,1.0
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance_z,221,5.244107620022161e-11,0.00015403279049541752,0.00035727187082956746,0.000952926903476925,1.0,1.0
