source_file,condition,column,n_values,period,preferred_bin,chi_square_p,Vcos_h1_D24,Vsin_h1_D24,resultant_h1_D24,Vcos_h2_D12,Vsin_h2_D12,resultant_h2_D12,Vcos_h3_D8,Vsin_h3_D8,resultant_h3_D8,sin_cos_balance_h1,chi_square_fdr_q
IDPC_Reproduction/Chapter3/ricci_eps72_restoring_test.csv,observed,eps72_deg,650,24,22,0.0,0.9196272537043986,-0.16262348926138295,0.9338954358039455,0.7061488184659631,-0.2612691880658148,0.7529327609112555,0.43006565627826027,-0.2615892439830635,0.5033740172850417,0.24299623555698435,0.0
IDPC_Reproduction/Chapter3/ricci_eps72_restoring_test.csv,observed,deps72_deg,650,24,23,0.0,0.8695735608738694,-0.11890002963796521,0.8776647394186291,0.5578421316958473,-0.1733747308225161,0.5841631973881503,0.2382803861444747,-0.1553580862419954,0.2844532956074428,0.2493264687640958,0.0
IDPC_Reproduction/Chapter3/ricci_phase_sync_summary.csv,observed,circ_mean_deg,26,24,0,1.5530392132431694e-43,0.9804311343447765,-0.12873113446645146,0.9888462540625842,0.9240876708318776,-0.24484713091478674,0.9559749687626173,0.8376220997327697,-0.33762209973277063,0.9031054557407451,0.148300000121675,4.141437901981785e-43
IDPC_Reproduction/Chapter3/ricci_phase_sync_summary.csv,observed,mean_abs_dpsi_deg,26,24,2,1.192371156939532e-37,0.8485634952050464,0.5014129197166111,0.9856342736803249,0.45500488534316136,0.8265531175679455,0.9435144417800044,-0.027196414661021007,0.8760836381943086,0.8765056680262772,0.6528494245115647,2.6015370696862517e-37
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,phase,226,24,12,2.1460546580220392e-197,-0.006408352814531131,0.028195624991295087,0.028914706542609993,0.8923217619687385,-0.2443896053432256,0.9251834445572464,0.004961594440529031,0.0156439553359853,0.016411909028098817,0.9782127278232361,8.584218632088157e-197
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,phase_z,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,phi,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,dphi,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,distance,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,distance_z,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,r_local,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,r_local_z,226,24,2,0.9999999999999923,-0.0001507706801369312,-0.0011452170137279973,0.0011550990461951843,0.0005928079478564328,-0.0001588424108949353,0.0006137199479735612,-0.0012959876938647462,-0.003128791067197041,0.003386579047478571,0.999005553666409,1.0
IDPC_Reproduction_mm_derangement/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,24,22,0.0,0.9196272537043986,-0.16262348926138295,0.9338954358039455,0.7061488184659631,-0.2612691880658148,0.7529327609112555,0.43006565627826027,-0.2615892439830635,0.5033740172850417,0.24299623555698435,0.0
IDPC_Reproduction_mm_derangement/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,24,23,0.0,0.8695735608738694,-0.11890002963796521,0.8776647394186291,0.5578421316958473,-0.1733747308225161,0.5841631973881503,0.2382803861444747,-0.1553580862419954,0.2844532956074428,0.2493264687640958,0.0
IDPC_Reproduction_mm_derangement/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,24,0,1.5530392132431694e-43,0.9804311343447765,-0.12873113446645146,0.9888462540625842,0.9240876708318776,-0.24484713091478674,0.9559749687626173,0.8376220997327697,-0.33762209973277063,0.9031054557407451,0.148300000121675,4.141437901981785e-43
IDPC_Reproduction_mm_derangement/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,24,2,1.192371156939532e-37,0.8485634952050464,0.5014129197166111,0.9856342736803249,0.45500488534316136,0.8265531175679455,0.9435144417800044,-0.027196414661021007,0.8760836381943086,0.8765056680262772,0.6528494245115647,2.6015370696862517e-37
IDPC_Reproduction_mm_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,24,22,0.0,0.9196272537043986,-0.16262348926138295,0.9338954358039455,0.7061488184659631,-0.2612691880658148,0.7529327609112555,0.43006565627826027,-0.2615892439830635,0.5033740172850417,0.24299623555698435,0.0
IDPC_Reproduction_mm_random/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,24,23,0.0,0.8695735608738694,-0.11890002963796521,0.8776647394186291,0.5578421316958473,-0.1733747308225161,0.5841631973881503,0.2382803861444747,-0.1553580862419954,0.2844532956074428,0.2493264687640958,0.0
IDPC_Reproduction_mm_random/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,24,0,1.5530392132431694e-43,0.9804311343447765,-0.12873113446645146,0.9888462540625842,0.9240876708318776,-0.24484713091478674,0.9559749687626173,0.8376220997327697,-0.33762209973277063,0.9031054557407451,0.148300000121675,4.141437901981785e-43
IDPC_Reproduction_mm_random/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,24,2,1.192371156939532e-37,0.8485634952050464,0.5014129197166111,0.9856342736803249,0.45500488534316136,0.8265531175679455,0.9435144417800044,-0.027196414661021007,0.8760836381943086,0.8765056680262772,0.6528494245115647,2.6015370696862517e-37
IDPC_Reproduction_mm_reverse/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,24,22,0.0,0.9196272537043986,-0.16262348926138295,0.9338954358039455,0.7061488184659631,-0.2612691880658148,0.7529327609112555,0.43006565627826027,-0.2615892439830635,0.5033740172850417,0.24299623555698435,0.0
IDPC_Reproduction_mm_reverse/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,24,23,0.0,0.8695735608738694,-0.11890002963796521,0.8776647394186291,0.5578421316958473,-0.1733747308225161,0.5841631973881503,0.2382803861444747,-0.1553580862419954,0.2844532956074428,0.2493264687640958,0.0
IDPC_Reproduction_mm_reverse/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,24,0,1.5530392132431694e-43,0.9804311343447765,-0.12873113446645146,0.9888462540625842,0.9240876708318776,-0.24484713091478674,0.9559749687626173,0.8376220997327697,-0.33762209973277063,0.9031054557407451,0.148300000121675,4.141437901981785e-43
IDPC_Reproduction_mm_reverse/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,24,2,1.192371156939532e-37,0.8485634952050464,0.5014129197166111,0.9856342736803249,0.45500488534316136,0.8265531175679455,0.9435144417800044,-0.027196414661021007,0.8760836381943086,0.8765056680262772,0.6528494245115647,2.6015370696862517e-37
IDPC_Reproduction_mm_shift1/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,650,24,22,0.0,0.9196272537043986,-0.16262348926138295,0.9338954358039455,0.7061488184659631,-0.2612691880658148,0.7529327609112555,0.43006565627826027,-0.2615892439830635,0.5033740172850417,0.24299623555698435,0.0
IDPC_Reproduction_mm_shift1/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,650,24,23,0.0,0.8695735608738694,-0.11890002963796521,0.8776647394186291,0.5578421316958473,-0.1733747308225161,0.5841631973881503,0.2382803861444747,-0.1553580862419954,0.2844532956074428,0.2493264687640958,0.0
IDPC_Reproduction_mm_shift1/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,24,0,1.5530392132431694e-43,0.9804311343447765,-0.12873113446645146,0.9888462540625842,0.9240876708318776,-0.24484713091478674,0.9559749687626173,0.8376220997327697,-0.33762209973277063,0.9031054557407451,0.148300000121675,4.141437901981785e-43
IDPC_Reproduction_mm_shift1/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,24,2,1.192371156939532e-37,0.8485634952050464,0.5014129197166111,0.9856342736803249,0.45500488534316136,0.8265531175679455,0.9435144417800044,-0.027196414661021007,0.8760836381943086,0.8765056680262772,0.6528494245115647,2.6015370696862517e-37
IDPC_Reproduction_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_deg,623,24,1,0.0,0.9225147540780662,-0.1093271425519346,0.9289703416096157,0.7157281794406464,-0.16910726977926138,0.7354346303633098,0.4454132007209872,-0.15415992064260473,0.4713366106181957,0.18681238847386838,0.0
IDPC_Reproduction_random/Chapter3/ricci_eps72_restoring_test.csv,control,deps72_deg,623,24,23,7.345932375069395e-273,0.8547020107861419,-0.11027406750088198,0.8617864568470912,0.5178436974137522,-0.13500018903132507,0.5351515168526007,0.19524817063690092,-0.07855718378323326,0.21045921044470606,0.25557205671474004,3.52604754003331e-272
IDPC_Reproduction_random/Chapter3/ricci_phase_sync_summary.csv,control,circ_mean_deg,26,24,0,1.2956657348418773e-47,0.9842734582872622,-0.1194549438934715,0.9914957006005418,0.9381655709774329,-0.23076923076923148,0.9661309830645302,0.8648185143937908,-0.3263569759322532,0.9243483859335334,0.13518148560620924,4.442282519457865e-47
IDPC_Reproduction_random/Chapter3/ricci_phase_sync_summary.csv,control,mean_abs_dpsi_deg,26,24,2,9.865101144940156e-35,0.8145764377439126,0.54997449186863,0.9828564059076585,0.34992600812897384,0.8650146560294838,0.9331123010178811,-0.1744436117666437,0.8376220997327701,0.8555941535838859,0.7353980541247174,2.1045549109205666e-34
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase,44,24,12,2.0899029673400765e-29,0.05521658077159021,-0.026974746973424824,0.06145329744111244,0.8997376651845428,-0.1590909090909096,0.9136945788977323,0.07369637925271069,-0.1191509247072567,0.14010031824929495,0.9717581662018346,4.268737975843561e-29
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phase_z,28,24,6,0.99999988062366,-0.001216934775390477,-0.00924353732509009,0.009323299444289468,-0.004784807007698669,-0.01785714285714293,0.018487074650180138,-0.010460472100480392,-0.02525381361380523,0.02733453088322064,0.9919733974503004,1.0
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi,44,24,1,0.9999999989394134,-0.0007744130388848843,-0.005882251025057308,0.005933008737275099,-0.0030448771867173275,-0.01136363636363639,0.011764502050114612,-0.006656664063942005,-0.016070608663330523,0.017394701471140313,0.9948921620138276,1.0
