source_file,condition,test_type,phase_column,status,exclusion_reason,n_total,n_selected,observed_d12_mean_distance_deg,n_perm,null_mean,null_sd,z_score,raw_p,rotation_control_rank,best_rotation_deg,best_rotation_score,rotation_scores,partition_rank_d12,best_partition,best_partition_score,alternative_partition_scores,fdr_q
IDPC_Reproduction/Chapter3/ricci_eps72_restoring_test.csv,observed,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.782598070995992,0.10862618898726581,1.1501026973397284,0.12387612387612387,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
IDPC_Reproduction_mm_derangement/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.7746227953682085,0.10259755829216287,1.13994913012603,0.13286713286713286,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
IDPC_Reproduction_mm_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.785034564740911,0.10800680311561375,1.1792568896291675,0.12887112887112886,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
IDPC_Reproduction_mm_reverse/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.782731658345418,0.10400801970556547,1.2024540094067688,0.11588411588411589,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
IDPC_Reproduction_mm_shift1/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.783259053919349,0.10565816312477226,1.1886659029935414,0.12087912087912088,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
IDPC_Reproduction_random/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,623,466,6.403587909570099,1000,6.513265611248087,0.10122958991291349,1.083454963833623,0.13886113886113885,1,0.0,6.403587909570099,0:6.4035879; 2.5:6.568701; 5:6.9550669; 7.5:7.6318502; 10:8.2467851; 12.5:8.5626416; 15:8.5964121; 17.5:8.431299; 20:8.0449331; 22.5:7.3681498; 25:6.7532149; 27.5:6.4373584,4,D20,4.587184633690123,D8=13.886256; D10=8.912257; D11=7.2991355; D13=5.989383; D16=5.9512914; D20=4.5871846,0.6595904095904095
IDPC_Reproduction_surrogate/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,624,483,6.127019516899005,1000,5.939358317438961,0.0970941709354846,-1.9327751362616619,0.97002997002997,1,0.0,6.127019516899005,0:6.1270195; 2.5:6.3933201; 5:6.9754015; 7.5:7.619421; 10:8.2438102; 12.5:8.6821497; 15:8.8729805; 17.5:8.6066799; 20:8.0245985; 22.5:7.380579; 25:6.7561898; 27.5:6.3178503,4,D20,4.119049719605312,D8=10.999633; D10=7.9552751; D11=6.8234057; D13=5.7427354; D16=5.2802339; D20=4.1190497,0.9962469962469963
IDPC_Reproduction_surrogate_btc/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,624,497,5.384305153277018,1000,5.246485873348016,0.0869819848702587,-1.584457748746154,0.948051948051948,1,0.0,5.384305153277018,0:5.3843052; 2.5:5.8033393; 5:6.6632014; 7.5:7.7002881; 10:8.6305227; 12.5:9.3281895; 15:9.6156948; 17.5:9.1966607; 20:8.3367986; 22.5:7.2997119; 25:6.3694773; 27.5:5.6718105,4,D20,3.7917137331285793,D8=8.6444597; D10=6.5657193; D11=5.8230474; D13=5.1165481; D16=4.80085; D20=3.7917137,0.9962469962469963
IDPC_Reproduction_surrogate_spx/Chapter3/ricci_eps72_restoring_test.csv,control,eps72_restore,eps72_deg,tested,,624,477,6.35946331073905,1000,6.053991979415121,0.09867670939270574,-3.095678131181274,1.0,1,0.0,6.35946331073905,0:6.3594633; 2.5:6.5038245; 5:6.8514047; 7.5:7.4301944; 10:7.9312776; 12.5:8.3512638; 15:8.6405367; 17.5:8.4961755; 20:8.1485953; 22.5:7.5698056; 25:7.0687224; 27.5:6.6487362,4,D20,4.171664854907771,D8=11.523238; D10=8.2037682; D11=7.0446554; D13=5.977799; D16=5.4168191; D20=4.1716649,1.0
backups/mm_original_state/Chapter3/ricci_eps72_restoring_test.csv,other,eps72_restore,eps72_deg,tested,,650,477,6.657666798040003,1000,6.7850823373206435,0.1061550812468582,1.2002773469160872,0.1008991008991009,1,0.0,6.657666798040003,0:6.6576668; 2.5:6.7168921; 5:6.9864682; 7.5:7.4166777; 10:7.9096039; 12.5:8.2589495; 15:8.3423332; 17.5:8.2831079; 20:8.0135318; 22.5:7.5833223; 25:7.0903961; 27.5:6.7410505,4,D20,4.6569452884163915,D8=13.913092; D10=9.2645691; D11=7.6208196; D13=6.1370324; D16=5.9916902; D20=4.6569453,0.6595904095904095
