source_file,condition,loop_type,ring_size,root_k,root_angle,count,expected_count,standardized_residual
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,8,4.1887902047863905,15,17.583333333333332,-0.616069690975802
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,9,4.71238898038469,14,17.583333333333332,-0.8545482810309514
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,10,5.235987755982989,21,17.583333333333332,0.8148018493550937
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,11,5.759586531581287,20,17.583333333333332,0.5763232592999444
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,0,0.0,12,16.333333333333332,-1.072221928495019
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,1,0.5235987755982988,13,16.333333333333332,-0.8247860988423222
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,2,1.0471975511965976,21,16.333333333333332,1.1547005383792517
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,3,1.5707963267948966,12,16.333333333333332,-1.072221928495019
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,4,2.0943951023931953,14,16.333333333333332,-0.5773502691896254
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,5,2.6179938779914944,17,16.333333333333332,0.16495721976846478
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,6,3.141592653589793,14,16.333333333333332,-0.5773502691896254
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,phi_J_residual_FES_next_phi,12,7,3.665191429188092,15,16.333333333333332,-0.32991443953692867
