event_class,best_basis,best_score,C10_minus_C12,D24_minus_C12,c10_best,label_c10_best_rate,label_mean_C10_minus_C12,label_min_C10_minus_C12,date_c10_best_rate,date_mean_C10_minus_C12,date_min_C10_minus_C12,observed_C10_minus_C12,effect_vs_label_preserved_control,q_vs_label_preserved_control,stable_secondary_C10_pattern
FES_phase_transition,10,0.8946646120792399,0.06621021456602838,-0.018541572673484663,True,1.0,0.06603981309875002,0.05576849344061874,1.0,0.06868355886430397,0.04727946089061352,0.06621021456602838,2.6169281315546744e-07,0.6586826347305389,False
eps72_restoration_onset,10,0.8686985202778237,0.07829198715133101,-0.029926836831183135,True,1.0,0.07812652391493839,0.062003157507233175,1.0,0.08077978523464747,0.05434447090480332,0.07829198715133101,-2.476372346904565e-07,0.6586826347305389,False
h_zero_crossing,10,0.8691217667549085,0.0832789968627734,-0.021818234193409114,True,1.0,0.08311314515318521,0.05946282526219282,1.0,0.08608516554834424,0.05946282526219282,0.0832789968627734,-7.560634608660965e-08,0.6586826347305389,False
high_boundary_impulse_J,10,0.895834971900398,0.06854195772494054,-0.04278461450918769,True,1.0,0.06834695055296826,0.05336777873049081,1.0,0.07323066921851251,0.03632946661567227,0.06854195772494054,1.2032142950590963e-06,0.6586826347305389,False
residual_contraction_low_distance,10,0.8737856861914872,0.07580414534978486,-0.032020193016373155,True,1.0,0.07557785258690572,0.06099764862259094,1.0,0.07673241709827838,0.04930966563556782,0.07580414534978486,-7.261988996670743e-07,0.6586826347305389,False
ricci_phase_sync_high_lock_session,10,0.778957761781767,0.14470578407474066,-0.048228143303959414,True,1.0,0.13807308468326654,0.0847258720537114,1.0,0.13351838923006512,0.0847258720537114,0.14470578407474066,8.205633383606692e-07,0.6586826347305389,False
