anchor_name,event_class,basis,rank,readout_score,n_events,C10_minus_C12,D24_minus_C12,best_basis,best_score
utc_annual_orbital_phase,FES_phase_transition,10,1,0.8946646120792399,192,0.06621021456602838,-0.018541572673484663,10,0.8946646120792399
utc_annual_orbital_phase,FES_phase_transition,12,2,0.8284543975132115,192,0.06621021456602838,-0.018541572673484663,10,0.8946646120792399
utc_annual_orbital_phase,FES_phase_transition,8,3,0.8255027969970203,192,0.06621021456602838,-0.018541572673484663,10,0.8946646120792399
utc_annual_orbital_phase,FES_phase_transition,24,4,0.8099128248397268,192,0.06621021456602838,-0.018541572673484663,10,0.8946646120792399
utc_annual_orbital_phase,FES_phase_transition,16,5,0.7664705535230649,192,0.06621021456602838,-0.018541572673484663,10,0.8946646120792399
utc_annual_orbital_phase,eps72_restoration_onset,10,1,0.8686985202778237,147,0.07829198715133101,-0.029926836831183135,10,0.8686985202778237
utc_annual_orbital_phase,eps72_restoration_onset,8,2,0.7915483015639732,147,0.07829198715133101,-0.029926836831183135,10,0.8686985202778237
utc_annual_orbital_phase,eps72_restoration_onset,12,3,0.7904065331264927,147,0.07829198715133101,-0.029926836831183135,10,0.8686985202778237
utc_annual_orbital_phase,eps72_restoration_onset,24,4,0.7604796962953095,147,0.07829198715133101,-0.029926836831183135,10,0.8686985202778237
utc_annual_orbital_phase,eps72_restoration_onset,16,5,0.7280578713691306,147,0.07829198715133101,-0.029926836831183135,10,0.8686985202778237
utc_annual_orbital_phase,h_zero_crossing,10,1,0.8691217667549085,1309,0.0832789968627734,-0.021818234193409114,10,0.8691217667549085
utc_annual_orbital_phase,h_zero_crossing,8,2,0.8002690141167708,1309,0.0832789968627734,-0.021818234193409114,10,0.8691217667549085
utc_annual_orbital_phase,h_zero_crossing,12,3,0.7858427698921351,1309,0.0832789968627734,-0.021818234193409114,10,0.8691217667549085
utc_annual_orbital_phase,h_zero_crossing,24,4,0.764024535698726,1309,0.0832789968627734,-0.021818234193409114,10,0.8691217667549085
utc_annual_orbital_phase,h_zero_crossing,16,5,0.7365760856051036,1309,0.0832789968627734,-0.021818234193409114,10,0.8691217667549085
utc_annual_orbital_phase,high_boundary_impulse_J,10,1,0.895834971900398,57,0.06854195772494054,-0.04278461450918769,10,0.895834971900398
utc_annual_orbital_phase,high_boundary_impulse_J,8,2,0.8389387398806962,57,0.06854195772494054,-0.04278461450918769,10,0.895834971900398
utc_annual_orbital_phase,high_boundary_impulse_J,12,3,0.8272930141754574,57,0.06854195772494054,-0.04278461450918769,10,0.895834971900398
utc_annual_orbital_phase,high_boundary_impulse_J,24,4,0.7845083996662697,57,0.06854195772494054,-0.04278461450918769,10,0.895834971900398
utc_annual_orbital_phase,high_boundary_impulse_J,16,5,0.7723963049781832,57,0.06854195772494054,-0.04278461450918769,10,0.895834971900398
utc_annual_orbital_phase,residual_contraction_low_distance,10,1,0.8737856861914872,57,0.07580414534978486,-0.032020193016373155,10,0.8737856861914872
utc_annual_orbital_phase,residual_contraction_low_distance,12,2,0.7979815408417024,57,0.07580414534978486,-0.032020193016373155,10,0.8737856861914872
utc_annual_orbital_phase,residual_contraction_low_distance,8,3,0.7865619854693097,57,0.07580414534978486,-0.032020193016373155,10,0.8737856861914872
utc_annual_orbital_phase,residual_contraction_low_distance,24,4,0.7659613478253292,57,0.07580414534978486,-0.032020193016373155,10,0.8737856861914872
utc_annual_orbital_phase,residual_contraction_low_distance,16,5,0.7120235742498111,57,0.07580414534978486,-0.032020193016373155,10,0.8737856861914872
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,10,1,0.778957761781767,7,0.14470578407474066,-0.048228143303959414,10,0.778957761781767
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,8,2,0.7041472933760831,7,0.14470578407474066,-0.048228143303959414,10,0.778957761781767
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,12,3,0.6342519777070263,7,0.14470578407474066,-0.048228143303959414,10,0.778957761781767
