topology_class,topology_name,n_nodes,edge_convention,condition,jump_start,input_file,metric_name,locking_strength,D12_score,D24_score,p_value,q_value,late_window_stability,perturbation_stability,transient_score,transient_duration,loop_support_min,loop_support_max,supports_2_through_24_structural,supports_2_through_24_empirical,bounded_non_runaway_score,non_collapsed_differentiation_score,null_model,null_mean,null_sd,interpretation,notes
standalone Cn(k) directed rings,C8(1),8,directed clockwise 1-jump,unseeded,False,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.8438806502550005,0.48625132037236585,0.49596116301895404,0.9629629629629629,0.9876543209876543,0.9084765078361468,0.7822311548760947,0.004263618107658814,101.45,2,24,True,False,0.9302833134623594,0.3612061155343998,degree-matched directed random graph,0.6990454286805642,0.015440893693445881,exploratory_or_control_result,"jump-start-dependent contrast; 2-through-24 path coverage present, but no length-5/10 closed-walk trace under this convention"
standalone Cn(k) directed rings,C8(1),8,directed clockwise 1-jump,seeded,True,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.027270085711986407,0.4998380565421602,0.502969995995771,0.012345679012345678,0.02821869488536155,0.9975245599432991,0.9750713566175457,0.00023169088902695812,0.0,2,24,True,False,0.8515051825744899,0.751747751810028,degree-matched directed random graph,0.7053456517426608,0.024751578105210732,seeded_or_jump_start_condition_not_primary_carrier_evidence,"jump-start-dependent contrast; 2-through-24 path coverage present, but no length-5/10 closed-walk trace under this convention"
standalone Cn(k) directed rings,"C6(1,2)",6,bidirectional 1-jump and 2-jump,unseeded,False,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.950589012108563,0.5493203437518852,0.49104151451854045,0.9506172839506173,0.9876543209876543,0.948091508825776,0.676371039245887,0.0,112.2,2,24,True,False,0.9782929233126939,0.11588366152810115,degree-matched directed random graph,0.6664354583456193,0.011584353441329524,exploratory_or_control_result,"lower-order 2-through-12 candidate; closed walks: length5=960, length10=1050624; transience interpreted separately from primary carrier test"
standalone Cn(k) directed rings,"C6(1,2)",6,bidirectional 1-jump and 2-jump,seeded,True,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.18700674016351457,0.5159868360128131,0.5263848757817101,0.012345679012345678,0.02821869488536155,0.8591590842047513,0.7904259242317677,0.0,0.0,2,24,True,False,0.9722517213750983,0.6077185177756633,degree-matched directed random graph,0.6401515481210506,0.019297838657181304,seeded_or_jump_start_condition_not_primary_carrier_evidence,"lower-order 2-through-12 candidate; closed walks: length5=960, length10=1050624; transience interpreted separately from primary carrier test"
standalone Cn(k) directed rings,"C8(1,2)",8,bidirectional 1-jump and 2-jump,unseeded,False,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.9081682885226436,0.5025881675908156,0.5204576553679112,0.8024691358024691,0.9876543209876543,0.9210348522177089,0.7775250428113062,0.0,106.725,2,24,True,False,0.9719552278434292,0.22757524095320747,degree-matched directed random graph,0.6676807652795057,0.010067146185134435,exploratory_or_control_result,"lower/intermediate Phi8-native candidate; closed walks: length5=960, length10=1050752; transience interpreted separately from primary carrier test"
standalone Cn(k) directed rings,"C8(1,2)",8,bidirectional 1-jump and 2-jump,seeded,True,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.05748817866009508,0.4999833425478807,0.502391641849026,0.012345679012345678,0.02821869488536155,0.9793056619555209,0.8847297289532288,2.522317743958785e-05,0.0,2,24,True,False,0.9951851227275993,0.7511737427984799,degree-matched directed random graph,0.6667475775895759,0.029163621927273894,seeded_or_jump_start_condition_not_primary_carrier_evidence,"lower/intermediate Phi8-native candidate; closed walks: length5=960, length10=1050752; transience interpreted separately from primary carrier test"
standalone Cn(k) directed rings,C12(1),12,directed clockwise 1-jump,unseeded,False,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.692135731490377,0.5033980522326893,0.506410110027204,0.9506172839506173,0.9876543209876543,0.9063422661336602,0.7076373486874741,0.009611120888839308,75.075,2,24,True,False,0.9363875391800424,0.5102275109569535,degree-matched directed random graph,0.7319917200170617,0.010884307229760932,exploratory_or_control_result,"standalone D12 ring contrast; 2-through-24 path coverage present, but no length-5/10 closed-walk trace under this convention"
standalone Cn(k) directed rings,C12(1),12,directed clockwise 1-jump,seeded,True,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.030023001238727413,0.5110881026697303,0.5029100673884315,0.012345679012345678,0.02821869488536155,0.9967038085432225,0.9816500698578196,5.016507618390935e-06,0.0,2,24,True,False,0.9113709616772292,0.9739946651998764,degree-matched directed random graph,0.7358529355639761,0.026836500318235448,seeded_or_jump_start_condition_not_primary_carrier_evidence,"standalone D12 ring contrast; 2-through-24 path coverage present, but no length-5/10 closed-walk trace under this convention"
standalone Cn(k) directed rings,"C12(1,2)",12,bidirectional 1-jump and 2-jump; 48 directed arrows,unseeded,False,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.7311751188611223,0.5032712199109688,0.4862258268120554,0.08641975308641975,0.1728395061728395,0.8678287994840865,0.7366643907079754,0.0009271482060071397,77.025,2,24,True,False,0.9712353496759484,0.4358933039994244,degree-matched directed random graph,0.6783129443184844,0.010061718662306502,negative_or_inconclusive_for_unseeded_C12_1_2_auto_locking,"primary held-out carrier candidate; closed walks: length5=1200, length10=1099008; transience interpreted separately from primary carrier test"
standalone Cn(k) directed rings,"C12(1,2)",12,bidirectional 1-jump and 2-jump; 48 directed arrows,seeded,True,topology_simulation_fixed_preregistered_parameters,autonomous_topology_carrier_score,0.02577986866969039,0.7642693096694595,0.5674869219071333,0.012345679012345678,0.02821869488536155,0.994418929146913,0.8768042379892087,3.463610564724037e-05,0.0,2,24,True,False,0.9983014709616039,0.9056748776750585,degree-matched directed random graph,0.6993904449014805,0.03553613032001382,seeded_or_jump_start_condition_not_primary_carrier_evidence,"primary held-out carrier candidate; closed walks: length5=1200, length10=1099008; transience interpreted separately from primary carrier test"
