status,exclusion_reason,n_values,primary_shell_score,random_shell_mean,random_shell_sd,raw_p_vs_random_shells,fixed_ladder_rank,best_fixed_ladder,best_fixed_ladder_score,alternative_scores,source_file,condition,column,n_random_shells,fdr_q_vs_random_shells
tested,,44,0.10777451954014441,0.10522020871825184,0.005580976461364657,1.0,3,compact_1_1.5_3,0.10169411569312921,compact_1_1.5_3=0.10169412; linear_1_2_3=0.10777452; wide_1_2.5_5=0.10777452; triple_1_3_6=0.10777452; phi_1_phi_phi2=0.10341563,IDPC_Reproduction_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,distance,1000,1.0
tested,,44,0.2748717135607666,0.2678100537523125,0.018424971969922092,1.0,3,compact_1_1.5_3,0.25529807434599755,compact_1_1.5_3=0.25529807; linear_1_2_3=0.27487171; wide_1_2.5_5=0.27487171; triple_1_3_6=0.27487171; phi_1_phi_phi2=0.26860152,IDPC_Reproduction_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,r_local,1000,1.0
tested,,44,0.51820336367156,0.5495895192701955,0.03350057694504145,0.2787212787212787,3,phi_1_phi_phi2,0.5004560466318025,compact_1_1.5_3=0.50644054; linear_1_2_3=0.51820336; wide_1_2.5_5=0.56195425; triple_1_3_6=0.58441072; phi_1_phi_phi2=0.50045605,IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,J,1000,0.5178155178155178
tested,,44,0.6520649363118936,0.6789229276735452,0.02835802490858814,0.17082917082917082,4,phi_1_phi_phi2,0.6153302494116493,compact_1_1.5_3=0.62290192; linear_1_2_3=0.63088228; wide_1_2.5_5=0.6739401; triple_1_3_6=0.69699941; phi_1_phi_phi2=0.61533025,IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,J_tilde,1000,0.5144855144855145
tested,,44,0.858393082670699,0.8964716156331562,0.03499793810619023,0.1968031968031968,4,phi_1_phi_phi2,0.8439368622327933,compact_1_1.5_3=0.84456882; linear_1_2_3=0.85723911; wide_1_2.5_5=0.9084585; triple_1_3_6=0.93273392; phi_1_phi_phi2=0.84393686,IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,1000,0.5144855144855145
tested,,44,0.10777451954014441,0.10520106936050998,0.005803515346007621,1.0,3,compact_1_1.5_3,0.10169411569312921,compact_1_1.5_3=0.10169412; linear_1_2_3=0.10777452; wide_1_2.5_5=0.10777452; triple_1_3_6=0.10777452; phi_1_phi_phi2=0.10341563,IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,1000,1.0
tested,,44,0.2748717135607666,0.2669181459124303,0.01944168446584452,1.0,3,compact_1_1.5_3,0.25529807434599755,compact_1_1.5_3=0.25529807; linear_1_2_3=0.27487171; wide_1_2.5_5=0.27487171; triple_1_3_6=0.27487171; phi_1_phi_phi2=0.26860152,IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,1000,1.0
tested,,237,0.5884564676410126,0.6197752973798789,0.03314794952944244,0.17582417582417584,4,phi_1_phi_phi2,0.565190337167649,compact_1_1.5_3=0.57638628; linear_1_2_3=0.58387388; wide_1_2.5_5=0.6216998; triple_1_3_6=0.65450192; phi_1_phi_phi2=0.56519034,backups/mm_fullnb_derangement/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J,1000,0.5144855144855145
tested,,237,0.6132259523454875,0.6439116725701438,0.031597875661897035,0.13886113886113885,4,phi_1_phi_phi2,0.5816628519945652,compact_1_1.5_3=0.59581614; linear_1_2_3=0.59362892; wide_1_2.5_5=0.63057499; triple_1_3_6=0.66288473; phi_1_phi_phi2=0.58166285,backups/mm_fullnb_derangement/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J_tilde,1000,0.5144855144855145
tested,,237,0.545324964867004,0.570147241981771,0.0209632545047146,0.14685314685314685,4,compact_1_1.5_3,0.5270181766069559,compact_1_1.5_3=0.52701818; linear_1_2_3=0.53819124; wide_1_2.5_5=0.57262679; triple_1_3_6=0.5891662; phi_1_phi_phi2=0.52837792,backups/mm_fullnb_derangement/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,dphi,1000,0.5144855144855145
tested,,237,0.12164424925261128,0.11889549465585546,0.006948734882955052,1.0,3,compact_1_1.5_3,0.11351644279220031,compact_1_1.5_3=0.11351644; linear_1_2_3=0.12164425; wide_1_2.5_5=0.12164425; triple_1_3_6=0.12164425; phi_1_phi_phi2=0.1186189,backups/mm_fullnb_derangement/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,distance,1000,1.0
tested,,237,0.19830029382235678,0.19630876531219218,0.006557636190636574,1.0,2,compact_1_1.5_3,0.19776270607559468,compact_1_1.5_3=0.19776271; linear_1_2_3=0.19830029; wide_1_2.5_5=0.19830029; triple_1_3_6=0.19830029; phi_1_phi_phi2=0.19830029,backups/mm_fullnb_derangement/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,r_local,1000,1.0
tested,,237,0.5884564676410126,0.622066266553948,0.03299942817016501,0.15584415584415584,4,phi_1_phi_phi2,0.565190337167649,compact_1_1.5_3=0.57638628; linear_1_2_3=0.58387388; wide_1_2.5_5=0.6216998; triple_1_3_6=0.65450192; phi_1_phi_phi2=0.56519034,backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,J,1000,0.5144855144855145
tested,,237,0.6132259523454875,0.6442081534889607,0.03183590118338521,0.14685314685314685,4,phi_1_phi_phi2,0.5816628519945652,compact_1_1.5_3=0.59581614; linear_1_2_3=0.59362892; wide_1_2.5_5=0.63057499; triple_1_3_6=0.66288473; phi_1_phi_phi2=0.58166285,backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,J_tilde,1000,0.5144855144855145
tested,,237,0.545324964867004,0.5714487928667427,0.020428938117726354,0.12987012987012986,4,compact_1_1.5_3,0.5270181766069559,compact_1_1.5_3=0.52701818; linear_1_2_3=0.53819124; wide_1_2.5_5=0.57262679; triple_1_3_6=0.5891662; phi_1_phi_phi2=0.52837792,backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,1000,0.5144855144855145
tested,,237,0.12164424925261128,0.11827901682954947,0.007588328371604729,1.0,3,compact_1_1.5_3,0.11351644279220031,compact_1_1.5_3=0.11351644; linear_1_2_3=0.12164425; wide_1_2.5_5=0.12164425; triple_1_3_6=0.12164425; phi_1_phi_phi2=0.1186189,backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,1000,1.0
tested,,237,0.19830029382235678,0.19637748691448775,0.006421963983357642,1.0,2,compact_1_1.5_3,0.19776270607559468,compact_1_1.5_3=0.19776271; linear_1_2_3=0.19830029; wide_1_2.5_5=0.19830029; triple_1_3_6=0.19830029; phi_1_phi_phi2=0.19830029,backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,1000,1.0
tested,,223,0.5488100354330429,0.5837223113958367,0.0383316363061709,0.25374625374625376,4,phi_1_phi_phi2,0.5236838466283777,compact_1_1.5_3=0.53731819; linear_1_2_3=0.54788706; wide_1_2.5_5=0.58740346; triple_1_3_6=0.62448638; phi_1_phi_phi2=0.52368385,backups/mm_fullnb_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J,1000,0.5178155178155178
tested,,223,0.7328532532943328,0.7561781235883734,0.022830430762271665,0.13986013986013987,4,phi_1_phi_phi2,0.7034275479738896,compact_1_1.5_3=0.70863061; linear_1_2_3=0.71530246; wide_1_2.5_5=0.75229196; triple_1_3_6=0.7710132; phi_1_phi_phi2=0.70342755,backups/mm_fullnb_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J_tilde,1000,0.5144855144855145
tested,,223,0.6111519117253741,0.6393771895159361,0.02360362700756327,0.12487512487512488,4,phi_1_phi_phi2,0.597014921236715,compact_1_1.5_3=0.60236984; linear_1_2_3=0.60669951; wide_1_2.5_5=0.63266304; triple_1_3_6=0.66143724; phi_1_phi_phi2=0.59701492,backups/mm_fullnb_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,dphi,1000,0.5144855144855145
tested,,223,0.12470816606600064,0.1205152798685819,0.009086155034163481,1.0,3,compact_1_1.5_3,0.11354447878949675,compact_1_1.5_3=0.11354448; linear_1_2_3=0.12470817; wide_1_2.5_5=0.12470817; triple_1_3_6=0.12470817; phi_1_phi_phi2=0.11979664,backups/mm_fullnb_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,distance,1000,1.0
tested,,223,0.20611406387223197,0.20368586673241754,0.0074471913187381744,1.0,2,compact_1_1.5_3,0.20417493664100658,compact_1_1.5_3=0.20417494; linear_1_2_3=0.20611406; wide_1_2.5_5=0.20611406; triple_1_3_6=0.20611406; phi_1_phi_phi2=0.20611406,backups/mm_fullnb_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,r_local,1000,1.0
tested,,223,0.5488100354330429,0.5828169905397801,0.037815550111255924,0.2727272727272727,4,phi_1_phi_phi2,0.5236838466283777,compact_1_1.5_3=0.53731819; linear_1_2_3=0.54788706; wide_1_2.5_5=0.58740346; triple_1_3_6=0.62448638; phi_1_phi_phi2=0.52368385,backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,J,1000,0.5178155178155178
tested,,223,0.7328532532943328,0.7574673120042416,0.023361228248719543,0.15984015984015984,4,phi_1_phi_phi2,0.7034275479738896,compact_1_1.5_3=0.70863061; linear_1_2_3=0.71530246; wide_1_2.5_5=0.75229196; triple_1_3_6=0.7710132; phi_1_phi_phi2=0.70342755,backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,J_tilde,1000,0.5144855144855145
tested,,223,0.6111519117253741,0.6376313448047354,0.022953543832034105,0.13486513486513488,4,phi_1_phi_phi2,0.597014921236715,compact_1_1.5_3=0.60236984; linear_1_2_3=0.60669951; wide_1_2.5_5=0.63266304; triple_1_3_6=0.66143724; phi_1_phi_phi2=0.59701492,backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,1000,0.5144855144855145
tested,,223,0.12470816606600064,0.12096060545682172,0.008678584521670678,1.0,3,compact_1_1.5_3,0.11354447878949675,compact_1_1.5_3=0.11354448; linear_1_2_3=0.12470817; wide_1_2.5_5=0.12470817; triple_1_3_6=0.12470817; phi_1_phi_phi2=0.11979664,backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,1000,1.0
tested,,223,0.20611406387223197,0.2039080599142974,0.007062183345551569,1.0,2,compact_1_1.5_3,0.20417493664100658,compact_1_1.5_3=0.20417494; linear_1_2_3=0.20611406; wide_1_2.5_5=0.20611406; triple_1_3_6=0.20611406; phi_1_phi_phi2=0.20611406,backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,1000,1.0
tested,,241,0.5408974179162154,0.5651106458743355,0.03159528816481293,0.2997002997002997,4,phi_1_phi_phi2,0.5145654286345049,compact_1_1.5_3=0.52047941; linear_1_2_3=0.53976563; wide_1_2.5_5=0.57158767; triple_1_3_6=0.59950201; phi_1_phi_phi2=0.51456543,backups/mm_fullnb_reverse/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J,1000,0.5178155178155178
tested,,241,0.6434799091179075,0.6759767000035549,0.03202473843964736,0.14885114885114886,4,phi_1_phi_phi2,0.6229224402112707,compact_1_1.5_3=0.64020611; linear_1_2_3=0.6270093; wide_1_2.5_5=0.66157747; triple_1_3_6=0.69470234; phi_1_phi_phi2=0.62292244,backups/mm_fullnb_reverse/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J_tilde,1000,0.5144855144855145
