anchor_name,event_class,observed_C10_minus_C12,control_mean_C10_minus_C12,effect_vs_label_preserved_control,p_vs_label_preserved_control,control_sd,n_events,q_vs_label_preserved_control
utc_annual_orbital_phase,FES_phase_transition,0.06621021456602838,0.06620995287321522,2.6169281315546744e-07,0.4111776447105788,1.0612904899452219e-06,192,0.6586826347305389
utc_annual_orbital_phase,eps72_restoration_onset,0.07829198715133101,0.0782922347885657,-2.476372346904565e-07,0.5848303393213573,1.2054001485616087e-06,147,0.6586826347305389
utc_annual_orbital_phase,h_zero_crossing,0.0832789968627734,0.08327907246911949,-7.560634608660965e-08,0.5708582834331337,4.2252483174207154e-07,1309,0.6586826347305389
utc_annual_orbital_phase,high_boundary_impulse_J,0.06854195772494054,0.06854075451064548,1.2032142950590963e-06,0.2654690618762475,1.8577094953727282e-06,57,0.6586826347305389
utc_annual_orbital_phase,residual_contraction_low_distance,0.07580414534978486,0.07580487154868452,-7.261988996670743e-07,0.6586826347305389,2.1552858860488956e-06,57,0.6586826347305389
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,0.14470578407474066,0.1447049635114023,8.205633383606692e-07,0.4471057884231537,7.470386949445164e-06,7,0.6586826347305389
utc_daily_phase,FES_phase_transition,0.039993374716229296,0.042350702281702665,-0.002357327565473369,0.8642714570858283,0.0021126991425491726,192,0.8642714570858283
utc_daily_phase,eps72_restoration_onset,0.020253015013353914,0.021164931421141422,-0.0009119164077875073,0.6906187624750499,0.001965946153578913,147,0.8287425149700599
utc_daily_phase,h_zero_crossing,0.04701838865928065,0.046751029509691636,0.0002673591495890165,0.3013972055888224,0.0005819605088935847,1309,0.7744510978043913
utc_daily_phase,high_boundary_impulse_J,0.01776382043836941,0.015063466788651437,0.002700353649717973,0.20758483033932135,0.0033150852545746614,57,0.7744510978043913
utc_daily_phase,residual_contraction_low_distance,0.009792763265499438,0.008218554088664459,0.001574209176834979,0.3872255489021956,0.0037759824945565877,57,0.7744510978043913
utc_daily_phase,ricci_phase_sync_high_lock_session,-0.13558857348357306,-0.13488368634838083,-0.0007048871351922337,0.5668662674650699,0.005163471921756331,7,0.8287425149700599
utc_weekly_phase,FES_phase_transition,0.19487153293271042,0.19273430866376218,0.0021372242689482457,0.017964071856287425,0.0011176897577590667,192,0.10778443113772454
utc_weekly_phase,eps72_restoration_onset,0.20088773431963403,0.20059168810258224,0.00029604621705178746,0.437125748502994,0.0010493930500855122,147,0.5293413173652695
utc_weekly_phase,h_zero_crossing,0.21553223644060587,0.21582959279314082,-0.0002973563525349443,0.8902195608782435,0.00023346822570016512,1309,0.8902195608782435
utc_weekly_phase,high_boundary_impulse_J,0.1683510631991706,0.16261352868685178,0.005737534512318815,0.16167664670658682,0.005404936496609952,57,0.48502994011976047
utc_weekly_phase,residual_contraction_low_distance,0.2640608693454415,0.26320435833379335,0.0008565110116481311,0.3373253493013972,0.0015607360228185028,57,0.5293413173652695
utc_weekly_phase,ricci_phase_sync_high_lock_session,0.1358784230857341,0.13579107788144273,8.734520429137804e-05,0.4411177644710579,0.0011282240942813507,7,0.5293413173652695
global_elapsed_phase,FES_phase_transition,0.06815337592218929,0.06825707711055128,-0.00010370118836199038,0.564870259481038,0.00033875372468409394,192,0.8982035928143712
global_elapsed_phase,eps72_restoration_onset,0.04388566893194146,0.043980446133110127,-9.477720116866928e-05,0.7964071856287425,0.0003286412500071086,147,0.9441117764471058
global_elapsed_phase,h_zero_crossing,0.05133444438603263,0.05131081997811195,2.362440792067627e-05,0.3033932135728543,0.00010749175122596206,1309,0.8982035928143712
global_elapsed_phase,high_boundary_impulse_J,0.07904232255318899,0.07909892012723199,-5.6597574042999144e-05,0.9441117764471058,3.537550049131344e-05,57,0.9441117764471058
global_elapsed_phase,residual_contraction_low_distance,0.05899287842645129,0.059293351429676094,-0.00030047300322480486,0.3073852295409182,0.001225093429002462,57,0.8982035928143712
global_elapsed_phase,ricci_phase_sync_high_lock_session,-0.032555266974316543,-0.03254168122177416,-1.3585752542386031e-05,0.5988023952095808,7.320022204751548e-05,7,0.8982035928143712
