topology_name,event_class,null_index,null_model,n_nodes,n_directed_edges,differentiated_recovery
"C12(1,2)",high_boundary_impulse_J,57,degree-matched directed random graph,12,48,0.0001923888554647165
"C12(1,2)",high_boundary_impulse_J,58,degree-matched directed random graph,12,48,0.0037205585267399434
"C12(1,2)",high_boundary_impulse_J,59,degree-matched directed random graph,12,48,-0.001968009976007787
"C12(1,2)",high_boundary_impulse_J,60,degree-matched directed random graph,12,48,-0.0005749479674668741
"C12(1,2)",high_boundary_impulse_J,61,degree-matched directed random graph,12,48,-0.0009490434283870069
"C12(1,2)",high_boundary_impulse_J,62,degree-matched directed random graph,12,48,-0.002005127531590306
"C12(1,2)",high_boundary_impulse_J,63,degree-matched directed random graph,12,48,-0.0022874640255286563
"C12(1,2)",high_boundary_impulse_J,64,degree-matched directed random graph,12,48,0.0011198847103048091
"C12(1,2)",high_boundary_impulse_J,65,degree-matched directed random graph,12,48,-0.0032526645996809747
"C12(1,2)",high_boundary_impulse_J,66,degree-matched directed random graph,12,48,-0.000539172802668597
"C12(1,2)",high_boundary_impulse_J,67,degree-matched directed random graph,12,48,-0.0013628410203728556
"C12(1,2)",high_boundary_impulse_J,68,degree-matched directed random graph,12,48,0.00018006011510903706
"C12(1,2)",high_boundary_impulse_J,69,degree-matched directed random graph,12,48,0.0004971436921568068
"C12(1,2)",high_boundary_impulse_J,70,degree-matched directed random graph,12,48,-0.0013160112197869276
"C12(1,2)",high_boundary_impulse_J,71,degree-matched directed random graph,12,48,-0.0007243143240624518
"C12(1,2)",high_boundary_impulse_J,72,degree-matched directed random graph,12,48,-0.0010624599922065651
"C12(1,2)",high_boundary_impulse_J,73,degree-matched directed random graph,12,48,0.0022896453589629014
"C12(1,2)",high_boundary_impulse_J,74,degree-matched directed random graph,12,48,-0.001488724425009773
"C12(1,2)",high_boundary_impulse_J,75,degree-matched directed random graph,12,48,-0.0024081212769478653
"C12(1,2)",high_boundary_impulse_J,76,degree-matched directed random graph,12,48,-0.003207866290842356
"C12(1,2)",high_boundary_impulse_J,77,degree-matched directed random graph,12,48,0.0022493522230705608
"C12(1,2)",high_boundary_impulse_J,78,degree-matched directed random graph,12,48,0.001679809213279538
"C12(1,2)",high_boundary_impulse_J,79,degree-matched directed random graph,12,48,0.001627661997824665
"C12(1,2)",residual_contraction_low_distance,0,degree-matched directed random graph,12,48,0.0002501224292212314
"C12(1,2)",residual_contraction_low_distance,1,degree-matched directed random graph,12,48,-0.001954119785472341
"C12(1,2)",residual_contraction_low_distance,2,degree-matched directed random graph,12,48,0.0022852484996722525
"C12(1,2)",residual_contraction_low_distance,3,degree-matched directed random graph,12,48,-0.0026482851296216582
"C12(1,2)",residual_contraction_low_distance,4,degree-matched directed random graph,12,48,0.003481819561445364
"C12(1,2)",residual_contraction_low_distance,5,degree-matched directed random graph,12,48,0.00101990074340251
"C12(1,2)",residual_contraction_low_distance,6,degree-matched directed random graph,12,48,0.0018202666965480587
"C12(1,2)",residual_contraction_low_distance,7,degree-matched directed random graph,12,48,0.0008271243348341959
"C12(1,2)",residual_contraction_low_distance,8,degree-matched directed random graph,12,48,-0.0020569815235171713
"C12(1,2)",residual_contraction_low_distance,9,degree-matched directed random graph,12,48,-0.001143860955568807
"C12(1,2)",residual_contraction_low_distance,10,degree-matched directed random graph,12,48,-0.001556784482937949
"C12(1,2)",residual_contraction_low_distance,11,degree-matched directed random graph,12,48,0.004388864381934429
"C12(1,2)",residual_contraction_low_distance,12,degree-matched directed random graph,12,48,-0.000374198085984323
"C12(1,2)",residual_contraction_low_distance,13,degree-matched directed random graph,12,48,0.002549863595792367
"C12(1,2)",residual_contraction_low_distance,14,degree-matched directed random graph,12,48,-0.0014243396651424098
"C12(1,2)",residual_contraction_low_distance,15,degree-matched directed random graph,12,48,-0.003771973802047519
"C12(1,2)",residual_contraction_low_distance,16,degree-matched directed random graph,12,48,-0.0022436267329734457
"C12(1,2)",residual_contraction_low_distance,17,degree-matched directed random graph,12,48,0.004665286559429686
"C12(1,2)",residual_contraction_low_distance,18,degree-matched directed random graph,12,48,0.0010951717226310863
"C12(1,2)",residual_contraction_low_distance,19,degree-matched directed random graph,12,48,0.00366678799894586
