anchor_name,event_class,C12_readout_score,best_alternative_basis,best_alternative_score,C12_vs_best_alternative,D24_Phi24_lift_score,D24_minus_C12
utc_annual_orbital_phase,FES_phase_transition,0.8284543975132115,10,0.8946646120792399,-0.06621021456602838,0.8099128248397268,-0.018541572673484663
utc_annual_orbital_phase,eps72_restoration_onset,0.7904065331264927,10,0.8686985202778237,-0.07829198715133101,0.7604796962953095,-0.029926836831183135
utc_annual_orbital_phase,h_zero_crossing,0.7858427698921351,10,0.8691217667549085,-0.0832789968627734,0.764024535698726,-0.021818234193409114
utc_annual_orbital_phase,high_boundary_impulse_J,0.8272930141754574,10,0.895834971900398,-0.06854195772494054,0.7845083996662697,-0.04278461450918769
utc_annual_orbital_phase,residual_contraction_low_distance,0.7979815408417024,10,0.8737856861914872,-0.07580414534978486,0.7659613478253292,-0.032020193016373155
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,0.6342519777070263,10,0.778957761781767,-0.14470578407474066,0.5860238344030669,-0.048228143303959414
utc_daily_phase,FES_phase_transition,0.21168064968374292,16,0.29406046428413746,-0.08237981460039454,0.28381040215632114,0.07212975247257822
utc_daily_phase,eps72_restoration_onset,0.22210320519401605,10,0.24235622020736997,-0.020253015013353914,0.23599021573666415,0.013887010542648098
utc_daily_phase,h_zero_crossing,0.19660397658908818,16,0.2514806857510376,-0.05487670916194942,0.22416916026573233,0.02756518367664415
utc_daily_phase,high_boundary_impulse_J,0.2382588325790467,16,0.29892432351536297,-0.06066549093631626,0.2730764568804218,0.03481762430137511
utc_daily_phase,residual_contraction_low_distance,0.19069982035297378,24,0.302268863202789,-0.11156904284981523,0.302268863202789,0.11156904284981523
utc_daily_phase,ricci_phase_sync_high_lock_session,0.4411009780078911,16,0.4007849621781634,0.040316015829727714,0.35523384037314487,-0.08586713763474624
