anchor_name,event_class,basis,basis_role,n_events,temporal_phase_alignment,temporal_phase_specificity,readout_score,rotation_control_mean,scramble_control_mean,time_shift_control_mean,effect_vs_rotation,effect_vs_scramble,effect_vs_time_shift,p_vs_rotation,p_vs_scramble,p_vs_time_shift,combined_control_p,combined_control_q,C12_readout_score,best_alternative_score,C12_vs_best_alternative,D24_Phi24_lift_score,D24_minus_C12,exploratory_candidate,interpretation
session_normalized_event_position,FES_phase_transition,8,comparison,192,0.014079578866436866,0.029021738638343786,0.021550658752390324,0.01741299331596574,0.03800192506609917,0.02183457620458609,0.004137665436424583,-0.016451266313708843,-0.00028391745219576506,0.08,0.8507462686567164,0.875,0.875,1.0,0.082513037890283,0.12792954351856967,-0.04541650562828667,0.12792954351856967,0.04541650562828667,False,comparison_basis
session_normalized_event_position,FES_phase_transition,10,comparison,192,0.14766855133921872,0.03689499720946032,0.09228177427433952,0.08526685844376092,0.037117636465461665,0.09228177427433924,0.0070149158305786025,0.055164137808877856,2.7755575615628914e-16,0.04,0.014925373134328358,0.1,0.1,1.0,0.082513037890283,0.12792954351856967,-0.04541650562828667,0.12792954351856967,0.04541650562828667,False,comparison_basis
session_normalized_event_position,FES_phase_transition,12,primary_C12,192,0.13432565931157275,0.03070041646899324,0.082513037890283,0.07905646351029227,0.03741384449743962,0.08329352535423132,0.0034565743799907234,0.04509919339284338,-0.0007804874639483206,0.16,0.009950248756218905,0.75,0.75,1.0,0.082513037890283,0.12792954351856967,-0.04541650562828667,0.12792954351856967,0.04541650562828667,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,FES_phase_transition,16,comparison,192,0.10411516071950645,0.035011576773199105,0.06956336874635277,0.06753515831431699,0.04020110295990067,0.06955538725043954,0.0020282104320357847,0.029362265786452103,7.981495913231273e-06,0.24,0.04975124378109453,0.4375,0.4375,1.0,0.082513037890283,0.12792954351856967,-0.04541650562828667,0.12792954351856967,0.04541650562828667,False,comparison_basis
session_normalized_event_position,FES_phase_transition,24,lift_D24_Phi24,192,0.21862189417538955,0.03723719286174976,0.12792954351856967,0.12924241493867503,0.0400796157134784,0.12988365742303076,-0.0013128714201053604,0.08784992780509127,-0.0019541139044610967,0.76,0.004975124378109453,0.875,0.875,1.0,0.082513037890283,0.12792954351856967,-0.04541650562828667,0.12792954351856967,0.04541650562828667,False,D24_Phi24_lift_reference
session_normalized_event_position,eps72_restoration_onset,8,comparison,147,0.18506745324781565,0.043475734795791476,0.11427159402180356,0.10407146887242809,0.04102932566101087,0.11479660750574898,0.010200125149375475,0.0732422683607927,-0.0005250134839454162,0.08,0.004975124378109453,0.875,0.875,1.0,0.11979452484817796,0.14262572477003108,-0.022831199921853118,0.14262572477003108,0.022831199921853118,False,comparison_basis
session_normalized_event_position,eps72_restoration_onset,10,comparison,147,0.16252670580784095,0.05547018164356432,0.10899844372570264,0.09666364364029206,0.044903575336494306,0.10899844372570239,0.012334800085410574,0.06409486838920833,2.498001805406602e-16,0.08,0.004975124378109453,0.1,0.1,1.0,0.11979452484817796,0.14262572477003108,-0.022831199921853118,0.14262572477003108,0.022831199921853118,False,comparison_basis
session_normalized_event_position,eps72_restoration_onset,12,primary_C12,147,0.1802159443221178,0.05937310537423812,0.11979452484817796,0.10790934101628691,0.04292706924993726,0.11890879717488965,0.01188518383189105,0.07686745559824071,0.0008857276732883029,0.04,0.004975124378109453,0.5,0.5,1.0,0.11979452484817796,0.14262572477003108,-0.022831199921853118,0.14262572477003108,0.022831199921853118,False,C12_not_exploratory_candidate_under_B4_pattern
session_normalized_event_position,eps72_restoration_onset,16,comparison,147,0.16023562354884838,0.06383843049432514,0.11203702702158676,0.10357003666053387,0.04600514684949105,0.11161599913792568,0.00846699036105289,0.06603188017209571,0.00042102788366107924,0.04,0.009950248756218905,0.625,0.625,1.0,0.11979452484817796,0.14262572477003108,-0.022831199921853118,0.14262572477003108,0.022831199921853118,False,comparison_basis
session_normalized_event_position,eps72_restoration_onset,24,lift_D24_Phi24,147,0.21124666571305956,0.0740047838270026,0.14262572477003108,0.1348670857895586,0.05087685789058842,0.14169387231973393,0.007758638980472465,0.09174886687944266,0.0009318524502971437,0.08,0.004975124378109453,0.6666666666666666,0.6666666666666666,1.0,0.11979452484817796,0.14262572477003108,-0.022831199921853118,0.14262572477003108,0.022831199921853118,False,D24_Phi24_lift_reference
