chapter7_dir,condition,metric,observed_shift0,block_null_mean,block_null_sd,block_empirical_p,best_nonzero_shift,shift0_minus_best_nonzero_shift
IDPC_Reproduction/Chapter7,observed,switch_gain,0.8097934151354712,0.5645164502039637,0.03034585926116697,0.004975124378109453,0.5761594707817292,0.23363394435374196
IDPC_Reproduction/Chapter7,observed,deltaC_gain,0.3287061060475104,0.22490406382772035,0.0196886681136379,0.004975124378109453,0.2337900805487076,0.09491602549880279
IDPC_Reproduction_mm_derangement/Chapter7,control,switch_gain,0.8105330953867708,0.7226069275905573,0.04212053747403011,0.014925373134328358,0.9101908357254864,-0.09965774033871566
IDPC_Reproduction_mm_derangement/Chapter7,control,deltaC_gain,0.3756353610980684,0.37042065348971,0.012551105408834968,0.3333333333333333,0.3974015268709315,-0.02176616577286311
IDPC_Reproduction_mm_random/Chapter7,control,switch_gain,0.6740300453368102,0.6497769637262902,0.04697302261227762,0.2736318407960199,0.6764073587448632,-0.002377313408053028
IDPC_Reproduction_mm_random/Chapter7,control,deltaC_gain,0.3229892333139089,0.3285443001614199,0.025237098584428234,0.6467661691542289,0.34148296591662,-0.018493732602711088
IDPC_Reproduction_mm_reverse/Chapter7,control,switch_gain,0.7388387529588337,0.7041070119734202,0.01881960479040183,0.03980099502487562,0.715714730412311,0.023124022546522682
IDPC_Reproduction_mm_reverse/Chapter7,control,deltaC_gain,0.3850625862211769,0.3649567865151241,0.004802995763588602,0.004975124378109453,0.3773212754832563,0.007741310737920615
IDPC_Reproduction_mm_shift1/Chapter7,control,switch_gain,0.8191933307974424,0.7094927626864497,0.05662071676399732,0.014925373134328358,0.7090219673159528,0.11017136348148959
IDPC_Reproduction_mm_shift1/Chapter7,control,deltaC_gain,0.3827423451873536,0.35782817912152937,0.01945408492262489,0.0845771144278607,0.382314224694696,0.0004281204926576132
IDPC_Reproduction_random/Chapter7,control,switch_gain,0.5509200258250033,0.5509200258250031,2.2260180681725107e-16,1.0,0.5509200258250033,0.0
IDPC_Reproduction_random/Chapter7,control,deltaC_gain,0.3401333716862971,0.3401333716862971,0.0,1.0,0.3401333716862971,0.0
IDPC_Reproduction_surrogate/Chapter7,control,switch_gain,0.6688812184158383,0.5739651253884875,0.041697806051197786,0.009950248756218905,0.5785045112885135,0.0903767071273247
IDPC_Reproduction_surrogate/Chapter7,control,deltaC_gain,0.3612897167223385,0.36644948905822244,0.014272322251283788,0.6666666666666666,0.379044634657728,-0.01775491793538947
IDPC_Reproduction_surrogate_btc/Chapter7,control,switch_gain,0.4991529599896461,0.49915295998964626,1.669513551129383e-16,1.0,0.4991529599896461,0.0
IDPC_Reproduction_surrogate_btc/Chapter7,control,deltaC_gain,0.3827354788878839,0.38273547888788395,5.565045170431277e-17,1.0,0.3827354788878839,0.0
IDPC_Reproduction_surrogate_spx/Chapter7,control,switch_gain,0.5752067440846442,0.5647440854758039,0.05570834845456882,0.4427860696517413,0.6581618564311243,-0.08295511234648012
IDPC_Reproduction_surrogate_spx/Chapter7,control,deltaC_gain,0.3560057092937298,0.3574935263023417,0.019911761700363198,0.6268656716417911,0.3783668431962818,-0.022361133902551955
backups/mm_fullnb_derangement/Chapter7,control,switch_gain,0.792787234500244,0.7675432502428117,0.01987569022890993,0.1044776119402985,0.7999284233504925,-0.007141188850248503
backups/mm_fullnb_derangement/Chapter7,control,deltaC_gain,0.3762068307161955,0.3790978081361044,0.00624129152062351,0.6915422885572139,0.3892730752315471,-0.0130662445153516
backups/mm_fullnb_random/Chapter7,control,switch_gain,0.7710857312111972,0.7220409685569547,0.04948431912090658,0.14427860696517414,1.0023513226724043,-0.23126559146120718
backups/mm_fullnb_random/Chapter7,control,deltaC_gain,0.3831638367582499,0.3680627778659978,0.014019637646587715,0.1044776119402985,0.4023571060287975,-0.019193269270547597
backups/mm_fullnb_reverse/Chapter7,control,switch_gain,0.7924631536422004,0.7169050192197468,0.05432087465823594,0.05472636815920398,0.9291307137928526,-0.13666756015065218
backups/mm_fullnb_reverse/Chapter7,control,deltaC_gain,0.3650572237344794,0.36591150342131856,0.01823611539651908,0.6218905472636815,0.3946941284298735,-0.029636904695394095
backups/mm_fullnb_shift1/Chapter7,control,switch_gain,0.7997697677732313,0.7997697677732313,0.0,1.0,0.7997697677732313,0.0
backups/mm_fullnb_shift1/Chapter7,control,deltaC_gain,0.3651510386242477,0.36515103862424775,5.565045170431277e-17,1.0,0.3651510386242477,0.0
backups/mm_original_state/Chapter7,other,switch_gain,0.8097934151354712,0.5645164502039637,0.03034585926116697,0.004975124378109453,0.5761594707817292,0.23363394435374196
backups/mm_original_state/Chapter7,other,deltaC_gain,0.3287061060475104,0.22490406382772035,0.0196886681136379,0.004975124378109453,0.2337900805487076,0.09491602549880279
