source_file,sequence_id,state_column,status,ladder_name,n_perm,exclusion_reason,n_events,n_states,n_unordered_nonself_pairs,n_directed_nonself_pairs,self_transition_rate,transition_entropy_norm,ladder_distance,null_mean,null_sd,z_score,raw_p,fdr_q
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P26,cluster,tested,5-10-20,1000.0,,9.0,4.0,5.0,8.0,0.0,0.9999999999961529,0.4333333333333333,0.48166666666666674,0.03946731280301462,1.2246421126913314,0.11788211788211789,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P3,cluster,tested,5-10-20,1000.0,,11.0,5.0,6.0,9.0,0.09999999999999998,0.9999999999956568,0.3166666666666667,0.35781666666666667,0.03729777714201331,1.1032829072713666,0.17082917082917082,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P4,cluster,tested,5-10-20,1000.0,,11.0,5.0,7.0,10.0,0.0,0.9999999999956568,0.26666666666666666,0.33063333333333333,0.04336705907626242,1.4750058691823937,0.08791208791208792,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P5,cluster,tested,5-10-20,1000.0,,6.0,5.0,4.0,5.0,0.0,0.9999999999968934,0.45,0.44220000000000004,0.021900676693646672,-0.35615337868819064,0.6643356643356644,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P6,cluster,tested,5-10-20,1000.0,,4.0,3.0,2.0,2.0,0.33333333333333337,0.9999999999972693,0.7000000000000001,0.6856500000000001,0.018172536267889013,-0.7896531220772147,1.0,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P7,cluster,tested,5-10-20,1000.0,,13.0,5.0,7.0,9.0,0.0,0.9731973151744968,0.2833333333333334,0.3065666666666667,0.04334463803673327,0.5360140120132918,0.3886113886113886,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P8,cluster,tested,5-10-20,1000.0,,12.0,5.0,7.0,8.0,0.09090909090909094,0.9766146686686171,0.3,0.32425,0.043226476267129325,0.5609987695999269,0.3756243756243756,1.0
IDPC_Reproduction/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P9,cluster,tested,5-10-20,1000.0,,8.0,5.0,6.0,7.0,0.0,0.9999999999964029,0.35000000000000003,0.3896833333333333,0.03646393052511551,1.0882900653290881,0.22477522477522477,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P1,fes_phase,tested,5-10-20,1000.0,,5.0,4.0,3.0,4.0,0.0,0.9999999999971146,0.5666666666666667,0.5631166666666666,0.020944438470299705,-0.1694960695668273,0.6013986013986014,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P10,fes_phase,tested,5-10-20,1000.0,,6.0,4.0,5.0,5.0,0.0,0.9999999999968934,0.48333333333333334,0.5441833333333332,0.028087358954988977,2.166455026886446,0.06793206793206794,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P11,fes_phase,tested,5-10-20,1000.0,,10.0,5.0,5.0,8.0,0.0,0.9825675930695162,0.3666666666666667,0.36475,0.03629553660008623,-0.05280722772568471,0.6143856143856143,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P12,fes_phase,tested,5-10-20,1000.0,,6.0,4.0,3.0,5.0,0.0,0.9999999999968934,0.5499999999999999,0.5533499999999999,0.02232582829988493,0.1500504238858287,0.5094905094905094,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P13,fes_phase,tested,5-10-20,1000.0,,13.0,5.0,6.0,9.0,0.0,0.953352274103073,0.3166666666666667,0.3221333333333333,0.041921695333690424,0.1304018509545659,0.5284715284715285,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P14,fes_phase,tested,5-10-20,1000.0,,10.0,5.0,6.0,9.0,0.0,0.9999999999959037,0.3166666666666667,0.3477,0.04193674895763091,0.7400033170116875,0.29270729270729273,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P15,fes_phase,tested,5-10-20,1000.0,,5.0,4.0,4.0,4.0,0.0,0.9999999999971146,0.5333333333333333,0.5621666666666666,0.02086109261724289,1.3821583491509386,0.31868131868131866,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P16,fes_phase,tested,5-10-20,1000.0,,11.0,5.0,6.0,9.0,0.0,0.9848586617834504,0.3166666666666667,0.36604999999999993,0.03563785130074795,1.385698955770007,0.11488511488511488,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P17,fes_phase,tested,5-10-20,1000.0,,6.0,5.0,4.0,5.0,0.0,0.9999999999968934,0.45,0.4422500000000001,0.022126765701907105,-0.35025453355489505,0.6513486513486514,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P18,fes_phase,tested,5-10-20,1000.0,,14.0,5.0,6.0,10.0,0.15384615384615385,0.9892972558469406,0.3,0.30365,0.042913571631661485,0.08505467760476569,0.5494505494505495,1.0
