event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
hybrid_phi_sign_switch,primary_phi_fes,0,degree-matched directed random graph,12,48,-0.00044949324152724864,0.002587138515294044,0.5274443874854704,0.5138577252699342
hybrid_phi_sign_switch,primary_phi_fes,1,degree-matched directed random graph,12,48,0.004171442913267095,0.0023100925783852483,0.5312488802406582,0.5149193536608998
hybrid_phi_sign_switch,primary_phi_fes,2,degree-matched directed random graph,12,48,-0.0010695540643825977,0.001932472800492785,0.5249230120886039,0.5034367956191246
hybrid_phi_sign_switch,primary_phi_fes,3,degree-matched directed random graph,12,48,0.003784825284837959,0.0020766617712395445,0.5066600550606472,0.4907693990876982
hybrid_phi_sign_switch,primary_phi_fes,4,degree-matched directed random graph,12,48,0.0009391365548177391,0.002782634470370542,0.509740654992138,0.4974849429329645
hybrid_phi_sign_switch,primary_phi_fes,5,degree-matched directed random graph,12,48,0.0030118131407521126,0.0025827324482848254,0.5122190506683997,0.511062191798416
hybrid_phi_sign_switch,primary_phi_fes,6,degree-matched directed random graph,12,48,0.006153123666525031,0.0024223591706088944,0.5296313430506664,0.5034968853986556
hybrid_phi_sign_switch,primary_phi_fes,7,degree-matched directed random graph,12,48,0.0019204354832829695,0.0029688910728058048,0.5173295708488693,0.5080743545060052
hybrid_phi_sign_switch,primary_phi_fes,8,degree-matched directed random graph,12,48,0.0026558349812270754,0.002437286331341711,0.4997890346912532,0.4973861360925573
hybrid_phi_sign_switch,primary_phi_fes,9,degree-matched directed random graph,12,48,0.0033630341647775614,0.002678227018121539,0.532518277741352,0.5091849407023435
hybrid_phi_sign_switch,primary_phi_fes,10,degree-matched directed random graph,12,48,0.0025026948108736115,0.002266034518749445,0.504570550587751,0.501739932795803
hybrid_phi_sign_switch,primary_phi_fes,11,degree-matched directed random graph,12,48,0.0037200341186231552,0.002044660542343106,0.5404036956948797,0.5004925816853629
hybrid_phi_sign_switch,primary_phi_fes,12,degree-matched directed random graph,12,48,0.0026804736209551177,0.0021378455573586347,0.5017253076054796,0.5084215925551476
hybrid_phi_sign_switch,primary_phi_fes,13,degree-matched directed random graph,12,48,0.0013200905625462172,0.0026893774829546543,0.5164146763173656,0.5102252073886187
hybrid_phi_sign_switch,primary_phi_fes,14,degree-matched directed random graph,12,48,-0.0013425236570509585,0.002484969942607822,0.5103499825520439,0.5078983079925077
hybrid_phi_sign_switch,primary_phi_fes,15,degree-matched directed random graph,12,48,0.005010126615786528,0.002094071995662412,0.5039650357436616,0.5106139035064302
hybrid_phi_sign_switch,primary_phi_fes,16,degree-matched directed random graph,12,48,0.0023708392151726497,0.002431206258211393,0.526941925299963,0.5021442971288239
hybrid_phi_sign_switch,primary_phi_fes,17,degree-matched directed random graph,12,48,0.004172267755687014,0.002891034137719428,0.5199448505206895,0.5099812751420507
hybrid_phi_sign_switch,primary_phi_fes,18,degree-matched directed random graph,12,48,0.001859877289607089,0.0025507866264096375,0.5186158986571328,0.4991777673102246
hybrid_phi_sign_switch,primary_phi_fes,19,degree-matched directed random graph,12,48,0.0032681298047860644,0.002491914799831144,0.52734569062488,0.5148237126572477
hybrid_phi_sign_switch,primary_phi_fes,20,degree-matched directed random graph,12,48,-0.0010844808721568228,0.0022443397110034216,0.5062192902571465,0.4751331930828542
hybrid_phi_sign_switch,primary_phi_fes,21,degree-matched directed random graph,12,48,0.003354770754601323,0.003559949819590695,0.5203595529576824,0.5178753869842632
hybrid_phi_sign_switch,primary_phi_fes,22,degree-matched directed random graph,12,48,2.661659364294924e-05,0.0025747498441209184,0.5453862479780731,0.49024846095542957
hybrid_phi_sign_switch,primary_phi_fes,23,degree-matched directed random graph,12,48,0.0010126282020889773,0.002154444263903544,0.5213161525531049,0.5050516286213446
hybrid_phi_sign_switch,primary_phi_fes,24,degree-matched directed random graph,12,48,0.0023771911471900625,0.0025264852888088655,0.5061208595131043,0.5063432072288452
hybrid_phi_sign_switch,primary_phi_fes,25,degree-matched directed random graph,12,48,0.006154122115095795,0.0027243342425744004,0.5087866014781914,0.5229576737881962
hybrid_phi_sign_switch,primary_phi_fes,26,degree-matched directed random graph,12,48,0.005411366739862594,0.0031017600476547593,0.5067991554148361,0.48974617830607264
hybrid_phi_sign_switch,primary_phi_fes,27,degree-matched directed random graph,12,48,0.0023483693689464917,0.0030654317944200896,0.5333050023432757,0.5013712610441904
hybrid_phi_sign_switch,primary_phi_fes,28,degree-matched directed random graph,12,48,0.002831748166177016,0.0025765694066596564,0.5164204254581146,0.5010581636846708
hybrid_phi_sign_switch,primary_phi_fes,29,degree-matched directed random graph,12,48,0.001828145654370853,0.0033252071620778903,0.5308452098284099,0.5128421095669313
hybrid_phi_sign_switch,primary_phi_fes,30,degree-matched directed random graph,12,48,-0.001464421540528956,0.0022918821218984096,0.4973560841215611,0.5018363989998109
hybrid_phi_sign_switch,primary_phi_fes,31,degree-matched directed random graph,12,48,-0.0007304820544826857,0.0028635228927259998,0.48152811810465407,0.5340251482697215
hybrid_phi_sign_switch,primary_phi_fes,32,degree-matched directed random graph,12,48,0.0018066889381254403,0.0017899512136861865,0.532107909615257,0.5085351654923624
hybrid_phi_sign_switch,primary_phi_fes,33,degree-matched directed random graph,12,48,0.0024730827803296517,0.002551342137827466,0.522516181060946,0.5033104870011461
hybrid_phi_sign_switch,primary_phi_fes,34,degree-matched directed random graph,12,48,0.0027293015239028776,0.002293243627693939,0.5216982318986132,0.5271176891945043
hybrid_phi_sign_switch,primary_phi_fes,35,degree-matched directed random graph,12,48,-0.0006483276869316942,0.0025948583244866904,0.516838620518898,0.5075248017985381
hybrid_phi_sign_switch,primary_phi_fes,36,degree-matched directed random graph,12,48,0.002815258763913281,0.003061295475053031,0.5086751592074495,0.5173200127928872
hybrid_phi_sign_switch,primary_phi_fes,37,degree-matched directed random graph,12,48,0.0038746544881033945,0.002087490746376109,0.5235979586173759,0.5088891517867974
hybrid_phi_sign_switch,primary_phi_fes,38,degree-matched directed random graph,12,48,0.00028425279781292453,0.0019914115580949698,0.5079564309258819,0.5054425386234176
hybrid_phi_sign_switch,primary_phi_fes,39,degree-matched directed random graph,12,48,0.002585596234558723,0.00216855751221255,0.52056880548801,0.5139754802085303
hybrid_phi_sign_switch,primary_phi_fes,40,degree-matched directed random graph,12,48,0.0041932140146791926,0.0032281148545439714,0.5035500593993458,0.5165126995764066
hybrid_phi_sign_switch,primary_phi_fes,41,degree-matched directed random graph,12,48,0.003470209026137641,0.001781052115636183,0.4962331596754309,0.4953685819478027
hybrid_phi_sign_switch,primary_phi_fes,42,degree-matched directed random graph,12,48,0.001860517902479012,0.0028134946932220255,0.5131521441237546,0.5063025293524198
hybrid_phi_sign_switch,primary_phi_fes,43,degree-matched directed random graph,12,48,0.00021776189103264634,0.0028866104435094175,0.5235653688756696,0.5079823561789802
hybrid_phi_sign_switch,primary_phi_fes,44,degree-matched directed random graph,12,48,0.004420066985434389,0.001841534624456394,0.519917849953971,0.5093010726519255
hybrid_phi_sign_switch,primary_phi_fes,45,degree-matched directed random graph,12,48,0.0009162066822501412,0.002732319789365767,0.4927201763297067,0.5128410167753907
hybrid_phi_sign_switch,primary_phi_fes,46,degree-matched directed random graph,12,48,-0.0015995121581883535,0.003020564075916115,0.5041301510274437,0.49502879142109174
hybrid_phi_sign_switch,primary_phi_fes,47,degree-matched directed random graph,12,48,-0.0014003404157518823,0.0027527088633929725,0.5033934992386767,0.5092111536924755
hybrid_phi_sign_switch,primary_phi_fes,48,degree-matched directed random graph,12,48,0.0007697418956346014,0.0024368428997951514,0.5314664952920998,0.5302506398133395
hybrid_phi_sign_switch,primary_phi_fes,49,degree-matched directed random graph,12,48,-0.0019533482051371565,0.0022821067771526277,0.5261174444328733,0.5073845059929581
hybrid_phi_sign_switch,primary_phi_fes,50,degree-matched directed random graph,12,48,0.0035470527161079236,0.0024719045307319922,0.5218901990780409,0.5074906762706578
hybrid_phi_sign_switch,primary_phi_fes,51,degree-matched directed random graph,12,48,0.002616250702380442,0.0022521293661434375,0.5119023240712024,0.49762509688436796
hybrid_phi_sign_switch,primary_phi_fes,52,degree-matched directed random graph,12,48,0.004992891608366191,0.002466648871130532,0.5275800835061651,0.5078347579113456
hybrid_phi_sign_switch,primary_phi_fes,53,degree-matched directed random graph,12,48,0.0015160998214338154,0.003496106164064255,0.4896482736571258,0.5049553887853823
hybrid_phi_sign_switch,primary_phi_fes,54,degree-matched directed random graph,12,48,0.001928331844486503,0.00282639391207003,0.5216685394176206,0.509670711685879
hybrid_phi_sign_switch,primary_phi_fes,55,degree-matched directed random graph,12,48,0.0026449554764202635,0.0023388531215453776,0.5192747813530673,0.5036183812257007
hybrid_phi_sign_switch,primary_phi_fes,56,degree-matched directed random graph,12,48,0.001620205534236736,0.0024253828392282488,0.5101184127191831,0.4974367620079559
hybrid_phi_sign_switch,primary_phi_fes,57,degree-matched directed random graph,12,48,-0.00155440408973372,0.0027143989180859833,0.524527676851399,0.49252669390596615
hybrid_phi_sign_switch,primary_phi_fes,58,degree-matched directed random graph,12,48,8.78239030370496e-05,0.002477562953649328,0.5087676823995526,0.49570596321191784
